experiment_id,game_index,checkpoint_turn,outcome_class,cv_fold
uct-10000-self-play,1,8,reversal,3
uct-10000-self-play,2,8,lead_preserved,5
uct-10000-self-play,4,8,lead_preserved,3
uct-10000-self-play,5,8,lead_preserved,4
uct-10000-self-play,9,8,lead_preserved,1
uct-10000-self-play,11,8,reversal,5
uct-10000-self-play,12,8,lead_preserved,1
uct-10000-self-play,13,8,reversal,4
uct-10000-self-play,14,8,lead_preserved,4
uct-10000-self-play,15,8,lead_preserved,5
uct-10000-self-play,16,8,lead_preserved,1
uct-10000-self-play,17,8,reversal,1
uct-10000-self-play,18,8,lead_preserved,1
uct-10000-self-play,19,8,reversal,3
uct-10000-self-play,20,8,lead_preserved,5
uct-10000-self-play,21,8,reversal,1
uct-10000-self-play,22,8,lead_preserved,4
uct-10000-self-play,24,8,lead_preserved,2
uct-10000-self-play,25,8,lead_preserved,5
uct-10000-self-play,26,8,lead_preserved,2
uct-10000-self-play,28,8,lead_preserved,3
uct-10000-self-play,29,8,lead_preserved,3
uct-10000-self-play,30,8,lead_preserved,5
uct-10000-self-play,31,8,reversal,2
uct-10000-self-play,32,8,reversal,3
uct-10000-self-play,34,8,reversal,2
uct-10000-self-play,35,8,reversal,5
uct-10000-self-play,36,8,reversal,1
uct-10000-self-play,37,8,reversal,2
uct-10000-self-play,38,8,lead_preserved,3
uct-10000-self-play,39,8,reversal,4
uct-10000-self-play,42,8,reversal,1
uct-10000-self-play,43,8,reversal,4
uct-10000-self-play,45,8,reversal,4
uct-10000-self-play,46,8,lead_preserved,3
uct-10000-self-play,47,8,reversal,3
uct-10000-self-play,48,8,reversal,5
uct-10000-self-play,49,8,lead_preserved,4
uct-10000-self-play,50,8,lead_preserved,5
uct-10000-self-play,52,8,reversal,3
uct-10000-self-play,53,8,lead_preserved,5
uct-10000-self-play,54,8,lead_preserved,4
uct-10000-self-play,55,8,lead_preserved,2
uct-10000-self-play,56,8,lead_preserved,3
uct-10000-self-play,58,8,reversal,5
uct-10000-self-play,61,8,lead_preserved,1
uct-10000-self-play,62,8,reversal,1
uct-10000-self-play,63,8,reversal,1
uct-10000-self-play,64,8,reversal,2
uct-10000-self-play,65,8,lead_preserved,1
uct-10000-self-play,66,8,lead_preserved,2
uct-10000-self-play,67,8,reversal,1
uct-10000-self-play,69,8,reversal,1
uct-10000-self-play,70,8,lead_preserved,1
uct-10000-self-play,71,8,reversal,3
uct-10000-self-play,72,8,lead_preserved,2
uct-10000-self-play,73,8,reversal,5
uct-10000-self-play,74,8,lead_preserved,3
uct-10000-self-play,75,8,reversal,3
uct-10000-self-play,76,8,lead_preserved,1
uct-10000-self-play,78,8,lead_preserved,4
uct-10000-self-play,79,8,reversal,2
uct-10000-self-play,80,8,reversal,2
uct-10000-self-play,83,8,lead_preserved,2
uct-10000-self-play,84,8,lead_preserved,4
uct-10000-self-play,85,8,reversal,4
uct-10000-self-play,86,8,reversal,5
uct-10000-self-play,88,8,reversal,3
uct-10000-self-play,89,8,lead_preserved,2
uct-10000-self-play,93,8,reversal,5
uct-10000-self-play,94,8,reversal,2
uct-10000-self-play,96,8,reversal,4
uct-10000-self-play,97,8,reversal,4
uct-10000-self-play,98,8,reversal,2
uct-10000-self-play,1,12,lead_preserved,5
uct-10000-self-play,4,12,lead_preserved,4
uct-10000-self-play,5,12,lead_preserved,3
uct-10000-self-play,8,12,lead_preserved,1
uct-10000-self-play,9,12,reversal,2
uct-10000-self-play,11,12,lead_preserved,2
uct-10000-self-play,12,12,reversal,4
uct-10000-self-play,13,12,reversal,4
uct-10000-self-play,14,12,lead_preserved,2
uct-10000-self-play,15,12,lead_preserved,4
uct-10000-self-play,16,12,lead_preserved,5
uct-10000-self-play,17,12,reversal,1
uct-10000-self-play,18,12,lead_preserved,1
uct-10000-self-play,19,12,lead_preserved,3
uct-10000-self-play,20,12,reversal,1
uct-10000-self-play,22,12,lead_preserved,2
uct-10000-self-play,23,12,reversal,3
uct-10000-self-play,24,12,lead_preserved,1
uct-10000-self-play,25,12,lead_preserved,3
uct-10000-self-play,26,12,reversal,5
uct-10000-self-play,28,12,reversal,1
uct-10000-self-play,29,12,lead_preserved,3
uct-10000-self-play,30,12,lead_preserved,4
uct-10000-self-play,32,12,reversal,1
uct-10000-self-play,34,12,reversal,3
uct-10000-self-play,35,12,lead_preserved,4
uct-10000-self-play,36,12,reversal,4
uct-10000-self-play,38,12,reversal,2
uct-10000-self-play,39,12,reversal,3
uct-10000-self-play,40,12,reversal,5
uct-10000-self-play,43,12,reversal,2
uct-10000-self-play,45,12,lead_preserved,1
uct-10000-self-play,46,12,reversal,2
uct-10000-self-play,47,12,reversal,5
uct-10000-self-play,49,12,lead_preserved,3
uct-10000-self-play,50,12,lead_preserved,4
uct-10000-self-play,51,12,reversal,5
uct-10000-self-play,52,12,lead_preserved,1
uct-10000-self-play,53,12,reversal,1
uct-10000-self-play,57,12,reversal,4
uct-10000-self-play,58,12,reversal,5
uct-10000-self-play,59,12,reversal,1
uct-10000-self-play,61,12,lead_preserved,1
uct-10000-self-play,62,12,reversal,3
uct-10000-self-play,63,12,reversal,4
uct-10000-self-play,64,12,reversal,1
uct-10000-self-play,65,12,lead_preserved,2
uct-10000-self-play,67,12,reversal,2
uct-10000-self-play,68,12,reversal,2
uct-10000-self-play,69,12,reversal,3
uct-10000-self-play,72,12,lead_preserved,3
uct-10000-self-play,73,12,reversal,2
uct-10000-self-play,74,12,lead_preserved,4
uct-10000-self-play,77,12,lead_preserved,2
uct-10000-self-play,78,12,lead_preserved,2
uct-10000-self-play,79,12,lead_preserved,1
uct-10000-self-play,81,12,reversal,4
uct-10000-self-play,83,12,lead_preserved,2
uct-10000-self-play,84,12,reversal,3
uct-10000-self-play,85,12,lead_preserved,4
uct-10000-self-play,86,12,reversal,5
uct-10000-self-play,88,12,lead_preserved,5
uct-10000-self-play,89,12,lead_preserved,3
uct-10000-self-play,90,12,reversal,5
uct-10000-self-play,91,12,reversal,3
uct-10000-self-play,92,12,reversal,1
uct-10000-self-play,94,12,reversal,2
uct-10000-self-play,96,12,lead_preserved,5
uct-10000-self-play,97,12,lead_preserved,5
uct-10000-self-play,98,12,reversal,4
uct-10000-self-play,99,12,lead_preserved,5
uct-10000-self-play,100,12,lead_preserved,5
uct-10000-self-play,1,16,lead_preserved,5
uct-10000-self-play,4,16,lead_preserved,1
uct-10000-self-play,5,16,lead_preserved,2
uct-10000-self-play,8,16,reversal,4
uct-10000-self-play,9,16,reversal,4
uct-10000-self-play,10,16,reversal,1
uct-10000-self-play,11,16,lead_preserved,5
uct-10000-self-play,12,16,reversal,5
uct-10000-self-play,13,16,reversal,4
uct-10000-self-play,14,16,lead_preserved,1
uct-10000-self-play,15,16,lead_preserved,2
uct-10000-self-play,16,16,reversal,3
uct-10000-self-play,17,16,lead_preserved,2
uct-10000-self-play,18,16,lead_preserved,3
uct-10000-self-play,19,16,lead_preserved,5
uct-10000-self-play,21,16,lead_preserved,3
uct-10000-self-play,23,16,reversal,5
uct-10000-self-play,24,16,lead_preserved,2
uct-10000-self-play,25,16,lead_preserved,4
uct-10000-self-play,26,16,reversal,3
