checkpoint_turn,feature,uct_30000_standardized_mean_difference,uct_100000_standardized_mean_difference,direction_agreement,uct_30000_direction,uct_100000_direction
8,S12_leader_relative_state,-0.134887,0.283342,0,lower_in_reversal,higher_in_reversal
8,S13_leader_relative_state,-0.159116,-0.03296,1,lower_in_reversal,lower_in_reversal
8,S21_leader_relative_state,-0.291837,0.191769,0,lower_in_reversal,higher_in_reversal
8,S22_leader_relative_state,-0.12438,-0.359362,1,lower_in_reversal,lower_in_reversal
8,S23_leader_relative_state,0.353742,-0.122188,0,higher_in_reversal,lower_in_reversal
8,contested_supply_count,0.019737,0.530309,1,higher_in_reversal,higher_in_reversal
8,decisive_layer_advantage_objectives,0.278908,0.360555,1,higher_in_reversal,higher_in_reversal
8,decisive_layer_objective_pieces,0.217057,0.248807,1,higher_in_reversal,higher_in_reversal
8,decisive_layer_secured_objectives,-0.476921,-0.574456,1,lower_in_reversal,lower_in_reversal
8,decisive_margin,0.309934,-0.223607,0,higher_in_reversal,lower_in_reversal
8,leader_advantage_objective_margin,0.439963,0.444825,1,higher_in_reversal,higher_in_reversal
8,leader_advantage_objectives,0.392837,0.158398,1,higher_in_reversal,higher_in_reversal
8,leader_cumulative_objective_placements,-0.228269,-0.632792,1,lower_in_reversal,lower_in_reversal
8,leader_cumulative_objective_share,-0.228269,-0.632792,1,lower_in_reversal,lower_in_reversal
8,leader_cumulative_objective_share_margin,-0.070755,-0.070262,1,lower_in_reversal,lower_in_reversal
8,leader_cumulative_supply_placements,0.228269,0.632792,1,higher_in_reversal,higher_in_reversal
8,leader_cumulative_supply_source_usage,-0.228269,-0.632792,1,lower_in_reversal,lower_in_reversal
8,leader_cumulative_supply_source_usage_margin,-0.070755,-0.070262,1,lower_in_reversal,lower_in_reversal
8,leader_objective_piece_margin,-0.070755,-0.070262,1,lower_in_reversal,lower_in_reversal
8,leader_objective_pieces,-0.228269,-0.632792,1,lower_in_reversal,lower_in_reversal
8,leader_primary_important_control_margin,-0.300227,-0.054563,1,lower_in_reversal,lower_in_reversal
8,leader_primary_important_sites_controlled,-0.229199,0.12277,0,lower_in_reversal,higher_in_reversal
8,leader_recent_2_all_objective_turn_margin,0.24985,0.223607,1,higher_in_reversal,higher_in_reversal
8,leader_recent_2_all_supply_turn_margin,-0.062305,-0.510112,1,lower_in_reversal,lower_in_reversal
8,leader_recent_2_important_site_usage,0.063571,-0.243538,0,higher_in_reversal,lower_in_reversal
8,leader_recent_2_important_site_usage_margin,-0.122825,0.312573,0,lower_in_reversal,higher_in_reversal
8,leader_recent_2_mixed_turn_margin,-0.018908,0.441588,0,lower_in_reversal,higher_in_reversal
8,leader_recent_2_objective_placements,0.099339,-0.376999,0,higher_in_reversal,lower_in_reversal
8,leader_recent_2_objective_share_margin,0.206607,0.593787,1,higher_in_reversal,higher_in_reversal
8,leader_recent_2_supply_placements,-0.099339,0.376999,0,lower_in_reversal,higher_in_reversal
8,leader_recent_2_supply_source_usage_margin,0.206607,0.593787,1,higher_in_reversal,higher_in_reversal
