experiment_id,checkpoint_turn,mechanism,reversal_games,flagged_games,share
uct-10000-self-play,8,mechanism_secured_objective_reversal,38,38,1.0
uct-10000-self-play,8,mechanism_advantage_conversion_reversal,38,29,0.763158
uct-10000-self-play,8,mechanism_objective_piece_tiebreak_reversal,38,12,0.315789
uct-10000-self-play,8,mechanism_supply_degradation,38,18,0.473684
uct-10000-self-play,8,mechanism_supply_reinvestment,38,18,0.473684
uct-10000-self-play,8,mechanism_mixed,38,34,0.894737
uct-10000-self-play,12,mechanism_secured_objective_reversal,37,37,1.0
uct-10000-self-play,12,mechanism_advantage_conversion_reversal,37,25,0.675676
uct-10000-self-play,12,mechanism_objective_piece_tiebreak_reversal,37,7,0.189189
uct-10000-self-play,12,mechanism_supply_degradation,37,19,0.513514
uct-10000-self-play,12,mechanism_supply_reinvestment,37,10,0.27027
uct-10000-self-play,12,mechanism_mixed,37,32,0.864865
uct-10000-self-play,16,mechanism_secured_objective_reversal,39,39,1.0
uct-10000-self-play,16,mechanism_advantage_conversion_reversal,39,18,0.461538
uct-10000-self-play,16,mechanism_objective_piece_tiebreak_reversal,39,7,0.179487
uct-10000-self-play,16,mechanism_supply_degradation,39,22,0.564103
uct-10000-self-play,16,mechanism_supply_reinvestment,39,13,0.333333
uct-10000-self-play,16,mechanism_mixed,39,33,0.846154
uct-10000-self-play,20,mechanism_secured_objective_reversal,36,33,0.916667
uct-10000-self-play,20,mechanism_advantage_conversion_reversal,36,9,0.25
uct-10000-self-play,20,mechanism_objective_piece_tiebreak_reversal,36,4,0.111111
uct-10000-self-play,20,mechanism_supply_degradation,36,19,0.527778
uct-10000-self-play,20,mechanism_supply_reinvestment,36,16,0.444444
uct-10000-self-play,20,mechanism_mixed,36,29,0.805556
uct-100000-self-play,8,mechanism_secured_objective_reversal,40,40,1.0
uct-100000-self-play,8,mechanism_advantage_conversion_reversal,40,34,0.85
uct-100000-self-play,8,mechanism_objective_piece_tiebreak_reversal,40,7,0.175
uct-100000-self-play,8,mechanism_supply_degradation,40,24,0.6
uct-100000-self-play,8,mechanism_supply_reinvestment,40,15,0.375
uct-100000-self-play,8,mechanism_mixed,40,39,0.975
uct-100000-self-play,12,mechanism_secured_objective_reversal,31,30,0.967742
uct-100000-self-play,12,mechanism_advantage_conversion_reversal,31,18,0.580645
uct-100000-self-play,12,mechanism_objective_piece_tiebreak_reversal,31,7,0.225806
uct-100000-self-play,12,mechanism_supply_degradation,31,16,0.516129
uct-100000-self-play,12,mechanism_supply_reinvestment,31,11,0.354839
uct-100000-self-play,12,mechanism_mixed,31,28,0.903226
uct-100000-self-play,16,mechanism_secured_objective_reversal,29,29,1.0
uct-100000-self-play,16,mechanism_advantage_conversion_reversal,29,14,0.482759
uct-100000-self-play,16,mechanism_objective_piece_tiebreak_reversal,29,5,0.172414
uct-100000-self-play,16,mechanism_supply_degradation,29,17,0.586207
uct-100000-self-play,16,mechanism_supply_reinvestment,29,8,0.275862
uct-100000-self-play,16,mechanism_mixed,29,25,0.862069
uct-100000-self-play,20,mechanism_secured_objective_reversal,32,31,0.96875
uct-100000-self-play,20,mechanism_advantage_conversion_reversal,32,5,0.15625
uct-100000-self-play,20,mechanism_objective_piece_tiebreak_reversal,32,5,0.15625
uct-100000-self-play,20,mechanism_supply_degradation,32,22,0.6875
uct-100000-self-play,20,mechanism_supply_reinvestment,32,15,0.46875
uct-100000-self-play,20,mechanism_mixed,32,28,0.875
uct-30000-self-play,8,mechanism_secured_objective_reversal,29,29,1.0
uct-30000-self-play,8,mechanism_advantage_conversion_reversal,29,21,0.724138
uct-30000-self-play,8,mechanism_objective_piece_tiebreak_reversal,29,5,0.172414
uct-30000-self-play,8,mechanism_supply_degradation,29,10,0.344828
uct-30000-self-play,8,mechanism_supply_reinvestment,29,11,0.37931
uct-30000-self-play,8,mechanism_mixed,29,26,0.896552
uct-30000-self-play,12,mechanism_secured_objective_reversal,32,31,0.96875
uct-30000-self-play,12,mechanism_advantage_conversion_reversal,32,19,0.59375
uct-30000-self-play,12,mechanism_objective_piece_tiebreak_reversal,32,8,0.25
uct-30000-self-play,12,mechanism_supply_degradation,32,16,0.5
uct-30000-self-play,12,mechanism_supply_reinvestment,32,14,0.4375
uct-30000-self-play,12,mechanism_mixed,32,29,0.90625
uct-30000-self-play,16,mechanism_secured_objective_reversal,36,36,1.0
uct-30000-self-play,16,mechanism_advantage_conversion_reversal,36,10,0.277778
uct-30000-self-play,16,mechanism_objective_piece_tiebreak_reversal,36,4,0.111111
uct-30000-self-play,16,mechanism_supply_degradation,36,16,0.444444
uct-30000-self-play,16,mechanism_supply_reinvestment,36,12,0.333333
uct-30000-self-play,16,mechanism_mixed,36,28,0.777778
uct-30000-self-play,20,mechanism_secured_objective_reversal,31,31,1.0
uct-30000-self-play,20,mechanism_advantage_conversion_reversal,31,3,0.096774
uct-30000-self-play,20,mechanism_objective_piece_tiebreak_reversal,31,1,0.032258
uct-30000-self-play,20,mechanism_supply_degradation,31,17,0.548387
uct-30000-self-play,20,mechanism_supply_reinvestment,31,13,0.419355
uct-30000-self-play,20,mechanism_mixed,31,22,0.709677
