experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference
uct-10000-self-play,8,decisive_margin,38,36,1.026316,1.0,1.0,1.0,0.226294,higher_in_reversal,0.226294
uct-10000-self-play,8,leader_primary_important_control_margin,38,36,-0.184211,0.0,-0.416667,-1.0,0.165257,higher_in_reversal,0.165257
uct-10000-self-play,8,opponent_recent_4_supply_allocation_change,38,36,-0.017544,-0.0,-0.018519,-0.0,0.002509,higher_in_reversal,0.002509
uct-10000-self-play,8,leader_trend_4_usable_support_edges,38,36,-1.131579,-1.0,-1.138889,-1.0,0.001822,higher_in_reversal,0.001822
uct-10000-self-play,8,opponent_trend_4_usable_support_edges,38,36,0.894737,0.5,0.444444,0.0,0.128621,higher_in_reversal,0.128621
uct-10000-self-play,12,decisive_margin,37,35,1.054054,1.0,1.142857,1.0,-0.298928,lower_in_reversal,0.298928
uct-10000-self-play,12,leader_primary_important_control_margin,37,35,-0.135135,0.0,-0.314286,0.0,0.141715,higher_in_reversal,0.141715
uct-10000-self-play,12,opponent_recent_4_supply_allocation_change,37,35,-0.072072,-0.0,-0.085714,-0.0,0.037595,higher_in_reversal,0.037595
uct-10000-self-play,12,leader_trend_4_usable_support_edges,37,35,-1.72973,-3.0,-0.657143,-1.0,-0.301623,lower_in_reversal,0.301623
uct-10000-self-play,12,opponent_trend_4_usable_support_edges,37,35,-1.027027,-2.0,0.142857,0.0,-0.299611,lower_in_reversal,0.299611
uct-10000-self-play,16,decisive_margin,39,41,1.051282,1.0,1.195122,1.0,-0.439983,lower_in_reversal,0.439983
uct-10000-self-play,16,leader_primary_important_control_margin,39,41,0.435897,0.0,0.146341,0.0,0.232758,higher_in_reversal,0.232758
uct-10000-self-play,16,opponent_recent_4_supply_allocation_change,39,41,0.153846,-0.0,0.02439,-0.0,0.427171,higher_in_reversal,0.427171
uct-10000-self-play,16,leader_trend_4_usable_support_edges,39,41,-1.871795,-2.0,-1.97561,-2.0,0.040233,higher_in_reversal,0.040233
uct-10000-self-play,16,opponent_trend_4_usable_support_edges,39,41,-1.384615,-1.0,-1.585366,-1.0,0.069479,higher_in_reversal,0.069479
uct-10000-self-play,20,decisive_margin,36,45,1.166667,1.0,1.266667,1.0,-0.199747,lower_in_reversal,0.199747
uct-10000-self-play,20,leader_primary_important_control_margin,36,45,0.472222,0.5,-0.2,0.0,0.475074,higher_in_reversal,0.475074
uct-10000-self-play,20,opponent_recent_4_supply_allocation_change,36,45,0.194444,0.333333,0.044444,-0.0,0.471531,higher_in_reversal,0.471531
uct-10000-self-play,20,leader_trend_4_usable_support_edges,36,45,-0.722222,-0.5,-1.555556,-2.0,0.355403,higher_in_reversal,0.355403
uct-10000-self-play,20,opponent_trend_4_usable_support_edges,36,45,-0.416667,-0.5,-0.6,-1.0,0.074567,higher_in_reversal,0.074567
uct-100000-self-play,8,decisive_margin,40,40,1.0,1.0,1.025,1.0,-0.223607,lower_in_reversal,0.223607
uct-100000-self-play,8,leader_primary_important_control_margin,40,40,-0.3,0.0,-0.225,0.0,-0.054563,lower_in_reversal,0.054563
uct-100000-self-play,8,opponent_recent_4_supply_allocation_change,40,40,-0.116667,-0.0,-0.225,-0.333333,0.433333,higher_in_reversal,0.433333
