"board","experiment_id","game_index","checkpoint","turn_number","cumulative_placements","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"6x6","6x6-seeded-random","1","0.25","12","36","0.888889","1","0","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","1","0.5","24","72","0.763889","3","0","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","1","0.75","36","108","0.694444","3","1","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","1","0.9","44","132","0.651515","6","2","0.703352","0.250000","0.222222","0.555556"
"6x6","6x6-seeded-random","2","0.25","12","36","0.861111","1","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","2","0.5","24","72","0.750000","3","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","2","0.75","36","108","0.685185","5","3","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","2","0.9","44","132","0.651515","6","4","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","3","0.25","12","36","0.861111","0","0","0.670620","0.333333","0.250000","0.555556"
"6x6","6x6-seeded-random","3","0.5","24","72","0.722222","0","1","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","3","0.75","36","108","0.666667","3","1","0.953352","0.250000","0.138889","1.000000"
"6x6","6x6-seeded-random","3","0.9","44","132","0.613636","5","6","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","4","0.25","12","36","0.833333","0","0","0.670620","0.333333","0.250000","0.555556"
"6x6","6x6-seeded-random","4","0.5","24","72","0.722222","2","1","0.657732","0.333333","0.263889","0.555556"
"6x6","6x6-seeded-random","4","0.75","36","108","0.657407","3","3","0.667994","0.416667","0.263889","0.555556"
"6x6","6x6-seeded-random","4","0.9","44","132","0.659091","5","5","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","5","0.25","12","36","0.861111","0","0","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","5","0.5","24","72","0.736111","1","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","5","0.75","36","108","0.648148","6","4","0.595572","0.416667","0.291667","0.444444"
"6x6","6x6-seeded-random","5","0.9","44","132","0.628788","8","7","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","6","0.25","12","36","0.833333","1","0","0.868042","0.333333","0.180556","0.888889"
"6x6","6x6-seeded-random","6","0.5","24","72","0.777778","2","1","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","6","0.75","36","108","0.722222","6","2","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","6","0.9","44","132","0.674242","7","5","0.648149","0.416667","0.277778","0.555556"
"6x6","6x6-seeded-random","7","0.25","12","36","0.694444","0","0","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","7","0.5","24","72","0.694444","0","1","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","7","0.75","36","108","0.592593","2","3","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","7","0.9","44","132","0.590909","5","6","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","8","0.25","12","36","0.916667","0","0","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","8","0.5","24","72","0.763889","2","0","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","8","0.75","36","108","0.694444","5","1","0.868042","0.333333","0.180556","0.888889"
"6x6","6x6-seeded-random","8","0.9","44","132","0.636364","6","4","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","9","0.25","12","36","0.750000","0","0","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","9","0.5","24","72","0.638889","1","2","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","9","0.75","36","108","0.629630","2","2","0.973197","0.166667","0.125000","1.000000"
"6x6","6x6-seeded-random","9","0.9","44","132","0.643939","5","5","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","10","0.25","12","36","0.805556","1","1","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","10","0.5","24","72","0.763889","5","1","0.670620","0.500000","0.305556","0.666667"
"6x6","6x6-seeded-random","10","0.75","36","108","0.666667","7","2","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","10","0.9","44","132","0.598485","8","4","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","11","0.25","12","36","0.777778","0","0","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-seeded-random","11","0.5","24","72","0.680556","1","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","11","0.75","36","108","0.657407","2","2","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","11","0.9","44","132","0.643939","4","3","0.720572","0.416667","0.250000","0.666667"
"6x6","6x6-seeded-random","12","0.25","12","36","0.777778","0","0","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","12","0.5","24","72","0.722222","2","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","12","0.75","36","108","0.638889","5","2","0.755930","0.250000","0.208333","0.666667"
"6x6","6x6-seeded-random","12","0.9","44","132","0.621212","6","4","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","13","0.25","12","36","0.777778","1","0","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-seeded-random","13","0.5","24","72","0.638889","1","2","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","13","0.75","36","108","0.564815","2","3","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","13","0.9","44","132","0.568182","5","6","0.670620","0.500000","0.305556","0.666667"
"6x6","6x6-seeded-random","14","0.25","12","36","0.750000","2","0","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","14","0.5","24","72","0.611111","2","0","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","14","0.75","36","108","0.592593","4","4","0.973197","0.166667","0.125000","1.000000"
"6x6","6x6-seeded-random","14","0.9","44","132","0.590909","5","5","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","15","0.25","12","36","0.722222","1","0","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","15","0.5","24","72","0.652778","2","1","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","15","0.75","36","108","0.611111","4","2","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","15","0.9","44","132","0.598485","5","4","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","16","0.25","12","36","0.861111","0","0","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","16","0.5","24","72","0.750000","2","1","0.648149","0.416667","0.277778","0.555556"
"6x6","6x6-seeded-random","16","0.75","36","108","0.694444","2","2","0.667994","0.416667","0.263889","0.555556"
"6x6","6x6-seeded-random","16","0.9","44","132","0.666667","5","4","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","17","0.25","12","36","0.750000","0","0","0.973197","0.166667","0.125000","1.000000"
"6x6","6x6-seeded-random","17","0.5","24","72","0.666667","1","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","17","0.75","36","108","0.629630","4","2","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","17","0.9","44","132","0.613636","6","5","0.773149","0.416667","0.236111","0.777778"
"6x6","6x6-seeded-random","18","0.25","12","36","0.805556","0","0","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","18","0.5","24","72","0.722222","0","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","18","0.75","36","108","0.666667","0","2","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","18","0.9","44","132","0.636364","3","4","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","19","0.25","12","36","0.805556","0","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","19","0.5","24","72","0.694444","1","0","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","19","0.75","36","108","0.611111","4","2","0.710310","0.333333","0.250000","0.666667"
"6x6","6x6-seeded-random","19","0.9","44","132","0.568182","6","7","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","20","0.25","12","36","0.694444","0","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","20","0.5","24","72","0.652778","0","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","20","0.75","36","108","0.666667","2","2","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","20","0.9","44","132","0.621212","5","5","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","21","0.25","12","36","0.750000","0","0","0.773149","0.416667","0.236111","0.777778"
"6x6","6x6-seeded-random","21","0.5","24","72","0.722222","0","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","21","0.75","36","108","0.666667","3","0","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","21","0.9","44","132","0.643939","5","0","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","22","0.25","12","36","0.777778","0","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","22","0.5","24","72","0.708333","0","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","22","0.75","36","108","0.666667","3","4","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","22","0.9","44","132","0.621212","3","6","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","23","0.25","12","36","0.833333","0","0","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","23","0.5","24","72","0.722222","3","0","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","23","0.75","36","108","0.657407","4","2","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","23","0.9","44","132","0.643939","6","2","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","24","0.25","12","36","0.805556","0","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","24","0.5","24","72","0.652778","0","1","0.703352","0.250000","0.222222","0.555556"
"6x6","6x6-seeded-random","24","0.75","36","108","0.620370","1","1","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","24","0.9","44","132","0.590909","2","1","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","25","0.25","12","36","0.750000","0","0","0.953352","0.250000","0.138889","1.000000"
"6x6","6x6-seeded-random","25","0.5","24","72","0.694444","1","0","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","25","0.75","36","108","0.638889","1","1","0.618042","0.333333","0.263889","0.444444"
"6x6","6x6-seeded-random","25","0.9","44","132","0.621212","4","3","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","26","0.25","12","36","0.722222","0","0","0.828352","0.250000","0.180556","0.777778"
