"board","experiment_id","checkpoint","games","turn_number","average_cumulative_placements","average_supply_share","average_secured_supply","average_secured_objectives","average_recent_normalized_entropy","average_recent_largest_region_share","average_recent_hhi"
"6x6","6x6-seeded-random","0.25","100","12","36.000000","0.786944","0.260000","0.050000","0.797325","0.281667","0.195417"
"6x6","6x6-seeded-random","0.5","100","24","72.000000","0.695278","1.440000","0.610000","0.808133","0.280833","0.189444"
"6x6","6x6-seeded-random","0.75","100","36","108.000000","0.645185","3.550000","2.370000","0.804354","0.275000","0.190833"
"6x6","6x6-seeded-random","0.9","100","44","132.000000","0.624242","5.440000","4.060000","0.829359","0.265833","0.180417"
"6x6","6x6-uct-0100","0.25","50","12","36.000000","0.775000","0.180000","0.140000","0.816420","0.268333","0.184722"
"6x6","6x6-uct-0100","0.5","50","24","72.000000","0.664167","1.120000","1.460000","0.819251","0.278333","0.186945"
"6x6","6x6-uct-0100","0.75","50","36","108.000000","0.605185","2.320000","4.740000","0.817180","0.265000","0.184722"
"6x6","6x6-uct-0100","0.9","50","44","132.000000","0.572576","3.660000","9.660000","0.806062","0.286667","0.192222"
"6x6","6x6-uct-0500","0.25","20","12","36.000000","0.713889","0.100000","0.250000","0.812254","0.279167","0.187500"
"6x6","6x6-uct-0500","0.5","20","24","72.000000","0.585417","0.750000","3.450000","0.822256","0.262500","0.183333"
"6x6","6x6-uct-0500","0.75","20","36","108.000000","0.512963","1.700000","10.900000","0.817164","0.270833","0.186111"
"6x6","6x6-uct-0500","0.9","20","44","132.000000","0.466288","2.500000","18.700000","0.806865","0.275000","0.189583"
"4x4","seeded-random-self-play","0.25","100","6","18.000000","0.855555","0.140000","0.000000","0.803553","0.277500","0.192083"
"4x4","seeded-random-self-play","0.5","100","12","36.000000","0.753056","0.750000","0.210000","0.825447","0.265833","0.181528"
"4x4","seeded-random-self-play","0.75","100","18","54.000000","0.700370","2.050000","0.890000","0.824773","0.277500","0.185695"
"4x4","seeded-random-self-play","0.9","100","22","66.000000","0.678333","3.070000","1.410000","0.829204","0.268333","0.181806"
"4x4","uct-0100-self-play","0.25","100","6","18.000000","0.771111","0.060000","0.050000","0.785644","0.293333","0.201111"
"4x4","uct-0100-self-play","0.5","100","12","36.000000","0.652500","0.430000","0.880000","0.813924","0.270833","0.187500"
"4x4","uct-0100-self-play","0.75","100","18","54.000000","0.586111","1.060000","3.500000","0.807449","0.284167","0.191528"
"4x4","uct-0100-self-play","0.9","100","22","66.000000","0.555000","1.630000","6.270000","0.805180","0.279167","0.191667"
"4x4","uct-0500-self-play","0.25","100","6","18.000000","0.712222","0.040000","0.090000","0.781829","0.301667","0.204028"
"4x4","uct-0500-self-play","0.5","100","12","36.000000","0.556667","0.220000","2.510000","0.779632","0.294167","0.202778"
"4x4","uct-0500-self-play","0.75","100","18","54.000000","0.478889","0.570000","6.760000","0.758374","0.316667","0.216389"
"4x4","uct-0500-self-play","0.9","100","22","66.000000","0.461212","0.890000","9.040000","0.754453","0.308333","0.216667"
