"board","experiment_id","iteration_limit","game_index","winner","moves","turns","end_type","final_p1_score","final_p2_score","trial_file"
"6x6","6x6-seeded-random","-1","1","2","144","48","NaturalEnd","3384","6012","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0001.trl"
"6x6","6x6-seeded-random","-1","2","1","144","48","NaturalEnd","11489","6084","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0002.trl"
"6x6","6x6-seeded-random","-1","3","1","144","48","NaturalEnd","11414","8933","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0003.trl"
"6x6","6x6-seeded-random","-1","4","1","144","48","NaturalEnd","9080","8786","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0004.trl"
"6x6","6x6-seeded-random","-1","5","1","144","48","NaturalEnd","13970","8859","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0005.trl"
"6x6","6x6-seeded-random","-1","6","2","144","48","NaturalEnd","6081","14263","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0006.trl"
"6x6","6x6-seeded-random","-1","7","1","144","48","NaturalEnd","11564","8863","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0007.trl"
"6x6","6x6-seeded-random","-1","8","1","144","48","NaturalEnd","11636","8787","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0008.trl"
"6x6","6x6-seeded-random","-1","9","1","144","48","NaturalEnd","11345","3160","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0009.trl"
"6x6","6x6-seeded-random","-1","10","1","144","48","NaturalEnd","11786","6012","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0010.trl"
"6x6","6x6-seeded-random","-1","11","1","144","48","NaturalEnd","8862","6159","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0011.trl"
"6x6","6x6-seeded-random","-1","12","1","144","48","NaturalEnd","11417","3826","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0012.trl"
"6x6","6x6-seeded-random","-1","13","1","144","48","NaturalEnd","14191","6309","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0013.trl"
"6x6","6x6-seeded-random","-1","14","2","144","48","NaturalEnd","6086","11493","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0014.trl"
"6x6","6x6-seeded-random","-1","15","1","144","48","NaturalEnd","11565","6382","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0015.trl"
"6x6","6x6-seeded-random","-1","16","2","144","48","NaturalEnd","3601","8565","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0016.trl"
"6x6","6x6-seeded-random","-1","17","2","144","48","NaturalEnd","6306","11342","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0017.trl"
"6x6","6x6-seeded-random","-1","18","2","144","48","NaturalEnd","5863","6308","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0018.trl"
