"board","experiment_id","game_index","turn_number","progress","mover","allocation_pattern","regions_used","supply_placements","objective_placements","mixed_layers"
"4x4","seeded-random-self-play","1","1","0.041667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","1","2","0.083333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","1","3","0.125000","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","1","4","0.166667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","1","5","0.208333","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","1","6","0.250000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","1","7","0.291667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","1","8","0.333333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","1","9","0.375000","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","1","10","0.416667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","1","11","0.458333","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","1","12","0.500000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","1","13","0.541667","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","1","14","0.583333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","1","15","0.625000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","1","16","0.666667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","1","17","0.708333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","1","18","0.750000","2","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","1","19","0.791667","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","1","20","0.833333","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","1","21","0.875000","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","1","22","0.916667","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","1","23","0.958333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","1","24","1.000000","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","2","1","0.041667","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","2","2","0.083333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","2","3","0.125000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","2","4","0.166667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","2","5","0.208333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","2","6","0.250000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","2","7","0.291667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","2","8","0.333333","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","2","9","0.375000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","2","10","0.416667","2","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","2","11","0.458333","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","2","12","0.500000","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","2","13","0.541667","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","2","14","0.583333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","2","15","0.625000","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","2","16","0.666667","2","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","2","17","0.708333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","2","18","0.750000","2","2+1","2","1","2","true"
"4x4","seeded-random-self-play","2","19","0.791667","1","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","2","20","0.833333","2","2+1","2","1","2","true"
"4x4","seeded-random-self-play","2","21","0.875000","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","2","22","0.916667","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","2","23","0.958333","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","2","24","1.000000","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","3","1","0.041667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","3","2","0.083333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","3","3","0.125000","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","3","4","0.166667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","3","5","0.208333","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","3","6","0.250000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","3","7","0.291667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","3","8","0.333333","2","3","1","2","1","true"
"4x4","seeded-random-self-play","3","9","0.375000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","3","10","0.416667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","3","11","0.458333","1","2+1","2","1","2","true"
"4x4","seeded-random-self-play","3","12","0.500000","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","3","13","0.541667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","3","14","0.583333","2","1+1+1","3","0","3","false"
