"board","experiment_id","checkpoint","comparison_layer","games","non_tied_leader_games","tied_at_checkpoint","leader_lost","leader_lost_rate"
"6x6","6x6-uct-0500","0.25","secured","50","10","40","6","0.600000"
"6x6","6x6-uct-0500","0.25","secured_advantage","50","43","7","19","0.441860"
"6x6","6x6-uct-0500","0.25","full_lexicographic","50","49","1","21","0.428571"
"6x6","6x6-uct-0500","0.5","secured","50","39","11","21","0.538462"
"6x6","6x6-uct-0500","0.5","secured_advantage","50","47","3","25","0.531915"
"6x6","6x6-uct-0500","0.5","full_lexicographic","50","49","1","26","0.530612"
"6x6","6x6-uct-0500","0.75","secured","50","32","18","16","0.500000"
"6x6","6x6-uct-0500","0.75","secured_advantage","50","47","3","22","0.468085"
"6x6","6x6-uct-0500","0.75","full_lexicographic","50","49","1","23","0.469388"
"6x6","6x6-uct-0500","0.9","secured","50","29","21","7","0.241379"
"6x6","6x6-uct-0500","0.9","secured_advantage","50","46","4","7","0.152174"
"6x6","6x6-uct-0500","0.9","full_lexicographic","50","50","0","8","0.160000"
"4x4","uct-0500-self-play","0.25","secured","100","9","91","5","0.555556"
"4x4","uct-0500-self-play","0.25","secured_advantage","100","67","33","38","0.567164"
"4x4","uct-0500-self-play","0.25","full_lexicographic","100","77","23","41","0.532468"
"4x4","uct-0500-self-play","0.5","secured","100","65","35","25","0.384615"
"4x4","uct-0500-self-play","0.5","secured_advantage","100","92","8","37","0.402174"
"4x4","uct-0500-self-play","0.5","full_lexicographic","100","96","4","41","0.427083"
"4x4","uct-0500-self-play","0.75","secured","100","65","35","31","0.476923"
"4x4","uct-0500-self-play","0.75","secured_advantage","100","92","8","40","0.434783"
"4x4","uct-0500-self-play","0.75","full_lexicographic","100","98","2","44","0.448980"
"4x4","uct-0500-self-play","0.9","secured","100","46","54","17","0.369565"
"4x4","uct-0500-self-play","0.9","secured_advantage","100","84","16","34","0.404762"
"4x4","uct-0500-self-play","0.9","full_lexicographic","100","95","5","39","0.410526"
"6x6","6x6-uct-1000","0.25","secured","20","8","12","3","0.375000"
"6x6","6x6-uct-1000","0.25","secured_advantage","20","18","2","8","0.444444"
"6x6","6x6-uct-1000","0.25","full_lexicographic","20","20","0","9","0.450000"
"6x6","6x6-uct-1000","0.5","secured","20","17","3","4","0.235294"
"6x6","6x6-uct-1000","0.5","secured_advantage","20","20","0","5","0.250000"
"6x6","6x6-uct-1000","0.5","full_lexicographic","20","20","0","5","0.250000"
"6x6","6x6-uct-1000","0.75","secured","20","12","8","4","0.333333"
"6x6","6x6-uct-1000","0.75","secured_advantage","20","18","2","6","0.333333"
"6x6","6x6-uct-1000","0.75","full_lexicographic","20","20","0","7","0.350000"
"6x6","6x6-uct-1000","0.9","secured","20","4","16","1","0.250000"
"6x6","6x6-uct-1000","0.9","secured_advantage","20","17","3","3","0.176471"
"6x6","6x6-uct-1000","0.9","full_lexicographic","20","20","0","4","0.200000"
"4x4","uct-1000-self-play","0.25","secured","100","15","85","10","0.666667"
"4x4","uct-1000-self-play","0.25","secured_advantage","100","65","35","33","0.507692"
"4x4","uct-1000-self-play","0.25","full_lexicographic","100","82","18","38","0.463415"
"4x4","uct-1000-self-play","0.5","secured","100","60","40","32","0.533333"
"4x4","uct-1000-self-play","0.5","secured_advantage","100","87","13","44","0.505747"
"4x4","uct-1000-self-play","0.5","full_lexicographic","100","94","6","49","0.521277"
"4x4","uct-1000-self-play","0.75","secured","100","57","43","25","0.438596"
"4x4","uct-1000-self-play","0.75","secured_advantage","100","87","13","41","0.471264"
"4x4","uct-1000-self-play","0.75","full_lexicographic","100","96","4","47","0.489583"
"4x4","uct-1000-self-play","0.9","secured","100","51","49","23","0.450980"
"4x4","uct-1000-self-play","0.9","secured_advantage","100","82","18","37","0.451220"
"4x4","uct-1000-self-play","0.9","full_lexicographic","100","92","8","41","0.445652"
