"board","experiment_id","allocation_pattern","games","turns","pattern_turns","turn_share","game_bootstrap_95ci_low","game_bootstrap_95ci_high"
"4x4","uct-0500-self-play","3","100","2400","51","0.021250","0.015406","0.027927"
"4x4","uct-0500-self-play","2+1","100","2400","828","0.345000","0.326250","0.365000"
"4x4","uct-0500-self-play","1+1+1","100","2400","1521","0.633750","0.612500","0.654167"
"4x4","uct-0500-self-play","mean_regions_used","100","2400","","2.612500","2.589583","2.635833"
"4x4","uct-1000-self-play","3","100","2400","66","0.027500","0.021250","0.034583"
"4x4","uct-1000-self-play","2+1","100","2400","970","0.404167","0.385000","0.424594"
"4x4","uct-1000-self-play","1+1+1","100","2400","1364","0.568333","0.548750","0.589583"
"4x4","uct-1000-self-play","mean_regions_used","100","2400","","2.540833","2.517906","2.564177"
"6x6","6x6-uct-0500","3","50","2400","47","0.019583","0.013750","0.026250"
"6x6","6x6-uct-0500","2+1","50","2400","844","0.351667","0.331250","0.371667"
"6x6","6x6-uct-0500","1+1+1","50","2400","1509","0.628750","0.607490","0.650417"
"6x6","6x6-uct-0500","mean_regions_used","50","2400","","2.609167","2.582917","2.634583"
"6x6","6x6-uct-1000","3","20","960","23","0.023958","0.015625","0.032292"
"6x6","6x6-uct-1000","2+1","20","960","336","0.350000","0.318750","0.378125"
"6x6","6x6-uct-1000","1+1+1","20","960","601","0.626042","0.596875","0.658333"
"6x6","6x6-uct-1000","mean_regions_used","20","960","","2.602083","2.569792","2.636458"
