"board","experiment_id","progress_band","allocation_pattern","turns","pattern_turns","turn_share"
"4x4","uct-1000-self-play","0-25%","3","600","7","0.011667"
"4x4","uct-1000-self-play","0-25%","2+1","600","206","0.343333"
"4x4","uct-1000-self-play","0-25%","1+1+1","600","387","0.645000"
"4x4","uct-1000-self-play","0-25%","mixed_layers","600","323","0.538333"
"4x4","uct-1000-self-play","25-50%","3","600","26","0.043333"
"4x4","uct-1000-self-play","25-50%","2+1","600","232","0.386667"
"4x4","uct-1000-self-play","25-50%","1+1+1","600","342","0.570000"
"4x4","uct-1000-self-play","25-50%","mixed_layers","600","422","0.703333"
"4x4","uct-1000-self-play","50-75%","3","600","17","0.028333"
"4x4","uct-1000-self-play","50-75%","2+1","600","284","0.473333"
"4x4","uct-1000-self-play","50-75%","1+1+1","600","299","0.498333"
"4x4","uct-1000-self-play","50-75%","mixed_layers","600","362","0.603333"
"4x4","uct-1000-self-play","75-100%","3","600","16","0.026667"
"4x4","uct-1000-self-play","75-100%","2+1","600","248","0.413333"
"4x4","uct-1000-self-play","75-100%","1+1+1","600","336","0.560000"
"4x4","uct-1000-self-play","75-100%","mixed_layers","600","372","0.620000"
"6x6","6x6-uct-1000","0-25%","3","600","11","0.018333"
"6x6","6x6-uct-1000","0-25%","2+1","600","174","0.290000"
"6x6","6x6-uct-1000","0-25%","1+1+1","600","415","0.691667"
"6x6","6x6-uct-1000","0-25%","mixed_layers","600","365","0.608333"
"6x6","6x6-uct-1000","25-50%","3","600","11","0.018333"
"6x6","6x6-uct-1000","25-50%","2+1","600","205","0.341667"
"6x6","6x6-uct-1000","25-50%","1+1+1","600","384","0.640000"
"6x6","6x6-uct-1000","25-50%","mixed_layers","600","444","0.740000"
"6x6","6x6-uct-1000","50-75%","3","600","9","0.015000"
"6x6","6x6-uct-1000","50-75%","2+1","600","219","0.365000"
"6x6","6x6-uct-1000","50-75%","1+1+1","600","372","0.620000"
"6x6","6x6-uct-1000","50-75%","mixed_layers","600","362","0.603333"
"6x6","6x6-uct-1000","75-100%","3","600","18","0.030000"
"6x6","6x6-uct-1000","75-100%","2+1","600","274","0.456667"
"6x6","6x6-uct-1000","75-100%","1+1+1","600","308","0.513333"
"6x6","6x6-uct-1000","75-100%","mixed_layers","600","347","0.578333"
