"board","experiment_id","game_index","window_first_turn","window_last_turn","window_turns","placements","normalized_entropy","largest_region_share","hhi","region_coverage"
"3x3","3x3-seeded-random","1","1","4","4","12","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","1","2","5","4","12","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","1","3","6","4","12","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","1","4","7","4","12","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","1","5","8","4","12","0.868042","0.166667","0.152778","0.777778"
"3x3","3x3-seeded-random","1","6","9","4","12","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","1","7","10","4","12","0.670620","0.333333","0.250000","0.555556"
"3x3","3x3-seeded-random","1","8","11","4","12","0.670620","0.333333","0.250000","0.555556"
"3x3","3x3-seeded-random","1","9","12","4","12","0.762887","0.333333","0.208333","0.666667"
"3x3","3x3-seeded-random","1","10","13","4","12","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","1","11","14","4","12","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","1","12","15","4","12","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","1","13","16","4","12","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","1","14","17","4","12","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","1","15","18","4","12","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","2","1","4","4","12","0.815465","0.333333","0.194444","0.777778"
"3x3","3x3-seeded-random","2","2","5","4","12","0.720572","0.416667","0.250000","0.666667"
"3x3","3x3-seeded-random","2","3","6","4","12","0.648149","0.416667","0.277778","0.555556"
"3x3","3x3-seeded-random","2","4","7","4","12","0.828352","0.250000","0.180556","0.777778"
"3x3","3x3-seeded-random","2","5","8","4","12","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","2","6","9","4","12","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","2","7","10","4","12","0.815465","0.333333","0.194444","0.777778"
"3x3","3x3-seeded-random","2","8","11","4","12","0.743042","0.333333","0.222222","0.666667"
"3x3","3x3-seeded-random","2","9","12","4","12","0.900775","0.250000","0.152778","0.888889"
"3x3","3x3-seeded-random","2","10","13","4","12","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","2","11","14","4","12","0.920620","0.166667","0.138889","0.888889"
"3x3","3x3-seeded-random","2","12","15","4","12","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","2","13","16","4","12","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","2","14","17","4","12","0.648149","0.416667","0.277778","0.555556"
"3x3","3x3-seeded-random","2","15","18","4","12","0.743042","0.333333","0.222222","0.666667"
"3x3","3x3-uct-0100","1","1","4","4","12","0.720572","0.416667","0.250000","0.666667"
"3x3","3x3-uct-0100","1","2","5","4","12","0.690465","0.333333","0.236111","0.555556"
