"board","experiment_id","checkpoint","comparison_layer","games","tied_at_checkpoint","eventual_draws","reversal_denominator","reversals","reversal_rate"
"3x3","3x3-seeded-random","0.25","secured","2","1","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.25","secured_advantage","2","0","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.25","full_lexicographic","2","0","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.5","secured","2","1","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.5","secured_advantage","2","0","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.5","full_lexicographic","2","0","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.75","secured","2","1","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.75","secured_advantage","2","1","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.75","full_lexicographic","2","1","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.9","secured","2","1","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.9","secured_advantage","2","1","1","1","0","0.000000"
"3x3","3x3-seeded-random","0.9","full_lexicographic","2","0","1","1","0","0.000000"
"3x3","3x3-uct-0100","0.25","secured","2","2","0","0","0",""
"3x3","3x3-uct-0100","0.25","secured_advantage","2","1","0","1","0","0.000000"
"3x3","3x3-uct-0100","0.25","full_lexicographic","2","1","0","1","0","0.000000"
"3x3","3x3-uct-0100","0.5","secured","2","1","0","1","1","1.000000"
"3x3","3x3-uct-0100","0.5","secured_advantage","2","0","0","2","1","0.500000"
"3x3","3x3-uct-0100","0.5","full_lexicographic","2","0","0","2","1","0.500000"
"3x3","3x3-uct-0100","0.75","secured","2","1","0","1","1","1.000000"
"3x3","3x3-uct-0100","0.75","secured_advantage","2","0","0","2","1","0.500000"
"3x3","3x3-uct-0100","0.75","full_lexicographic","2","0","0","2","1","0.500000"
"3x3","3x3-uct-0100","0.9","secured","2","1","0","1","0","0.000000"
"3x3","3x3-uct-0100","0.9","secured_advantage","2","1","0","1","0","0.000000"
"3x3","3x3-uct-0100","0.9","full_lexicographic","2","0","0","2","1","0.500000"
"3x3","3x3-uct-0500","0.25","secured","2","2","0","0","0",""
"3x3","3x3-uct-0500","0.25","secured_advantage","2","1","0","1","0","0.000000"
"3x3","3x3-uct-0500","0.25","full_lexicographic","2","0","0","2","1","0.500000"
"3x3","3x3-uct-0500","0.5","secured","2","1","0","1","1","1.000000"
"3x3","3x3-uct-0500","0.5","secured_advantage","2","0","0","2","1","0.500000"
"3x3","3x3-uct-0500","0.5","full_lexicographic","2","0","0","2","1","0.500000"
"3x3","3x3-uct-0500","0.75","secured","2","2","0","0","0",""
"3x3","3x3-uct-0500","0.75","secured_advantage","2","1","0","1","0","0.000000"
"3x3","3x3-uct-0500","0.75","full_lexicographic","2","0","0","2","0","0.000000"
"3x3","3x3-uct-0500","0.9","secured","2","1","0","1","0","0.000000"
"3x3","3x3-uct-0500","0.9","secured_advantage","2","1","0","1","0","0.000000"
"3x3","3x3-uct-0500","0.9","full_lexicographic","2","0","0","2","0","0.000000"
"3x3","3x3-uct-1000","0.25","secured","2","1","0","1","0","0.000000"
"3x3","3x3-uct-1000","0.25","secured_advantage","2","0","0","2","0","0.000000"
"3x3","3x3-uct-1000","0.25","full_lexicographic","2","0","0","2","0","0.000000"
"3x3","3x3-uct-1000","0.5","secured","2","0","0","2","0","0.000000"
"3x3","3x3-uct-1000","0.5","secured_advantage","2","0","0","2","0","0.000000"
"3x3","3x3-uct-1000","0.5","full_lexicographic","2","0","0","2","0","0.000000"
"3x3","3x3-uct-1000","0.75","secured","2","2","0","0","0",""
"3x3","3x3-uct-1000","0.75","secured_advantage","2","0","0","2","1","0.500000"
"3x3","3x3-uct-1000","0.75","full_lexicographic","2","0","0","2","1","0.500000"
"3x3","3x3-uct-1000","0.9","secured","2","1","0","1","0","0.000000"
"3x3","3x3-uct-1000","0.9","secured_advantage","2","1","0","1","0","0.000000"
"3x3","3x3-uct-1000","0.9","full_lexicographic","2","0","0","2","0","0.000000"
