"board","experiment_id","game_index","checkpoint","turn_number","cumulative_placements","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"3x3","3x3-seeded-random","1","0.25","5","15","0.933333","0","0","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","1","0.5","9","27","0.925926","0","0","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","1","0.75","14","42","0.857143","5","0","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","1","0.9","17","51","0.823529","6","0","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","2","0.25","5","15","0.800000","1","1","0.720572","0.416667","0.250000","0.666667"
"3x3","3x3-seeded-random","2","0.5","9","27","0.814815","1","1","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","2","0.75","14","42","0.785714","2","1","0.920620","0.166667","0.138889","0.888889"
"3x3","3x3-seeded-random","2","0.9","17","51","0.745098","2","2","0.648149","0.416667","0.277778","0.555556"
"3x3","3x3-uct-0100","1","0.25","5","15","0.800000","1","0","0.690465","0.333333","0.236111","0.555556"
"3x3","3x3-uct-0100","1","0.5","9","27","0.629630","1","1","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-uct-0100","1","0.75","14","42","0.547619","1","4","0.618042","0.333333","0.263889","0.444444"
"3x3","3x3-uct-0100","1","0.9","17","51","0.450980","1","7","0.657732","0.333333","0.263889","0.555556"
"3x3","3x3-uct-0100","2","0.25","5","15","1.000000","0","0","0.690465","0.333333","0.236111","0.555556"
"3x3","3x3-uct-0100","2","0.5","9","27","0.740741","0","0","0.743042","0.333333","0.222222","0.666667"
"3x3","3x3-uct-0100","2","0.75","14","42","0.595238","1","2","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-uct-0100","2","0.9","17","51","0.529412","1","4","0.762887","0.333333","0.208333","0.666667"
"3x3","3x3-uct-0500","1","0.25","5","15","0.800000","0","0","0.618042","0.333333","0.263889","0.444444"
"3x3","3x3-uct-0500","1","0.5","9","27","0.629630","1","2","0.755930","0.250000","0.208333","0.666667"
"3x3","3x3-uct-0500","1","0.75","14","42","0.571429","1","4","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-uct-0500","1","0.9","17","51","0.529412","2","7","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-uct-0500","2","0.25","5","15","0.800000","0","0","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-uct-0500","2","0.5","9","27","0.666667","1","1","0.575727","0.416667","0.305556","0.444444"
"3x3","3x3-uct-0500","2","0.75","14","42","0.547619","2","4","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-uct-0500","2","0.9","17","51","0.549020","3","6","0.575727","0.416667","0.305556","0.444444"
"3x3","3x3-uct-1000","1","0.25","5","15","0.466667","0","2","0.755930","0.250000","0.208333","0.666667"
"3x3","3x3-uct-1000","1","0.5","9","27","0.518519","0","3","0.690465","0.333333","0.236111","0.555556"
"3x3","3x3-uct-1000","1","0.75","14","42","0.476190","0","4","0.710310","0.333333","0.250000","0.666667"
"3x3","3x3-uct-1000","1","0.9","17","51","0.529412","1","5","0.743042","0.333333","0.222222","0.666667"
"3x3","3x3-uct-1000","2","0.25","5","15","0.600000","0","1","0.615417","0.416667","0.305556","0.555556"
"3x3","3x3-uct-1000","2","0.5","9","27","0.444444","0","3","0.762887","0.333333","0.208333","0.666667"
"3x3","3x3-uct-1000","2","0.75","14","42","0.428571","0","6","0.670620","0.333333","0.250000","0.555556"
"3x3","3x3-uct-1000","2","0.9","17","51","0.450980","0","8","0.848197","0.250000","0.166667","0.777778"
