"board","experiment_id","checkpoint","games","turn_number","average_supply_share","average_secured_supply","average_secured_objectives","average_recent_normalized_entropy","average_recent_largest_region_share","average_recent_hhi","average_recent_region_coverage"
"3x3","3x3-seeded-random","0.25","2","5","0.866667","0.500000","0.500000","0.758096","0.333334","0.215278","0.666667"
"3x3","3x3-seeded-random","0.5","2","9","0.870370","0.500000","0.500000","0.785697","0.250000","0.187500","0.666667"
"3x3","3x3-seeded-random","0.75","2","14","0.821429","3.500000","0.500000","0.848197","0.208334","0.166666","0.777778"
"3x3","3x3-seeded-random","0.9","2","17","0.784313","4.000000","1.000000","0.748173","0.333334","0.222223","0.666667"
"3x3","3x3-uct-0100","0.25","2","5","0.900000","0.500000","0.000000","0.690465","0.333333","0.236111","0.555556"
"3x3","3x3-uct-0100","0.5","2","9","0.685186","0.500000","0.500000","0.769331","0.291666","0.201389","0.666667"
"3x3","3x3-uct-0100","0.75","2","14","0.571429","1.000000","3.000000","0.733119","0.291666","0.215278","0.611111"
"3x3","3x3-uct-0100","0.9","2","17","0.490196","1.000000","5.500000","0.710309","0.333333","0.236111","0.611112"
"3x3","3x3-uct-0500","0.25","2","5","0.800000","0.000000","0.000000","0.706831","0.291666","0.222222","0.555555"
"3x3","3x3-uct-0500","0.5","2","9","0.648149","1.000000","1.500000","0.665828","0.333334","0.256945","0.555555"
"3x3","3x3-uct-0500","0.75","2","14","0.559524","1.500000","4.000000","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-uct-0500","0.9","2","17","0.539216","2.500000","6.500000","0.711962","0.333334","0.236112","0.611111"
"3x3","3x3-uct-1000","0.25","2","5","0.533334","0.000000","1.500000","0.685674","0.333334","0.256945","0.611112"
"3x3","3x3-uct-1000","0.5","2","9","0.481482","0.000000","3.000000","0.726676","0.333333","0.222222","0.611112"
"3x3","3x3-uct-1000","0.75","2","14","0.452380","0.000000","5.000000","0.690465","0.333333","0.250000","0.611112"
"3x3","3x3-uct-1000","0.9","2","17","0.490196","0.500000","6.500000","0.795619","0.291666","0.194445","0.722222"
