"board","experiment_id","game_index","player","supply_point","securing_turn","used_after_securing","objective_placements_after_securing","first_use_delay_turns"
"3x3","3x3-seeded-random","1","2","S31","10","true","2","4"
"3x3","3x3-seeded-random","1","1","S21","11","false","0",""
"3x3","3x3-seeded-random","1","2","S33","12","true","1","2"
"3x3","3x3-seeded-random","1","1","S03","13","false","0",""
"3x3","3x3-seeded-random","1","1","S11","13","true","1","4"
"3x3","3x3-seeded-random","1","1","S13","17","false","0",""
"3x3","3x3-seeded-random","1","2","S12","18","false","0",""
"3x3","3x3-seeded-random","2","1","S31","5","true","1","4"
"3x3","3x3-seeded-random","2","1","S30","13","false","0",""
"3x3","3x3-seeded-random","2","2","S23","18","false","0",""
"3x3","3x3-uct-0100","1","1","S21","3","true","5","4"
"3x3","3x3-uct-0100","1","2","S32","18","false","0",""
"3x3","3x3-uct-0100","2","2","S11","10","true","2","4"
"3x3","3x3-uct-0500","1","1","S22","9","true","3","2"
"3x3","3x3-uct-0500","1","1","S21","17","false","0",""
"3x3","3x3-uct-0500","2","2","S21","8","true","4","2"
"3x3","3x3-uct-0500","2","2","S12","12","true","2","2"
"3x3","3x3-uct-0500","2","1","S32","17","false","0",""
"3x3","3x3-uct-1000","1","1","S12","15","false","0",""
