"board","experiment_id","supply_point","placements","share","rank","bootstrap_top_rank_rate"
"3x3","3x3-seeded-random","S00","3","0.035714","14","0.000000"
"3x3","3x3-seeded-random","S01","6","0.071429","5","0.000000"
"3x3","3x3-seeded-random","S02","2","0.023810","16","0.000000"
"3x3","3x3-seeded-random","S03","5","0.059524","8","0.247500"
"3x3","3x3-seeded-random","S10","3","0.035714","15","0.000000"
"3x3","3x3-seeded-random","S11","7","0.083333","2","0.000000"
"3x3","3x3-seeded-random","S12","5","0.059524","9","0.000000"
"3x3","3x3-seeded-random","S13","6","0.071429","6","0.000000"
"3x3","3x3-seeded-random","S20","5","0.059524","10","0.000000"
"3x3","3x3-seeded-random","S21","7","0.083333","3","0.000000"
"3x3","3x3-seeded-random","S22","5","0.059524","11","0.000000"
"3x3","3x3-seeded-random","S23","5","0.059524","12","0.254000"
"3x3","3x3-seeded-random","S30","4","0.047619","13","0.254000"
"3x3","3x3-seeded-random","S31","6","0.071429","7","0.000000"
"3x3","3x3-seeded-random","S32","7","0.083333","4","0.000000"
"3x3","3x3-seeded-random","S33","8","0.095238","1","0.746000"
"3x3","3x3-uct-0100","S00","4","0.072727","6","0.000000"
"3x3","3x3-uct-0100","S01","5","0.090909","3","0.000000"
"3x3","3x3-uct-0100","S02","1","0.018182","14","0.000000"
"3x3","3x3-uct-0100","S03","3","0.054545","8","0.000000"
"3x3","3x3-uct-0100","S10","1","0.018182","15","0.000000"
"3x3","3x3-uct-0100","S11","8","0.145455","1","0.752500"
"3x3","3x3-uct-0100","S12","5","0.090909","4","0.000000"
"3x3","3x3-uct-0100","S13","2","0.036364","11","0.000000"
"3x3","3x3-uct-0100","S20","3","0.054545","9","0.000000"
"3x3","3x3-uct-0100","S21","6","0.109091","2","0.247500"
"3x3","3x3-uct-0100","S22","5","0.090909","5","0.000000"
"3x3","3x3-uct-0100","S23","1","0.018182","16","0.000000"
"3x3","3x3-uct-0100","S30","2","0.036364","12","0.000000"
"3x3","3x3-uct-0100","S31","2","0.036364","13","0.000000"
"3x3","3x3-uct-0100","S32","3","0.054545","10","0.000000"
"3x3","3x3-uct-0100","S33","4","0.072727","7","0.000000"
"3x3","3x3-uct-0500","S00","3","0.049180","7","0.000000"
"3x3","3x3-uct-0500","S01","3","0.049180","8","0.000000"
"3x3","3x3-uct-0500","S02","5","0.081967","4","0.000000"
"3x3","3x3-uct-0500","S03","3","0.049180","9","0.000000"
"3x3","3x3-uct-0500","S10","4","0.065574","5","0.000000"
"3x3","3x3-uct-0500","S11","3","0.049180","10","0.000000"
"3x3","3x3-uct-0500","S12","8","0.131148","2","0.254000"
"3x3","3x3-uct-0500","S13","3","0.049180","11","0.000000"
"3x3","3x3-uct-0500","S20","3","0.049180","12","0.000000"
"3x3","3x3-uct-0500","S21","10","0.163934","1","1.000000"
"3x3","3x3-uct-0500","S22","7","0.114754","3","0.000000"
"3x3","3x3-uct-0500","S23","1","0.016393","14","0.000000"
"3x3","3x3-uct-0500","S30","2","0.032787","13","0.000000"
"3x3","3x3-uct-0500","S31","1","0.016393","15","0.000000"
"3x3","3x3-uct-0500","S32","4","0.065574","6","0.000000"
"3x3","3x3-uct-0500","S33","1","0.016393","16","0.000000"
"3x3","3x3-uct-1000","S00","1","0.017857","12","0.000000"
"3x3","3x3-uct-1000","S02","6","0.107143","3","0.247500"
"3x3","3x3-uct-1000","S10","3","0.053571","8","0.000000"
"3x3","3x3-uct-1000","S11","7","0.125000","2","0.247500"
"3x3","3x3-uct-1000","S12","6","0.107143","4","0.247500"
"3x3","3x3-uct-1000","S13","3","0.053571","9","0.000000"
"3x3","3x3-uct-1000","S20","3","0.053571","10","0.000000"
"3x3","3x3-uct-1000","S21","6","0.107143","5","0.254000"
"3x3","3x3-uct-1000","S22","8","0.142857","1","1.000000"
"3x3","3x3-uct-1000","S23","4","0.071429","7","0.000000"
"3x3","3x3-uct-1000","S30","5","0.089286","6","0.247500"
"3x3","3x3-uct-1000","S31","1","0.017857","13","0.000000"
"3x3","3x3-uct-1000","S32","2","0.035714","11","0.000000"
"3x3","3x3-uct-1000","S33","1","0.017857","14","0.000000"
