"board","experiment_id","progress_band","metric","turns","value"
"3x3","3x3-seeded-random","0-25%","3","8","0.000000"
"3x3","3x3-seeded-random","0-25%","2+1","8","0.375000"
"3x3","3x3-seeded-random","0-25%","1+1+1","8","0.625000"
"3x3","3x3-seeded-random","25-50%","3","10","0.100000"
"3x3","3x3-seeded-random","25-50%","2+1","10","0.400000"
"3x3","3x3-seeded-random","25-50%","1+1+1","10","0.500000"
"3x3","3x3-seeded-random","50-75%","3","8","0.000000"
"3x3","3x3-seeded-random","50-75%","2+1","8","0.375000"
"3x3","3x3-seeded-random","50-75%","1+1+1","8","0.625000"
"3x3","3x3-seeded-random","75-100%","3","10","0.000000"
"3x3","3x3-seeded-random","75-100%","2+1","10","0.500000"
"3x3","3x3-seeded-random","75-100%","1+1+1","10","0.500000"
"3x3","3x3-uct-0100","0-25%","3","8","0.125000"
"3x3","3x3-uct-0100","0-25%","2+1","8","0.375000"
"3x3","3x3-uct-0100","0-25%","1+1+1","8","0.500000"
"3x3","3x3-uct-0100","25-50%","3","10","0.000000"
"3x3","3x3-uct-0100","25-50%","2+1","10","0.300000"
"3x3","3x3-uct-0100","25-50%","1+1+1","10","0.700000"
"3x3","3x3-uct-0100","50-75%","3","8","0.000000"
"3x3","3x3-uct-0100","50-75%","2+1","8","0.250000"
"3x3","3x3-uct-0100","50-75%","1+1+1","8","0.750000"
"3x3","3x3-uct-0100","75-100%","3","10","0.000000"
"3x3","3x3-uct-0100","75-100%","2+1","10","0.600000"
"3x3","3x3-uct-0100","75-100%","1+1+1","10","0.400000"
"3x3","3x3-uct-0500","0-25%","3","8","0.000000"
"3x3","3x3-uct-0500","0-25%","2+1","8","0.375000"
"3x3","3x3-uct-0500","0-25%","1+1+1","8","0.625000"
"3x3","3x3-uct-0500","25-50%","3","10","0.000000"
"3x3","3x3-uct-0500","25-50%","2+1","10","0.400000"
"3x3","3x3-uct-0500","25-50%","1+1+1","10","0.600000"
"3x3","3x3-uct-0500","50-75%","3","8","0.125000"
"3x3","3x3-uct-0500","50-75%","2+1","8","0.375000"
"3x3","3x3-uct-0500","50-75%","1+1+1","8","0.500000"
"3x3","3x3-uct-0500","75-100%","3","10","0.000000"
"3x3","3x3-uct-0500","75-100%","2+1","10","0.600000"
"3x3","3x3-uct-0500","75-100%","1+1+1","10","0.400000"
"3x3","3x3-uct-1000","0-25%","3","8","0.125000"
"3x3","3x3-uct-1000","0-25%","2+1","8","0.375000"
"3x3","3x3-uct-1000","0-25%","1+1+1","8","0.500000"
"3x3","3x3-uct-1000","25-50%","3","10","0.000000"
"3x3","3x3-uct-1000","25-50%","2+1","10","0.600000"
"3x3","3x3-uct-1000","25-50%","1+1+1","10","0.400000"
"3x3","3x3-uct-1000","50-75%","3","8","0.000000"
"3x3","3x3-uct-1000","50-75%","2+1","8","0.625000"
"3x3","3x3-uct-1000","50-75%","1+1+1","8","0.375000"
"3x3","3x3-uct-1000","75-100%","3","10","0.000000"
"3x3","3x3-uct-1000","75-100%","2+1","10","0.300000"
"3x3","3x3-uct-1000","75-100%","1+1+1","10","0.700000"
