"board","experiment_id","metric","games","value","ci_low","ci_high"
"3x3","3x3-seeded-random","3","2","0.027778","0.000000","0.055556"
"3x3","3x3-seeded-random","2+1","2","0.416667","0.333333","0.500000"
"3x3","3x3-seeded-random","1+1+1","2","0.555556","0.444444","0.666667"
"3x3","3x3-seeded-random","mean_regions_used","2","2.527778","2.388889","2.666667"
"3x3","3x3-uct-0100","3","2","0.027778","0.000000","0.055556"
"3x3","3x3-uct-0100","2+1","2","0.388889","0.277778","0.500000"
"3x3","3x3-uct-0100","1+1+1","2","0.583333","0.500000","0.666667"
"3x3","3x3-uct-0100","mean_regions_used","2","2.555556","2.500000","2.611111"
"3x3","3x3-uct-0500","3","2","0.027778","0.000000","0.055556"
"3x3","3x3-uct-0500","2+1","2","0.444444","0.388889","0.500000"
"3x3","3x3-uct-0500","1+1+1","2","0.527778","0.500000","0.555556"
"3x3","3x3-uct-0500","mean_regions_used","2","2.500000","2.500000","2.500000"
"3x3","3x3-uct-1000","3","2","0.027778","0.000000","0.055556"
"3x3","3x3-uct-1000","2+1","2","0.472222","0.444444","0.500000"
"3x3","3x3-uct-1000","1+1+1","2","0.500000","0.444444","0.555556"
"3x3","3x3-uct-1000","mean_regions_used","2","2.472222","2.388889","2.555556"
