"board","experiment_id","game_index","turn_number","progress","mover","allocation_pattern","regions_used","supply_placements","objective_placements","mixed_layers"
"3x3","3x3-seeded-random","1","1","0.055556","1","1+1+1","3","3","0","false"
"3x3","3x3-seeded-random","1","2","0.111111","2","1+1+1","3","3","0","false"
"3x3","3x3-seeded-random","1","3","0.166667","1","1+1+1","3","3","0","false"
"3x3","3x3-seeded-random","1","4","0.222222","2","1+1+1","3","3","0","false"
"3x3","3x3-seeded-random","1","5","0.277778","1","1+1+1","3","2","1","true"
"3x3","3x3-seeded-random","1","6","0.333333","2","1+1+1","3","3","0","false"
"3x3","3x3-seeded-random","1","7","0.388889","1","1+1+1","3","3","0","false"
"3x3","3x3-seeded-random","1","8","0.444444","2","1+1+1","3","3","0","false"
"3x3","3x3-seeded-random","1","9","0.500000","1","2+1","2","2","1","true"
"3x3","3x3-seeded-random","1","10","0.555556","2","2+1","2","2","1","true"
"3x3","3x3-seeded-random","1","11","0.611111","1","1+1+1","3","2","1","true"
"3x3","3x3-seeded-random","1","12","0.666667","2","1+1+1","3","3","0","false"
"3x3","3x3-seeded-random","1","13","0.722222","1","2+1","2","3","0","false"
"3x3","3x3-seeded-random","1","14","0.777778","2","1+1+1","3","1","2","true"
"3x3","3x3-seeded-random","1","15","0.833333","1","2+1","2","2","1","true"
"3x3","3x3-seeded-random","1","16","0.888889","2","1+1+1","3","2","1","true"
"3x3","3x3-seeded-random","1","17","0.944444","1","2+1","2","2","1","true"
"3x3","3x3-seeded-random","1","18","1.000000","2","2+1","2","2","1","true"
"3x3","3x3-seeded-random","2","1","0.055556","1","2+1","2","3","0","false"
"3x3","3x3-seeded-random","2","2","0.111111","2","1+1+1","3","3","0","false"
"3x3","3x3-seeded-random","2","3","0.166667","1","2+1","2","2","1","true"
"3x3","3x3-seeded-random","2","4","0.222222","2","2+1","2","3","0","false"
"3x3","3x3-seeded-random","2","5","0.277778","1","3","1","1","2","true"
"3x3","3x3-seeded-random","2","6","0.333333","2","2+1","2","2","1","true"
"3x3","3x3-seeded-random","2","7","0.388889","1","1+1+1","3","3","0","false"
"3x3","3x3-seeded-random","2","8","0.444444","2","2+1","2","3","0","false"
"3x3","3x3-seeded-random","2","9","0.500000","1","2+1","2","2","1","true"
