"board","experiment_id","games","p1_wins","p2_wins","draws","supply_share","objective_share","average_secured_supply","average_secured_objectives","decided_by_secured","decided_by_advantage","decided_by_pieces","draw_criterion"
"3x3","3x3-seeded-random","100","44","53","3","0.693333","0.306667","3.900000","1.640000","67","25","5","3"
"3x3","3x3-uct-0100","100","29","69","2","0.560556","0.439444","1.870000","5.560000","40","47","11","2"
"3x3","3x3-uct-0500","100","52","46","2","0.528704","0.471296","1.910000","6.470000","59","27","12","2"
"3x3","3x3-uct-1000","100","48","45","7","0.542037","0.457963","2.500000","6.490000","52","36","5","7"
"4x4","seeded-random-self-play","100","60","39","1","0.669028","0.330972","3.680000","1.890000","70","24","5","1"
"4x4","uct-0100-self-play","100","22","78","0","0.544444","0.455556","2.080000","7.530000","41","41","18","0"
"4x4","uct-0500-self-play","100","26","72","2","0.466389","0.533611","1.070000","9.930000","44","35","19","2"
"4x4","uct-1000-self-play","100","39","53","8","0.455972","0.544028","1.260000","10.660000","52","29","11","8"
"6x6","6x6-seeded-random","100","56","44","0","0.615208","0.384792","6.450000","5.260000","80","16","4","0"
"6x6","6x6-uct-0100","50","9","41","0","0.557361","0.442639","4.540000","13.060000","26","24","0","0"
"6x6","6x6-uct-0500","50","7","43","0","0.456111","0.543889","2.540000","20.820000","20","21","9","0"
"6x6","6x6-uct-1000","50","9","41","0","0.408611","0.591389","1.740000","23.440000","20","17","13","0"
