"board","experiment_id","checkpoint","comparison_layer","games","tied_at_checkpoint","eventual_draws","reversal_denominator","reversals","reversal_rate"
"3x3","3x3-seeded-random","0.25","secured","100","99","3","1","0","0.000000"
"3x3","3x3-seeded-random","0.25","secured_advantage","100","26","3","72","35","0.486111"
"3x3","3x3-seeded-random","0.25","full_lexicographic","100","24","3","74","36","0.486486"
"3x3","3x3-seeded-random","0.5","secured","100","87","3","13","4","0.307692"
"3x3","3x3-seeded-random","0.5","secured_advantage","100","23","3","75","28","0.373333"
"3x3","3x3-seeded-random","0.5","full_lexicographic","100","15","3","82","30","0.365854"
"3x3","3x3-seeded-random","0.75","secured","100","51","3","48","7","0.145833"
"3x3","3x3-seeded-random","0.75","secured_advantage","100","12","3","86","15","0.174419"
"3x3","3x3-seeded-random","0.75","full_lexicographic","100","5","3","93","19","0.204301"
"3x3","3x3-seeded-random","0.9","secured","100","31","3","69","6","0.086957"
"3x3","3x3-seeded-random","0.9","secured_advantage","100","10","3","90","13","0.144444"
"3x3","3x3-seeded-random","0.9","full_lexicographic","100","1","3","96","16","0.166667"
"3x3","3x3-uct-0100","0.25","secured","100","97","2","3","3","1.000000"
"3x3","3x3-uct-0100","0.25","secured_advantage","100","19","2","79","56","0.708861"
"3x3","3x3-uct-0100","0.25","full_lexicographic","100","13","2","85","60","0.705882"
"3x3","3x3-uct-0100","0.5","secured","100","59","2","40","24","0.600000"
"3x3","3x3-uct-0100","0.5","secured_advantage","100","12","2","86","49","0.569767"
"3x3","3x3-uct-0100","0.5","full_lexicographic","100","6","2","92","53","0.576087"
"3x3","3x3-uct-0100","0.75","secured","100","45","2","54","21","0.388889"
"3x3","3x3-uct-0100","0.75","secured_advantage","100","13","2","85","30","0.352941"
"3x3","3x3-uct-0100","0.75","full_lexicographic","100","2","2","96","32","0.333333"
"3x3","3x3-uct-0100","0.9","secured","100","43","2","56","26","0.464286"
"3x3","3x3-uct-0100","0.9","secured_advantage","100","9","2","90","47","0.522222"
"3x3","3x3-uct-0100","0.9","full_lexicographic","100","1","2","97","54","0.556701"
"3x3","3x3-uct-0500","0.25","secured","100","95","2","5","3","0.600000"
"3x3","3x3-uct-0500","0.25","secured_advantage","100","9","2","89","42","0.471910"
"3x3","3x3-uct-0500","0.25","full_lexicographic","100","6","2","92","43","0.467391"
"3x3","3x3-uct-0500","0.5","secured","100","31","2","69","35","0.507246"
"3x3","3x3-uct-0500","0.5","secured_advantage","100","8","2","91","45","0.494505"
"3x3","3x3-uct-0500","0.5","full_lexicographic","100","2","2","97","48","0.494845"
"3x3","3x3-uct-0500","0.75","secured","100","43","2","56","23","0.410714"
"3x3","3x3-uct-0500","0.75","secured_advantage","100","18","2","80","36","0.450000"
"3x3","3x3-uct-0500","0.75","full_lexicographic","100","7","2","91","43","0.472527"
"3x3","3x3-uct-0500","0.9","secured","100","44","2","56","10","0.178571"
"3x3","3x3-uct-0500","0.9","secured_advantage","100","14","2","85","20","0.235294"
"3x3","3x3-uct-0500","0.9","full_lexicographic","100","3","2","95","25","0.263158"
"3x3","3x3-uct-1000","0.25","secured","100","88","7","11","4","0.363636"
"3x3","3x3-uct-1000","0.25","secured_advantage","100","16","7","78","37","0.474359"
"3x3","3x3-uct-1000","0.25","full_lexicographic","100","5","7","89","42","0.471910"
"3x3","3x3-uct-1000","0.5","secured","100","23","7","72","28","0.388889"
"3x3","3x3-uct-1000","0.5","secured_advantage","100","3","7","90","36","0.400000"
"3x3","3x3-uct-1000","0.5","full_lexicographic","100","1","7","92","38","0.413043"
"3x3","3x3-uct-1000","0.75","secured","100","39","7","58","18","0.310345"
"3x3","3x3-uct-1000","0.75","secured_advantage","100","16","7","79","21","0.265823"
"3x3","3x3-uct-1000","0.75","full_lexicographic","100","7","7","86","22","0.255814"
"3x3","3x3-uct-1000","0.9","secured","100","39","7","59","12","0.203390"
"3x3","3x3-uct-1000","0.9","secured_advantage","100","12","7","83","18","0.216867"
"3x3","3x3-uct-1000","0.9","full_lexicographic","100","4","7","90","25","0.277778"
"4x4","seeded-random-self-play","0.25","secured","100","100","1","0","0",""
"4x4","seeded-random-self-play","0.25","secured_advantage","100","39","1","60","21","0.350000"
"4x4","seeded-random-self-play","0.25","full_lexicographic","100","36","1","63","22","0.349206"
"4x4","seeded-random-self-play","0.5","secured","100","81","1","19","3","0.157895"
"4x4","seeded-random-self-play","0.5","secured_advantage","100","17","1","82","29","0.353659"
"4x4","seeded-random-self-play","0.5","full_lexicographic","100","5","1","94","32","0.340426"
"4x4","seeded-random-self-play","0.75","secured","100","46","1","54","7","0.129630"
"4x4","seeded-random-self-play","0.75","secured_advantage","100","2","1","97","22","0.226804"
"4x4","seeded-random-self-play","0.75","full_lexicographic","100","2","1","97","22","0.226804"
"4x4","seeded-random-self-play","0.9","secured","100","31","1","68","4","0.058824"
"4x4","seeded-random-self-play","0.9","secured_advantage","100","6","1","93","8","0.086022"
"4x4","seeded-random-self-play","0.9","full_lexicographic","100","2","1","97","10","0.103093"
"4x4","uct-0100-self-play","0.25","secured","100","95","0","5","4","0.800000"
"4x4","uct-0100-self-play","0.25","secured_advantage","100","30","0","70","34","0.485714"
"4x4","uct-0100-self-play","0.25","full_lexicographic","100","23","0","77","34","0.441558"
"4x4","uct-0100-self-play","0.5","secured","100","47","0","53","26","0.490566"
"4x4","uct-0100-self-play","0.5","secured_advantage","100","9","0","91","44","0.483516"
"4x4","uct-0100-self-play","0.5","full_lexicographic","100","3","0","97","47","0.484536"
"4x4","uct-0100-self-play","0.75","secured","100","44","0","56","21","0.375000"
"4x4","uct-0100-self-play","0.75","secured_advantage","100","11","0","89","32","0.359551"
"4x4","uct-0100-self-play","0.75","full_lexicographic","100","2","0","98","35","0.357143"
"4x4","uct-0100-self-play","0.9","secured","100","44","0","56","13","0.232143"
"4x4","uct-0100-self-play","0.9","secured_advantage","100","13","0","87","21","0.241379"
"4x4","uct-0100-self-play","0.9","full_lexicographic","100","2","0","98","23","0.234694"
"4x4","uct-0500-self-play","0.25","secured","100","91","2","9","5","0.555556"
"4x4","uct-0500-self-play","0.25","secured_advantage","100","33","2","65","38","0.584615"
"4x4","uct-0500-self-play","0.25","full_lexicographic","100","23","2","75","41","0.546667"
"4x4","uct-0500-self-play","0.5","secured","100","35","2","63","25","0.396825"
"4x4","uct-0500-self-play","0.5","secured_advantage","100","8","2","90","37","0.411111"
"4x4","uct-0500-self-play","0.5","full_lexicographic","100","4","2","94","41","0.436170"
"4x4","uct-0500-self-play","0.75","secured","100","35","2","63","31","0.492063"
"4x4","uct-0500-self-play","0.75","secured_advantage","100","8","2","90","40","0.444444"
"4x4","uct-0500-self-play","0.75","full_lexicographic","100","2","2","96","44","0.458333"
"4x4","uct-0500-self-play","0.9","secured","100","54","2","45","17","0.377778"
"4x4","uct-0500-self-play","0.9","secured_advantage","100","16","2","83","34","0.409639"
"4x4","uct-0500-self-play","0.9","full_lexicographic","100","5","2","94","39","0.414894"
"4x4","uct-1000-self-play","0.25","secured","100","85","8","15","10","0.666667"
"4x4","uct-1000-self-play","0.25","secured_advantage","100","35","8","58","33","0.568966"
"4x4","uct-1000-self-play","0.25","full_lexicographic","100","18","8","74","38","0.513514"
"4x4","uct-1000-self-play","0.5","secured","100","40","8","58","32","0.551724"
"4x4","uct-1000-self-play","0.5","secured_advantage","100","13","8","80","44","0.550000"
"4x4","uct-1000-self-play","0.5","full_lexicographic","100","6","8","87","49","0.563218"
"4x4","uct-1000-self-play","0.75","secured","100","43","8","50","25","0.500000"
"4x4","uct-1000-self-play","0.75","secured_advantage","100","13","8","79","41","0.518987"
"4x4","uct-1000-self-play","0.75","full_lexicographic","100","4","8","88","47","0.534091"
"4x4","uct-1000-self-play","0.9","secured","100","49","8","46","23","0.500000"
"4x4","uct-1000-self-play","0.9","secured_advantage","100","18","8","76","37","0.486842"
"4x4","uct-1000-self-play","0.9","full_lexicographic","100","8","8","85","41","0.482353"
"6x6","6x6-seeded-random","0.25","secured","100","95","0","5","3","0.600000"
"6x6","6x6-seeded-random","0.25","secured_advantage","100","21","0","79","27","0.341772"
"6x6","6x6-seeded-random","0.25","full_lexicographic","100","16","0","84","29","0.345238"
"6x6","6x6-seeded-random","0.5","secured","100","57","0","43","11","0.255814"
"6x6","6x6-seeded-random","0.5","secured_advantage","100","14","0","86","27","0.313953"
"6x6","6x6-seeded-random","0.5","full_lexicographic","100","3","0","97","30","0.309278"
"6x6","6x6-seeded-random","0.75","secured","100","27","0","73","15","0.205479"
"6x6","6x6-seeded-random","0.75","secured_advantage","100","3","0","97","21","0.216495"
"6x6","6x6-seeded-random","0.75","full_lexicographic","100","0","0","100","23","0.230000"
"6x6","6x6-seeded-random","0.9","secured","100","23","0","77","11","0.142857"
"6x6","6x6-seeded-random","0.9","secured_advantage","100","6","0","94","14","0.148936"
"6x6","6x6-seeded-random","0.9","full_lexicographic","100","2","0","98","18","0.183673"
"6x6","6x6-uct-0100","0.25","secured","50","43","0","7","5","0.714286"
"6x6","6x6-uct-0100","0.25","secured_advantage","50","8","0","42","18","0.428571"
"6x6","6x6-uct-0100","0.25","full_lexicographic","50","4","0","46","20","0.434783"
"6x6","6x6-uct-0100","0.5","secured","50","24","0","26","13","0.500000"
"6x6","6x6-uct-0100","0.5","secured_advantage","50","3","0","47","19","0.404255"
"6x6","6x6-uct-0100","0.5","full_lexicographic","50","1","0","49","21","0.428571"
"6x6","6x6-uct-0100","0.75","secured","50","10","0","40","23","0.575000"
"6x6","6x6-uct-0100","0.75","secured_advantage","50","0","0","50","27","0.540000"
"6x6","6x6-uct-0100","0.75","full_lexicographic","50","0","0","50","27","0.540000"
"6x6","6x6-uct-0100","0.9","secured","50","20","0","30","7","0.233333"
"6x6","6x6-uct-0100","0.9","secured_advantage","50","3","0","47","10","0.212766"
"6x6","6x6-uct-0100","0.9","full_lexicographic","50","0","0","50","10","0.200000"
