"board","experiment_id","checkpoint","games","turn_number","average_supply_share","average_secured_supply","average_secured_objectives","average_recent_normalized_entropy","average_recent_largest_region_share","average_recent_hhi","average_recent_region_coverage"
"3x3","3x3-seeded-random","0.25","100","5","0.863333","0.150000","0.010000","0.788947","0.298333","0.204028","0.726667"
"3x3","3x3-seeded-random","0.5","100","9","0.784445","0.880000","0.150000","0.802086","0.283333","0.194306","0.733334"
"3x3","3x3-seeded-random","0.75","100","14","0.726190","2.370000","0.770000","0.784635","0.298333","0.203472","0.713334"
"3x3","3x3-seeded-random","0.9","100","17","0.700392","3.410000","1.390000","0.812790","0.280833","0.189306","0.751111"
"3x3","3x3-uct-0100","0.25","100","5","0.782667","0.080000","0.030000","0.778750","0.300833","0.204444","0.703334"
"3x3","3x3-uct-0100","0.5","100","9","0.663334","0.360000","0.620000","0.784377","0.288333","0.200972","0.706667"
"3x3","3x3-uct-0100","0.75","100","14","0.588810","1.090000","3.130000","0.815201","0.280833","0.188333","0.755556"
"3x3","3x3-uct-0100","0.9","100","17","0.559804","1.580000","5.130000","0.786850","0.293333","0.200556","0.712222"
"3x3","3x3-uct-0500","0.25","100","5","0.741333","0.150000","0.050000","0.738163","0.328333","0.227222","0.654445"
"3x3","3x3-uct-0500","0.5","100","9","0.608148","0.620000","1.400000","0.774845","0.295833","0.205694","0.695556"
"3x3","3x3-uct-0500","0.75","100","14","0.520238","1.240000","4.750000","0.773318","0.303333","0.209028","0.696667"
"3x3","3x3-uct-0500","0.9","100","17","0.516275","1.630000","6.200000","0.736158","0.344167","0.232222","0.663334"
"3x3","3x3-uct-1000","0.25","100","5","0.733333","0.430000","0.120000","0.707677","0.350000","0.245417","0.618889"
"3x3","3x3-uct-1000","0.5","100","9","0.603704","1.100000","1.650000","0.741691","0.320833","0.224167","0.655556"
"3x3","3x3-uct-1000","0.75","100","14","0.524286","1.880000","4.980000","0.747016","0.317500","0.220833","0.662222"
"3x3","3x3-uct-1000","0.9","100","17","0.529804","2.310000","6.220000","0.712965","0.345833","0.243194","0.625556"
"4x4","seeded-random-self-play","0.25","100","6","0.855555","0.140000","0.000000","0.803553","0.277500","0.192083","0.732222"
"4x4","seeded-random-self-play","0.5","100","12","0.753056","0.750000","0.210000","0.825447","0.265833","0.181528","0.763334"
"4x4","seeded-random-self-play","0.75","100","18","0.700370","2.050000","0.890000","0.824773","0.277500","0.185695","0.774445"
"4x4","seeded-random-self-play","0.9","100","22","0.678333","3.070000","1.410000","0.829204","0.268333","0.181806","0.775556"
"4x4","uct-0100-self-play","0.25","100","6","0.771111","0.060000","0.050000","0.785644","0.293333","0.201111","0.711111"
"4x4","uct-0100-self-play","0.5","100","12","0.652500","0.430000","0.880000","0.813924","0.270833","0.187500","0.748889"
"4x4","uct-0100-self-play","0.75","100","18","0.586111","1.060000","3.500000","0.807449","0.284167","0.191528","0.744445"
"4x4","uct-0100-self-play","0.9","100","22","0.555000","1.630000","6.270000","0.805180","0.279167","0.191667","0.735556"
"4x4","uct-0500-self-play","0.25","100","6","0.712222","0.040000","0.090000","0.781829","0.301667","0.204028","0.710000"
"4x4","uct-0500-self-play","0.5","100","12","0.556667","0.220000","2.510000","0.779632","0.294167","0.202778","0.701111"
"4x4","uct-0500-self-play","0.75","100","18","0.478889","0.570000","6.760000","0.758374","0.316667","0.216389","0.678889"
"4x4","uct-0500-self-play","0.9","100","22","0.461212","0.890000","9.040000","0.754453","0.308333","0.216667","0.670000"
"4x4","uct-1000-self-play","0.25","100","6","0.703333","0.020000","0.170000","0.763591","0.305833","0.212500","0.684445"
"4x4","uct-1000-self-play","0.5","100","12","0.525000","0.360000","3.340000","0.730478","0.335000","0.234028","0.646667"
"4x4","uct-1000-self-play","0.75","100","18","0.453148","0.650000","7.700000","0.729502","0.336667","0.233056","0.645556"
"4x4","uct-1000-self-play","0.9","100","22","0.443333","1.010000","9.800000","0.726313","0.338333","0.234444","0.643334"
"6x6","6x6-seeded-random","0.25","100","12","0.786944","0.260000","0.050000","0.797325","0.281667","0.195417","0.727778"
"6x6","6x6-seeded-random","0.5","100","24","0.695278","1.440000","0.610000","0.808133","0.280833","0.189444","0.738889"
"6x6","6x6-seeded-random","0.75","100","36","0.645185","3.550000","2.370000","0.804354","0.275000","0.190833","0.732222"
"6x6","6x6-seeded-random","0.9","100","44","0.624242","5.440000","4.060000","0.829359","0.265833","0.180417","0.770000"
"6x6","6x6-uct-0100","0.25","50","12","0.775000","0.180000","0.140000","0.816420","0.268333","0.184722","0.746667"
"6x6","6x6-uct-0100","0.5","50","24","0.664167","1.120000","1.460000","0.819251","0.278333","0.186945","0.762222"
"6x6","6x6-uct-0100","0.75","50","36","0.605185","2.320000","4.740000","0.817180","0.265000","0.184722","0.751111"
"6x6","6x6-uct-0100","0.9","50","44","0.572576","3.660000","9.660000","0.806062","0.286667","0.192222","0.742222"
"6x6","6x6-uct-0500","0.25","50","12","0.712222","0.120000","0.200000","0.795163","0.275000","0.193333","0.715556"
"6x6","6x6-uct-0500","0.5","50","24","0.580556","0.640000","3.400000","0.802029","0.275000","0.192222","0.728889"
"6x6","6x6-uct-0500","0.75","50","36","0.506111","1.400000","11.260000","0.803199","0.286667","0.193889","0.740000"
"6x6","6x6-uct-0500","0.9","50","44","0.465455","2.080000","18.740000","0.785925","0.281667","0.199444","0.706667"
"6x6","6x6-uct-1000","0.25","50","12","0.652778","0.060000","0.600000","0.807728","0.281667","0.191945","0.744445"
"6x6","6x6-uct-1000","0.5","50","24","0.521944","0.300000","5.320000","0.788993","0.291667","0.198889","0.717778"
"6x6","6x6-uct-1000","0.75","50","36","0.442778","0.880000","15.880000","0.761137","0.310000","0.212222","0.675556"
"6x6","6x6-uct-1000","0.9","50","44","0.413485","1.400000","21.500000","0.752839","0.331667","0.222500","0.684445"
