"board","experiment_id","games","games_with_secured_supply","mean_first_securing_turn","secured_player_supplies","used_later","conversion_rate"
"3x3","3x3-seeded-random","100","99","8.535354","390","145","0.371795"
"3x3","3x3-uct-0100","100","92","10.978261","187","99","0.529412"
"3x3","3x3-uct-0500","100","96","9.843750","191","134","0.701571"
"3x3","3x3-uct-1000","100","97","7.185567","250","198","0.792000"
"4x4","seeded-random-self-play","100","98","11.887755","368","134","0.364130"
"4x4","uct-0100-self-play","100","96","14.614583","208","95","0.456731"
"4x4","uct-0500-self-play","100","67","16.059701","107","69","0.644860"
"4x4","uct-1000-self-play","100","78","15.333333","126","91","0.722222"
"6x6","6x6-seeded-random","100","100","18.670000","645","287","0.444961"
"6x6","6x6-uct-0100","50","50","20.860000","227","94","0.414097"
"6x6","6x6-uct-0500","50","44","24.159091","127","71","0.559055"
"6x6","6x6-uct-1000","50","43","28.139535","87","49","0.563218"
