"board","experiment_id","game_index","player","supply_point","securing_turn","used_after_securing","objective_placements_after_securing","first_use_delay_turns"
"3x3","3x3-seeded-random","1","2","S31","10","true","2","4"
"3x3","3x3-seeded-random","1","1","S21","11","false","0",""
"3x3","3x3-seeded-random","1","2","S33","12","true","1","2"
"3x3","3x3-seeded-random","1","1","S03","13","false","0",""
"3x3","3x3-seeded-random","1","1","S11","13","true","1","4"
"3x3","3x3-seeded-random","1","1","S13","17","false","0",""
"3x3","3x3-seeded-random","1","2","S12","18","false","0",""
"3x3","3x3-seeded-random","2","1","S31","5","true","1","4"
"3x3","3x3-seeded-random","2","1","S30","13","false","0",""
"3x3","3x3-seeded-random","2","2","S23","18","false","0",""
"3x3","3x3-seeded-random","3","1","S00","11","false","0",""
"3x3","3x3-seeded-random","4","1","S02","11","true","1","4"
"3x3","3x3-seeded-random","4","1","S33","13","false","0",""
"3x3","3x3-seeded-random","4","2","S00","14","false","0",""
"3x3","3x3-seeded-random","4","2","S31","14","false","0",""
"3x3","3x3-seeded-random","5","2","S20","8","true","1","8"
"3x3","3x3-seeded-random","5","2","S12","10","true","2","2"
"3x3","3x3-seeded-random","5","2","S13","10","false","0",""
"3x3","3x3-seeded-random","5","2","S11","14","true","1","2"
"3x3","3x3-seeded-random","6","2","S22","8","true","2","2"
"3x3","3x3-seeded-random","7","1","S33","15","false","0",""
"3x3","3x3-seeded-random","7","2","S31","16","false","0",""
"3x3","3x3-seeded-random","8","1","S01","7","true","2","2"
"3x3","3x3-seeded-random","8","2","S12","10","true","1","2"
"3x3","3x3-seeded-random","8","1","S22","17","false","0",""
"3x3","3x3-seeded-random","9","1","S03","5","false","0",""
"3x3","3x3-seeded-random","9","1","S01","9","false","0",""
"3x3","3x3-seeded-random","9","1","S30","11","false","0",""
"3x3","3x3-seeded-random","9","2","S31","12","true","1","2"
"3x3","3x3-seeded-random","9","1","S32","15","false","0",""
"3x3","3x3-seeded-random","9","2","S23","16","false","0",""
"3x3","3x3-seeded-random","10","2","S11","10","true","1","6"
"3x3","3x3-seeded-random","10","1","S03","15","false","0",""
"3x3","3x3-seeded-random","10","2","S01","18","false","0",""
"3x3","3x3-seeded-random","11","1","S21","9","true","2","2"
"3x3","3x3-seeded-random","11","2","S12","12","false","0",""
"3x3","3x3-seeded-random","11","1","S20","13","false","0",""
"3x3","3x3-seeded-random","11","2","S22","16","false","0",""
"3x3","3x3-seeded-random","11","1","S10","17","false","0",""
"3x3","3x3-seeded-random","11","1","S33","17","false","0",""
"3x3","3x3-seeded-random","12","1","S22","17","false","0",""
"3x3","3x3-seeded-random","12","2","S20","18","false","0",""
"3x3","3x3-seeded-random","13","1","S03","11","false","0",""
"3x3","3x3-seeded-random","13","2","S22","12","true","2","2"
"3x3","3x3-seeded-random","13","1","S30","13","false","0",""
"3x3","3x3-seeded-random","13","1","S12","15","true","1","2"
"3x3","3x3-seeded-random","13","2","S02","16","false","0",""
"3x3","3x3-seeded-random","14","1","S03","13","false","0",""
"3x3","3x3-seeded-random","15","1","S02","11","true","1","2"
"3x3","3x3-seeded-random","15","2","S23","12","false","0",""
"3x3","3x3-seeded-random","15","2","S21","16","false","0",""
"3x3","3x3-seeded-random","15","1","S03","17","false","0",""
"3x3","3x3-seeded-random","15","1","S30","17","false","0",""
"3x3","3x3-seeded-random","15","2","S33","18","false","0",""
"3x3","3x3-seeded-random","16","1","S13","5","false","0",""
"3x3","3x3-seeded-random","16","1","S30","11","false","0",""
