"board","experiment_id","games","supply_placements","mean_game_supply_hhi","most_used_supply","most_used_share"
"3x3","3x3-seeded-random","100","3744","0.081184","S00","0.070246"
"3x3","3x3-uct-0100","100","3027","0.091855","S22","0.092170"
"3x3","3x3-uct-0500","100","2855","0.106790","S12","0.117338"
"3x3","3x3-uct-1000","100","2927","0.114833","S12","0.138025"
"4x4","seeded-random-self-play","100","4817","0.056541","S00","0.047540"
"4x4","uct-0100-self-play","100","3920","0.062380","S12","0.051531"
"4x4","uct-0500-self-play","100","3358","0.072308","S21","0.064622"
"4x4","uct-1000-self-play","100","3283","0.079077","S31","0.070058"
"6x6","6x6-seeded-random","100","8859","0.029540","S51","0.023366"
"6x6","6x6-uct-0100","50","4013","0.031160","S54","0.027162"
"6x6","6x6-uct-0500","50","3284","0.034405","S33","0.028928"
"6x6","6x6-uct-1000","50","2942","0.037008","S54","0.028552"
