"board","experiment_id","supply_point","placements","share","rank","bootstrap_top_rank_rate"
"3x3","3x3-seeded-random","S00","263","0.070246","1","0.588500"
"3x3","3x3-seeded-random","S01","229","0.061165","11","0.001500"
"3x3","3x3-seeded-random","S02","224","0.059829","12","0.002000"
"3x3","3x3-seeded-random","S03","234","0.062500","8","0.035500"
"3x3","3x3-seeded-random","S10","215","0.057425","16","0.000500"
"3x3","3x3-seeded-random","S11","247","0.065972","2","0.080500"
"3x3","3x3-seeded-random","S12","243","0.064904","4","0.085500"
"3x3","3x3-seeded-random","S13","240","0.064103","5","0.042000"
"3x3","3x3-seeded-random","S20","239","0.063835","6","0.027500"
"3x3","3x3-seeded-random","S21","232","0.061966","10","0.020000"
"3x3","3x3-seeded-random","S22","233","0.062233","9","0.015000"
"3x3","3x3-seeded-random","S23","224","0.059829","13","0.003500"
"3x3","3x3-seeded-random","S30","216","0.057692","15","0.001000"
"3x3","3x3-seeded-random","S31","223","0.059562","14","0.002000"
"3x3","3x3-seeded-random","S32","246","0.065705","3","0.112500"
"3x3","3x3-seeded-random","S33","236","0.063034","7","0.024500"
"3x3","3x3-uct-0100","S00","117","0.038652","16","0.000000"
"3x3","3x3-uct-0100","S01","167","0.055170","12","0.000000"
"3x3","3x3-uct-0100","S02","196","0.064751","6","0.000000"
"3x3","3x3-uct-0100","S03","138","0.045590","13","0.000000"
"3x3","3x3-uct-0100","S10","177","0.058474","10","0.000000"
"3x3","3x3-uct-0100","S11","257","0.084903","3","0.060000"
"3x3","3x3-uct-0100","S12","268","0.088537","2","0.267000"
"3x3","3x3-uct-0100","S13","175","0.057813","11","0.000000"
"3x3","3x3-uct-0100","S20","202","0.066733","5","0.000000"
"3x3","3x3-uct-0100","S21","253","0.083581","4","0.030500"
"3x3","3x3-uct-0100","S22","279","0.092170","1","0.668500"
"3x3","3x3-uct-0100","S23","193","0.063759","7","0.000000"
"3x3","3x3-uct-0100","S30","121","0.039974","15","0.000000"
"3x3","3x3-uct-0100","S31","182","0.060126","8","0.000000"
"3x3","3x3-uct-0100","S32","179","0.059134","9","0.000000"
"3x3","3x3-uct-0100","S33","123","0.040634","14","0.000000"
"3x3","3x3-uct-0500","S00","79","0.027671","16","0.000000"
"3x3","3x3-uct-0500","S01","145","0.050788","10","0.000000"
"3x3","3x3-uct-0500","S02","154","0.053940","8","0.000000"
"3x3","3x3-uct-0500","S03","93","0.032574","13","0.000000"
"3x3","3x3-uct-0500","S10","158","0.055342","5","0.000000"
"3x3","3x3-uct-0500","S11","334","0.116988","2","0.278500"
"3x3","3x3-uct-0500","S12","335","0.117338","1","0.330500"
"3x3","3x3-uct-0500","S13","146","0.051138","9","0.000000"
"3x3","3x3-uct-0500","S20","141","0.049387","11","0.000000"
"3x3","3x3-uct-0500","S21","322","0.112785","4","0.109500"
"3x3","3x3-uct-0500","S22","334","0.116988","3","0.321500"
"3x3","3x3-uct-0500","S23","155","0.054291","7","0.000000"
"3x3","3x3-uct-0500","S30","81","0.028371","14","0.000000"
"3x3","3x3-uct-0500","S31","141","0.049387","12","0.000000"
"3x3","3x3-uct-0500","S32","157","0.054991","6","0.000000"
"3x3","3x3-uct-0500","S33","80","0.028021","15","0.000000"
"3x3","3x3-uct-1000","S00","77","0.026307","13","0.000000"
"3x3","3x3-uct-1000","S01","141","0.048172","8","0.000000"
"3x3","3x3-uct-1000","S02","139","0.047489","9","0.000000"
"3x3","3x3-uct-1000","S03","60","0.020499","16","0.000000"
"3x3","3x3-uct-1000","S10","153","0.052272","6","0.000000"
"3x3","3x3-uct-1000","S11","368","0.125726","4","0.018500"
"3x3","3x3-uct-1000","S12","404","0.138025","1","0.807500"
"3x3","3x3-uct-1000","S13","134","0.045781","10","0.000000"
"3x3","3x3-uct-1000","S20","130","0.044414","11","0.000000"
"3x3","3x3-uct-1000","S21","373","0.127434","3","0.039000"
"3x3","3x3-uct-1000","S22","386","0.131876","2","0.154500"
"3x3","3x3-uct-1000","S23","114","0.038948","12","0.000000"
"3x3","3x3-uct-1000","S30","71","0.024257","14","0.000000"
"3x3","3x3-uct-1000","S31","160","0.054663","5","0.000000"
"3x3","3x3-uct-1000","S32","148","0.050564","7","0.000000"
"3x3","3x3-uct-1000","S33","69","0.023574","15","0.000000"
"4x4","seeded-random-self-play","S00","229","0.047540","1","0.576000"
"4x4","seeded-random-self-play","S01","197","0.040897","12","0.012000"
"4x4","seeded-random-self-play","S02","199","0.041312","9","0.005500"
"4x4","seeded-random-self-play","S03","207","0.042973","5","0.041500"
"4x4","seeded-random-self-play","S04","176","0.036537","22","0.000000"
"4x4","seeded-random-self-play","S10","175","0.036330","23","0.000000"
"4x4","seeded-random-self-play","S11","181","0.037575","19","0.001000"
"4x4","seeded-random-self-play","S12","166","0.034461","25","0.000000"
"4x4","seeded-random-self-play","S13","210","0.043596","4","0.045000"
"4x4","seeded-random-self-play","S14","187","0.038821","14","0.000500"
"4x4","seeded-random-self-play","S20","202","0.041935","8","0.022500"
"4x4","seeded-random-self-play","S21","217","0.045049","2","0.196000"
"4x4","seeded-random-self-play","S22","189","0.039236","13","0.002000"
"4x4","seeded-random-self-play","S23","183","0.037990","18","0.000500"
"4x4","seeded-random-self-play","S24","185","0.038406","15","0.001000"
"4x4","seeded-random-self-play","S30","184","0.038198","16","0.000500"
"4x4","seeded-random-self-play","S31","203","0.042142","6","0.023500"
"4x4","seeded-random-self-play","S32","180","0.037368","21","0.000000"
"4x4","seeded-random-self-play","S33","199","0.041312","10","0.012500"
"4x4","seeded-random-self-play","S34","170","0.035292","24","0.000000"
"4x4","seeded-random-self-play","S40","199","0.041312","11","0.016000"
"4x4","seeded-random-self-play","S41","203","0.042142","7","0.024000"
"4x4","seeded-random-self-play","S42","184","0.038198","17","0.000500"
"4x4","seeded-random-self-play","S43","211","0.043803","3","0.060000"
"4x4","seeded-random-self-play","S44","181","0.037575","20","0.000500"
"4x4","uct-0100-self-play","S00","130","0.033163","21","0.000000"
"4x4","uct-0100-self-play","S01","138","0.035204","20","0.000000"
"4x4","uct-0100-self-play","S02","150","0.038265","15","0.000000"
"4x4","uct-0100-self-play","S03","146","0.037245","17","0.000000"
"4x4","uct-0100-self-play","S04","127","0.032398","22","0.000000"
"4x4","uct-0100-self-play","S10","121","0.030867","24","0.000000"
"4x4","uct-0100-self-play","S11","172","0.043878","8","0.006500"
"4x4","uct-0100-self-play","S12","202","0.051531","1","0.419000"
"4x4","uct-0100-self-play","S13","186","0.047449","4","0.063500"
"4x4","uct-0100-self-play","S14","145","0.036990","18","0.000000"
"4x4","uct-0100-self-play","S20","148","0.037755","16","0.000000"
"4x4","uct-0100-self-play","S21","179","0.045663","6","0.016500"
"4x4","uct-0100-self-play","S22","163","0.041582","9","0.001000"
"4x4","uct-0100-self-play","S23","175","0.044643","7","0.003000"
"4x4","uct-0100-self-play","S24","157","0.040051","11","0.000000"
"4x4","uct-0100-self-play","S30","157","0.040051","12","0.000000"
"4x4","uct-0100-self-play","S31","201","0.051276","2","0.352000"
"4x4","uct-0100-self-play","S32","192","0.048980","3","0.147000"
"4x4","uct-0100-self-play","S33","185","0.047194","5","0.031500"
"4x4","uct-0100-self-play","S34","161","0.041071","10","0.000000"
"4x4","uct-0100-self-play","S40","110","0.028061","25","0.000000"
"4x4","uct-0100-self-play","S41","144","0.036735","19","0.000000"
"4x4","uct-0100-self-play","S42","156","0.039796","13","0.000000"
"4x4","uct-0100-self-play","S43","152","0.038776","14","0.000000"
