"board","experiment_id","progress_band","metric","turns","value"
"3x3","3x3-seeded-random","0-25%","3","400","0.025000"
"3x3","3x3-seeded-random","0-25%","2+1","400","0.310000"
"3x3","3x3-seeded-random","0-25%","1+1+1","400","0.665000"
"3x3","3x3-seeded-random","25-50%","3","500","0.022000"
"3x3","3x3-seeded-random","25-50%","2+1","500","0.308000"
"3x3","3x3-seeded-random","25-50%","1+1+1","500","0.670000"
"3x3","3x3-seeded-random","50-75%","3","400","0.007500"
"3x3","3x3-seeded-random","50-75%","2+1","400","0.340000"
"3x3","3x3-seeded-random","50-75%","1+1+1","400","0.652500"
"3x3","3x3-seeded-random","75-100%","3","500","0.016000"
"3x3","3x3-seeded-random","75-100%","2+1","500","0.322000"
"3x3","3x3-seeded-random","75-100%","1+1+1","500","0.662000"
"3x3","3x3-uct-0100","0-25%","3","400","0.005000"
"3x3","3x3-uct-0100","0-25%","2+1","400","0.327500"
"3x3","3x3-uct-0100","0-25%","1+1+1","400","0.667500"
"3x3","3x3-uct-0100","25-50%","3","500","0.022000"
"3x3","3x3-uct-0100","25-50%","2+1","500","0.314000"
"3x3","3x3-uct-0100","25-50%","1+1+1","500","0.664000"
"3x3","3x3-uct-0100","50-75%","3","400","0.007500"
"3x3","3x3-uct-0100","50-75%","2+1","400","0.320000"
"3x3","3x3-uct-0100","50-75%","1+1+1","400","0.672500"
"3x3","3x3-uct-0100","75-100%","3","500","0.020000"
"3x3","3x3-uct-0100","75-100%","2+1","500","0.362000"
"3x3","3x3-uct-0100","75-100%","1+1+1","500","0.618000"
"3x3","3x3-uct-0500","0-25%","3","400","0.015000"
"3x3","3x3-uct-0500","0-25%","2+1","400","0.370000"
"3x3","3x3-uct-0500","0-25%","1+1+1","400","0.615000"
"3x3","3x3-uct-0500","25-50%","3","500","0.018000"
"3x3","3x3-uct-0500","25-50%","2+1","500","0.342000"
"3x3","3x3-uct-0500","25-50%","1+1+1","500","0.640000"
"3x3","3x3-uct-0500","50-75%","3","400","0.025000"
"3x3","3x3-uct-0500","50-75%","2+1","400","0.380000"
"3x3","3x3-uct-0500","50-75%","1+1+1","400","0.595000"
"3x3","3x3-uct-0500","75-100%","3","500","0.028000"
"3x3","3x3-uct-0500","75-100%","2+1","500","0.430000"
"3x3","3x3-uct-0500","75-100%","1+1+1","500","0.542000"
"3x3","3x3-uct-1000","0-25%","3","400","0.027500"
"3x3","3x3-uct-1000","0-25%","2+1","400","0.360000"
"3x3","3x3-uct-1000","0-25%","1+1+1","400","0.612500"
"3x3","3x3-uct-1000","25-50%","3","500","0.030000"
"3x3","3x3-uct-1000","25-50%","2+1","500","0.406000"
"3x3","3x3-uct-1000","25-50%","1+1+1","500","0.564000"
"3x3","3x3-uct-1000","50-75%","3","400","0.015000"
"3x3","3x3-uct-1000","50-75%","2+1","400","0.425000"
"3x3","3x3-uct-1000","50-75%","1+1+1","400","0.560000"
"3x3","3x3-uct-1000","75-100%","3","500","0.028000"
"3x3","3x3-uct-1000","75-100%","2+1","500","0.386000"
"3x3","3x3-uct-1000","75-100%","1+1+1","500","0.586000"
"4x4","seeded-random-self-play","0-25%","3","600","0.013333"
"4x4","seeded-random-self-play","0-25%","2+1","600","0.296667"
"4x4","seeded-random-self-play","0-25%","1+1+1","600","0.690000"
"4x4","seeded-random-self-play","25-50%","3","600","0.015000"
"4x4","seeded-random-self-play","25-50%","2+1","600","0.271667"
"4x4","seeded-random-self-play","25-50%","1+1+1","600","0.713333"
"4x4","seeded-random-self-play","50-75%","3","600","0.011667"
"4x4","seeded-random-self-play","50-75%","2+1","600","0.225000"
"4x4","seeded-random-self-play","50-75%","1+1+1","600","0.763333"
"4x4","seeded-random-self-play","75-100%","3","600","0.010000"
"4x4","seeded-random-self-play","75-100%","2+1","600","0.283333"
"4x4","seeded-random-self-play","75-100%","1+1+1","600","0.706667"
"4x4","uct-0100-self-play","0-25%","3","600","0.021667"
"4x4","uct-0100-self-play","0-25%","2+1","600","0.333333"
"4x4","uct-0100-self-play","0-25%","1+1+1","600","0.645000"
"4x4","uct-0100-self-play","25-50%","3","600","0.021667"
"4x4","uct-0100-self-play","25-50%","2+1","600","0.301667"
"4x4","uct-0100-self-play","25-50%","1+1+1","600","0.676667"
"4x4","uct-0100-self-play","50-75%","3","600","0.008333"
"4x4","uct-0100-self-play","50-75%","2+1","600","0.330000"
"4x4","uct-0100-self-play","50-75%","1+1+1","600","0.661667"
"4x4","uct-0100-self-play","75-100%","3","600","0.018333"
"4x4","uct-0100-self-play","75-100%","2+1","600","0.366667"
"4x4","uct-0100-self-play","75-100%","1+1+1","600","0.615000"
"4x4","uct-0500-self-play","0-25%","3","600","0.013333"
"4x4","uct-0500-self-play","0-25%","2+1","600","0.275000"
"4x4","uct-0500-self-play","0-25%","1+1+1","600","0.711667"
"4x4","uct-0500-self-play","25-50%","3","600","0.011667"
"4x4","uct-0500-self-play","25-50%","2+1","600","0.330000"
"4x4","uct-0500-self-play","25-50%","1+1+1","600","0.658333"
"4x4","uct-0500-self-play","50-75%","3","600","0.030000"
"4x4","uct-0500-self-play","50-75%","2+1","600","0.396667"
"4x4","uct-0500-self-play","50-75%","1+1+1","600","0.573333"
"4x4","uct-0500-self-play","75-100%","3","600","0.030000"
