"board","experiment_id","metric","games","value","ci_low","ci_high"
"3x3","3x3-seeded-random","3","100","0.017778","0.012222","0.023333"
"3x3","3x3-seeded-random","2+1","100","0.319444","0.298889","0.340000"
"3x3","3x3-seeded-random","1+1+1","100","0.662778","0.641097","0.683889"
"3x3","3x3-seeded-random","mean_regions_used","100","2.645000","2.621667","2.668333"
"3x3","3x3-uct-0100","3","100","0.014444","0.009444","0.020000"
"3x3","3x3-uct-0100","2+1","100","0.331667","0.312222","0.350000"
"3x3","3x3-uct-0100","1+1+1","100","0.653889","0.635542","0.672778"
"3x3","3x3-uct-0100","mean_regions_used","100","2.639444","2.618333","2.658889"
"3x3","3x3-uct-0500","3","100","0.021667","0.015556","0.028333"
"3x3","3x3-uct-0500","2+1","100","0.381111","0.358889","0.403333"
"3x3","3x3-uct-0500","1+1+1","100","0.597222","0.573333","0.620000"
"3x3","3x3-uct-0500","mean_regions_used","100","2.575556","2.551667","2.600000"
"3x3","3x3-uct-1000","3","100","0.025556","0.018333","0.033889"
"3x3","3x3-uct-1000","2+1","100","0.394444","0.370556","0.418333"
"3x3","3x3-uct-1000","1+1+1","100","0.580000","0.553889","0.605000"
"3x3","3x3-uct-1000","mean_regions_used","100","2.554444","2.525000","2.582792"
"4x4","seeded-random-self-play","3","100","0.012500","0.008333","0.017083"
"4x4","seeded-random-self-play","2+1","100","0.269167","0.251667","0.286250"
"4x4","seeded-random-self-play","1+1+1","100","0.718333","0.700417","0.736667"
"4x4","seeded-random-self-play","mean_regions_used","100","2.705833","2.686250","2.725417"
"4x4","uct-0100-self-play","3","100","0.017500","0.012500","0.022510"
"4x4","uct-0100-self-play","2+1","100","0.332917","0.313323","0.351677"
"4x4","uct-0100-self-play","1+1+1","100","0.649583","0.629167","0.670000"
"4x4","uct-0100-self-play","mean_regions_used","100","2.632083","2.610000","2.652927"
"4x4","uct-0500-self-play","3","100","0.021250","0.015406","0.027927"
"4x4","uct-0500-self-play","2+1","100","0.345000","0.326250","0.365000"
"4x4","uct-0500-self-play","1+1+1","100","0.633750","0.612500","0.654167"
"4x4","uct-0500-self-play","mean_regions_used","100","2.612500","2.589583","2.635833"
"4x4","uct-1000-self-play","3","100","0.027500","0.021250","0.034583"
"4x4","uct-1000-self-play","2+1","100","0.404167","0.385000","0.424594"
"4x4","uct-1000-self-play","1+1+1","100","0.568333","0.548750","0.589583"
"4x4","uct-1000-self-play","mean_regions_used","100","2.540833","2.517906","2.564177"
"6x6","6x6-seeded-random","3","100","0.013750","0.010625","0.017083"
"6x6","6x6-seeded-random","2+1","100","0.298333","0.284161","0.313333"
"6x6","6x6-seeded-random","1+1+1","100","0.687917","0.673125","0.701880"
"6x6","6x6-seeded-random","mean_regions_used","100","2.674167","2.658750","2.689583"
"6x6","6x6-uct-0100","3","50","0.010000","0.006240","0.014167"
"6x6","6x6-uct-0100","2+1","50","0.281667","0.266250","0.297917"
"6x6","6x6-uct-0100","1+1+1","50","0.708333","0.691250","0.724583"
"6x6","6x6-uct-0100","mean_regions_used","50","2.698333","2.678750","2.717510"
"6x6","6x6-uct-0500","3","50","0.019583","0.013750","0.026250"
"6x6","6x6-uct-0500","2+1","50","0.351667","0.331250","0.371667"
"6x6","6x6-uct-0500","1+1+1","50","0.628750","0.607490","0.650417"
"6x6","6x6-uct-0500","mean_regions_used","50","2.609167","2.582917","2.634583"
"6x6","6x6-uct-1000","3","50","0.020417","0.015417","0.025417"
"6x6","6x6-uct-1000","2+1","50","0.363333","0.344167","0.380417"
"6x6","6x6-uct-1000","1+1+1","50","0.616250","0.597500","0.634594"
"6x6","6x6-uct-1000","mean_regions_used","50","2.595833","2.576656","2.616250"
