"board","search_level","window_turns","metric","games","value","median","ci_low","ci_high","primary"
"3x3","seeded-random","4","mean_active_regions","100","3.593889","3.611111","3.486111","3.703889","false"
"3x3","seeded-random","4","multi_active_turn_rate","100","0.839444","0.833333","0.822778","0.855000","false"
"3x3","seeded-random","4","longest_multi_active_run","100","15.010000","15.000000","14.650000","15.350000","false"
"3x3","seeded-random","4","longest_multi_active_run_fraction","100","0.833889","0.833333","0.813333","0.851667","false"
"3x3","seeded-random","4","mean_multi_active_run","100","14.990000","15.000000","14.590000","15.340000","false"
"3x3","seeded-random","4","mean_multi_active_run_fraction","100","0.832778","0.833333","0.810555","0.852778","false"
"3x3","seeded-random","4","mean_both_invested_regions","100","1.860000","1.833333","1.793333","1.924444","false"
"3x3","seeded-random","4","multi_both_invested_turn_rate","100","0.652222","0.666667","0.622778","0.680556","false"
"3x3","seeded-random","4","mixed_leadership_turn_rate","100","0.665555","0.722222","0.634444","0.697222","false"
"3x3","seeded-random","4","longest_mixed_leadership_run","100","11.640000","13.000000","11.000000","12.270000","false"
"3x3","seeded-random","4","longest_mixed_leadership_run_fraction","100","0.646667","0.722222","0.610556","0.682222","false"
"3x3","seeded-random","4","mean_mixed_leadership_run","100","11.270000","13.000000","10.540000","11.985000","false"
"3x3","seeded-random","4","mean_mixed_leadership_run_fraction","100","0.626111","0.722222","0.584722","0.665000","false"
"3x3","seeded-random","4","mean_p1_led_regions","100","2.028333","2.027778","1.912778","2.144444","false"
"3x3","seeded-random","4","mean_p2_led_regions","100","1.601667","1.611111","1.482778","1.724445","false"
"3x3","seeded-random","4","mean_led_regions","100","3.630000","3.611111","3.482778","3.779444","false"
"3x3","seeded-random","4","mean_opposition_breadth","100","1.283333","1.277778","1.192222","1.371111","false"
"3x3","seeded-random","4","mean_opportunity_adjusted_activity","100","3.596134","3.639935","3.468059","3.727169","false"
"3x3","seeded-random","4","focus_switch_rate","79","0.787869","1.000000","0.718249","0.852321","false"
"3x3","seeded-random","4","focus_eligible_fraction","100","0.108824","0.117647","0.091177","0.125882","false"
"3x3","seeded-random","4","no_dominant_turn_rate","100","0.662778","0.666667","0.640556","0.683333","false"
"3x3","seeded-random","4","mean_focus_persistence","100","1.075714","1.000000","1.049345","1.106393","false"
"3x3","seeded-random","4","mean_focus_switch_distance","73","1.916895","2.000000","1.751370","2.085845","false"
"3x3","uct-0100","4","mean_active_regions","100","3.409444","3.444444","3.282222","3.531111","false"
"3x3","uct-0100","4","multi_active_turn_rate","100","0.847778","0.861111","0.831111","0.863333","false"
"3x3","uct-0100","4","longest_multi_active_run","100","14.940000","15.000000","14.550000","15.320000","false"
"3x3","uct-0100","4","longest_multi_active_run_fraction","100","0.830000","0.833333","0.807222","0.851667","false"
"3x3","uct-0100","4","mean_multi_active_run","100","14.560000","15.000000","13.985000","15.120000","false"
"3x3","uct-0100","4","mean_multi_active_run_fraction","100","0.808889","0.833333","0.773889","0.839167","false"
"3x3","uct-0100","4","mean_both_invested_regions","100","1.816111","1.833333","1.750000","1.882778","false"
"3x3","uct-0100","4","multi_both_invested_turn_rate","100","0.628333","0.666667","0.595556","0.661111","false"
"3x3","uct-0100","4","mixed_leadership_turn_rate","100","0.746667","0.777778","0.727778","0.765555","false"
"3x3","uct-0100","4","longest_mixed_leadership_run","100","13.320000","14.000000","12.910000","13.700000","false"
"3x3","uct-0100","4","longest_mixed_leadership_run_fraction","100","0.740000","0.777778","0.717222","0.761667","false"
"3x3","uct-0100","4","mean_mixed_leadership_run","100","13.091667","14.000000","12.560000","13.546667","false"
"3x3","uct-0100","4","mean_mixed_leadership_run_fraction","100","0.727315","0.777778","0.697685","0.752500","false"
"3x3","uct-0100","4","mean_p1_led_regions","100","2.383333","2.333333","2.279444","2.491111","false"
"3x3","uct-0100","4","mean_p2_led_regions","100","2.043333","2.055556","1.937778","2.143889","false"
"3x3","uct-0100","4","mean_led_regions","100","4.426667","4.500000","4.276667","4.571667","false"
"3x3","uct-0100","4","mean_opposition_breadth","100","1.751667","1.777778","1.674444","1.830000","false"
"3x3","uct-0100","4","mean_opportunity_adjusted_activity","100","3.497166","3.500767","3.350335","3.643159","false"
"3x3","uct-0100","4","focus_switch_rate","86","0.828378","1.000000","0.761047","0.885161","false"
"3x3","uct-0100","4","focus_eligible_fraction","100","0.125883","0.117647","0.108235","0.142353","false"
"3x3","uct-0100","4","no_dominant_turn_rate","100","0.653889","0.666667","0.633889","0.673333","false"
"3x3","uct-0100","4","mean_focus_persistence","100","1.065012","1.000000","1.043381","1.089274","false"
"3x3","uct-0100","4","mean_focus_switch_distance","80","2.024167","2.000000","1.873333","2.172500","false"
"3x3","uct-0500","4","mean_active_regions","100","3.064445","3.083334","2.953333","3.174445","false"
"3x3","uct-0500","4","multi_active_turn_rate","100","0.850000","0.888889","0.832222","0.867222","false"
"3x3","uct-0500","4","longest_multi_active_run","100","14.640000","16.000000","14.140000","15.110000","false"
"3x3","uct-0500","4","longest_multi_active_run_fraction","100","0.813333","0.888889","0.785556","0.840555","false"
"3x3","uct-0500","4","mean_multi_active_run","100","14.035000","16.000000","13.335000","14.715000","false"
"3x3","uct-0500","4","mean_multi_active_run_fraction","100","0.779722","0.888889","0.740555","0.816667","false"
"3x3","uct-0500","4","mean_both_invested_regions","100","1.822778","1.833333","1.748889","1.892778","false"
"3x3","uct-0500","4","multi_both_invested_turn_rate","100","0.633333","0.666667","0.601667","0.665000","false"
"3x3","uct-0500","4","mixed_leadership_turn_rate","100","0.778333","0.833333","0.765000","0.791666","false"
"3x3","uct-0500","4","longest_mixed_leadership_run","100","13.920000","15.000000","13.630000","14.190000","false"
"3x3","uct-0500","4","longest_mixed_leadership_run_fraction","100","0.773333","0.833333","0.758333","0.788889","false"
"3x3","uct-0500","4","mean_mixed_leadership_run","100","13.680000","15.000000","13.250000","14.060000","false"
"3x3","uct-0500","4","mean_mixed_leadership_run_fraction","100","0.760000","0.833333","0.738333","0.781111","false"
"3x3","uct-0500","4","mean_p1_led_regions","100","2.695000","2.611111","2.618333","2.770555","false"
"3x3","uct-0500","4","mean_p2_led_regions","100","2.153333","2.138889","2.061111","2.236111","false"
"3x3","uct-0500","4","mean_led_regions","100","4.848333","4.888889","4.716667","4.983333","false"
"3x3","uct-0500","4","mean_opposition_breadth","100","2.007222","2.055556","1.931111","2.080556","false"
"3x3","uct-0500","4","mean_opportunity_adjusted_activity","100","3.199982","3.161727","3.063855","3.335485","false"
"3x3","uct-0500","4","focus_switch_rate","89","0.840142","1.000000","0.788670","0.886517","false"
"3x3","uct-0500","4","focus_eligible_fraction","100","0.164706","0.176471","0.145294","0.186471","false"
"3x3","uct-0500","4","no_dominant_turn_rate","100","0.597222","0.555556","0.574444","0.621667","false"
"3x3","uct-0500","4","mean_focus_persistence","100","1.074413","1.000000","1.052651","1.097433","false"
"3x3","uct-0500","4","mean_focus_switch_distance","87","1.826793","2.000000","1.705747","1.951149","false"
"3x3","uct-1000","4","mean_active_regions","100","2.775556","2.666667","2.670000","2.885555","true"
"3x3","uct-1000","4","multi_active_turn_rate","100","0.847222","0.888889","0.827222","0.865000","true"
"3x3","uct-1000","4","longest_multi_active_run","100","14.270000","16.000000","13.620000","14.830000","true"
"3x3","uct-1000","4","longest_multi_active_run_fraction","100","0.792778","0.888889","0.758333","0.826666","true"
"3x3","uct-1000","4","mean_multi_active_run","100","13.696667","16.000000","12.918333","14.485000","true"
"3x3","uct-1000","4","mean_multi_active_run_fraction","100","0.760926","0.888889","0.717037","0.806018","true"
"3x3","uct-1000","4","mean_both_invested_regions","100","1.794444","1.777778","1.740556","1.850000","true"
"3x3","uct-1000","4","multi_both_invested_turn_rate","100","0.632222","0.611111","0.604444","0.659445","true"
"3x3","uct-1000","4","mixed_leadership_turn_rate","100","0.798889","0.833333","0.787222","0.810555","true"
"3x3","uct-1000","4","longest_mixed_leadership_run","100","14.290000","15.000000","14.030000","14.510000","true"
"3x3","uct-1000","4","longest_mixed_leadership_run_fraction","100","0.793889","0.833333","0.779444","0.806666","true"
"3x3","uct-1000","4","mean_mixed_leadership_run","100","14.120000","15.000000","13.760000","14.450000","true"
"3x3","uct-1000","4","mean_mixed_leadership_run_fraction","100","0.784444","0.833333","0.764444","0.802778","true"
"3x3","uct-1000","4","mean_p1_led_regions","100","2.600000","2.555556","2.520556","2.681111","true"
"3x3","uct-1000","4","mean_p2_led_regions","100","2.211111","2.222222","2.134444","2.290000","true"
"3x3","uct-1000","4","mean_led_regions","100","4.811111","4.833333","4.681667","4.936667","true"
"3x3","uct-1000","4","mean_opposition_breadth","100","2.037778","2.055556","1.972778","2.111111","true"
"3x3","uct-1000","4","mean_opportunity_adjusted_activity","100","2.980081","2.929930","2.851168","3.112861","true"
"3x3","uct-1000","4","focus_switch_rate","94","0.733625","0.833333","0.669339","0.795061","true"
