"board","experiment_id","search_level","game_index","window_turns","turns","mean_active_regions","multi_active_turn_rate","longest_multi_active_run","longest_multi_active_run_fraction","mean_multi_active_run","mean_multi_active_run_fraction","mean_both_invested_regions","multi_both_invested_turn_rate","mixed_leadership_turn_rate","longest_mixed_leadership_run","longest_mixed_leadership_run_fraction","mean_mixed_leadership_run","mean_mixed_leadership_run_fraction","mean_p1_led_regions","mean_p2_led_regions","mean_led_regions","mean_opposition_breadth","mean_opportunity_adjusted_activity","opportunity_adjustment_regions","focus_switches","focus_eligible_pairs","focus_eligible_fraction","focus_switch_rate","no_dominant_turn_rate","mean_focus_persistence","mean_focus_switch_distance"
"3x3","3x3-seeded-random","seeded-random","1","4","18","4.111111","0.888889","16","0.888889","16.000000","0.888889","2.555556","0.833333","0.500000","9","0.500000","9.000000","0.500000","1.833333","1.055556","2.888889","1.055556","4.442423","9","2","2","0.117647","1.000000","0.666667","1.000000","1.500000"
"3x3","3x3-seeded-random","seeded-random","2","4","18","3.166667","0.611111","11","0.611111","11.000000","0.611111","1.222222","0.500000","0.722222","13","0.722222","13.000000","0.722222","1.444444","1.611111","3.055556","1.222222","3.407223","9","4","4","0.235294","1.000000","0.444444","1.000000","3.000000"
"3x3","3x3-seeded-random","seeded-random","3","4","18","3.777778","0.833333","15","0.833333","15.000000","0.833333","1.944444","0.777778","0.722222","13","0.722222","13.000000","0.722222","2.555556","1.444444","4.000000","1.333333","3.859655","9","0","0","0.000000","","0.611111","1.000000",""
"3x3","3x3-seeded-random","seeded-random","4","4","18","3.833333","0.944444","17","0.944444","17.000000","0.944444","2.277778","0.888889","0.555556","10","0.555556","10.000000","0.555556","1.555556","1.333333","2.888889","1.111111","3.804433","9","0","0","0.000000","","0.833333","1.000000",""
"3x3","3x3-seeded-random","seeded-random","5","4","18","3.500000","0.833333","15","0.833333","15.000000","0.833333","1.833333","0.611111","0.722222","13","0.722222","13.000000","0.722222","2.777778","0.833333","3.611111","0.833333","3.566310","9","3","3","0.176471","1.000000","0.611111","1.000000","2.666667"
"3x3","3x3-seeded-random","seeded-random","6","4","18","3.111111","0.833333","15","0.833333","15.000000","0.833333","1.833333","0.777778","0.722222","13","0.722222","13.000000","0.722222","2.777778","1.833333","4.611111","1.833333","3.221097","9","1","2","0.117647","0.500000","0.500000","1.125000","2.000000"
"3x3","3x3-seeded-random","seeded-random","7","4","18","3.388889","0.833333","15","0.833333","15.000000","0.833333","1.777778","0.666667","0.833333","15","0.833333","15.000000","0.833333","2.500000","1.777778","4.277778","1.722222","3.399724","9","1","2","0.117647","0.500000","0.611111","1.166667","2.000000"
"3x3","3x3-seeded-random","seeded-random","8","4","18","4.222222","0.888889","16","0.888889","16.000000","0.888889","2.222222","0.833333","0.777778","12","0.666667","7.000000","0.388889","2.055556","2.555556","4.611111","1.833333","3.948192","9","0","1","0.058824","0.000000","0.722222","1.250000",""
"3x3","3x3-seeded-random","seeded-random","9","4","18","2.666667","0.833333","15","0.833333","15.000000","0.833333","2.111111","0.666667","0.611111","11","0.611111","11.000000","0.611111","1.611111","1.944444","3.555556","1.333333","2.353757","9","2","2","0.117647","1.000000","0.555556","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","10","4","18","3.666667","0.888889","16","0.888889","16.000000","0.888889","2.000000","0.777778","0.500000","9","0.500000","9.000000","0.500000","1.500000","1.277778","2.777778","1.055556","3.428371","9","2","3","0.176471","0.666667","0.611111","1.166667","2.000000"
"3x3","3x3-seeded-random","seeded-random","11","4","18","2.944444","0.777778","14","0.777778","14.000000","0.777778","1.666667","0.555556","0.833333","15","0.833333","15.000000","0.833333","3.000000","1.388889","4.388889","1.388889","2.958790","9","1","2","0.117647","0.500000","0.611111","1.166667","1.000000"
"3x3","3x3-seeded-random","seeded-random","12","4","18","4.000000","0.888889","16","0.888889","16.000000","0.888889","1.777778","0.555556","0.777778","10","0.555556","7.000000","0.388889","2.333333","2.111111","4.444444","1.888889","4.299193","9","1","1","0.058824","1.000000","0.722222","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","13","4","18","3.555556","0.833333","15","0.833333","15.000000","0.833333","1.944444","0.555556","0.833333","15","0.833333","15.000000","0.833333","1.555556","2.055556","3.611111","1.277778","3.449949","9","5","5","0.294118","1.000000","0.500000","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","14","4","18","4.444444","0.944444","17","0.944444","17.000000","0.944444","1.833333","0.722222","0.722222","13","0.722222","13.000000","0.722222","2.666667","2.444444","5.111111","2.333333","4.481357","9","0","0","0.000000","","0.722222","1.000000",""
"3x3","3x3-seeded-random","seeded-random","15","4","18","3.333333","0.777778","14","0.777778","14.000000","0.777778","1.777778","0.666667","0.833333","15","0.833333","15.000000","0.833333","1.888889","1.722222","3.611111","1.611111","4.217313","9","3","3","0.176471","1.000000","0.611111","1.000000","2.333333"
"3x3","3x3-seeded-random","seeded-random","16","4","18","3.833333","0.833333","15","0.833333","15.000000","0.833333","1.888889","0.666667","0.833333","15","0.833333","15.000000","0.833333","2.500000","2.055556","4.555556","2.000000","3.733223","9","1","1","0.058824","1.000000","0.722222","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","17","4","18","3.555556","0.888889","16","0.888889","16.000000","0.888889","1.833333","0.722222","0.611111","11","0.611111","11.000000","0.611111","2.444444","1.333333","3.777778","1.222222","3.568896","9","0","3","0.176471","0.000000","0.611111","1.750000",""
"3x3","3x3-seeded-random","seeded-random","18","4","18","4.555556","0.888889","16","0.888889","16.000000","0.888889","2.000000","0.666667","0.555556","10","0.555556","10.000000","0.555556","1.888889","1.611111","3.500000","1.333333","4.365034","9","1","1","0.058824","1.000000","0.833333","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","19","4","18","4.277778","0.944444","17","0.944444","17.000000","0.944444","2.277778","0.722222","0.722222","13","0.722222","13.000000","0.722222","2.111111","1.111111","3.222222","1.111111","4.209492","9","0","0","0.000000","","0.833333","1.000000",""
"3x3","3x3-seeded-random","seeded-random","20","4","18","3.944444","0.888889","16","0.888889","16.000000","0.888889","1.722222","0.500000","0.666667","12","0.666667","12.000000","0.666667","1.888889","2.444444","4.333333","1.833333","3.884845","9","3","4","0.235294","0.750000","0.555556","1.142857","2.000000"
"3x3","3x3-seeded-random","seeded-random","21","4","18","3.666667","0.833333","15","0.833333","15.000000","0.833333","1.500000","0.500000","0.722222","13","0.722222","13.000000","0.722222","2.055556","2.888889","4.944444","1.888889","3.502525","9","1","2","0.117647","0.500000","0.611111","1.166667","1.000000"
"3x3","3x3-seeded-random","seeded-random","22","4","18","3.777778","0.888889","16","0.888889","16.000000","0.888889","1.611111","0.444444","0.500000","8","0.444444","4.500000","0.250000","1.333333","1.777778","3.111111","1.166667","3.761051","9","0","0","0.000000","","0.777778","1.000000",""
"3x3","3x3-seeded-random","seeded-random","23","4","18","3.500000","0.944444","17","0.944444","17.000000","0.944444","2.333333","0.888889","0.722222","13","0.722222","13.000000","0.722222","1.666667","1.055556","2.722222","1.000000","3.741285","9","1","1","0.058824","1.000000","0.611111","1.000000","1.000000"
"3x3","3x3-seeded-random","seeded-random","24","4","18","3.722222","0.722222","13","0.722222","13.000000","0.722222","2.055556","0.722222","0.777778","14","0.777778","14.000000","0.777778","1.722222","2.500000","4.222222","1.666667","3.841605","9","1","1","0.058824","1.000000","0.777778","1.000000","3.000000"
"3x3","3x3-seeded-random","seeded-random","25","4","18","3.111111","0.833333","15","0.833333","15.000000","0.833333","1.666667","0.555556","0.777778","14","0.777778","14.000000","0.777778","1.555556","2.611111","4.166667","1.500000","3.206320","9","2","2","0.117647","1.000000","0.555556","1.000000","1.500000"
"3x3","3x3-seeded-random","seeded-random","26","4","18","4.166667","0.944444","17","0.944444","17.000000","0.944444","2.166667","0.833333","0.666667","12","0.666667","12.000000","0.666667","1.277778","1.611111","2.888889","1.055556","4.695431","9","1","2","0.117647","0.500000","0.722222","1.250000","2.000000"
"3x3","3x3-seeded-random","seeded-random","27","4","18","4.388889","0.888889","16","0.888889","16.000000","0.888889","2.222222","0.833333","0.388889","7","0.388889","7.000000","0.388889","2.777778","0.388889","3.166667","0.388889","4.506385","9","1","1","0.058824","1.000000","0.777778","1.000000","1.000000"
"3x3","3x3-seeded-random","seeded-random","28","4","18","4.500000","0.944444","17","0.944444","17.000000","0.944444","2.166667","0.944444","0.500000","9","0.500000","9.000000","0.500000","2.111111","0.888889","3.000000","0.888889","4.464750","9","0","1","0.058824","0.000000","0.722222","1.250000",""
"3x3","3x3-seeded-random","seeded-random","29","4","18","3.500000","0.722222","13","0.722222","13.000000","0.722222","1.555556","0.500000","0.833333","15","0.833333","15.000000","0.833333","2.166667","2.222222","4.388889","1.777778","3.701769","9","2","2","0.117647","1.000000","0.555556","1.000000","1.500000"
