"board","search_level","region","metric","games","value"
"3x3","seeded-random","LL","active_turn_rate","100","0.715555"
"3x3","seeded-random","LL","both_invested_turn_rate","100","0.476111"
"3x3","seeded-random","LL","mean_regional_opportunity_share","100","0.212568"
"3x3","seeded-random","LL","opportunity_adjusted_activity","100","3.381807"
"3x3","seeded-random","LL","regional_capacity_share","100","0.200000"
"3x3","seeded-random","LM","active_turn_rate","100","0.505556"
"3x3","seeded-random","LM","both_invested_turn_rate","100","0.248333"
"3x3","seeded-random","LM","mean_regional_opportunity_share","100","0.121548"
"3x3","seeded-random","LM","opportunity_adjusted_activity","100","4.199845"
"3x3","seeded-random","LM","regional_capacity_share","100","0.120000"
"3x3","seeded-random","LH","active_turn_rate","100","0.445556"
"3x3","seeded-random","LH","both_invested_turn_rate","100","0.239445"
"3x3","seeded-random","LH","mean_regional_opportunity_share","100","0.118062"
"3x3","seeded-random","LH","opportunity_adjusted_activity","100","3.825056"
"3x3","seeded-random","LH","regional_capacity_share","100","0.120000"
"3x3","seeded-random","ML","active_turn_rate","100","0.470000"
"3x3","seeded-random","ML","both_invested_turn_rate","100","0.255000"
"3x3","seeded-random","ML","mean_regional_opportunity_share","100","0.121569"
"3x3","seeded-random","ML","opportunity_adjusted_activity","100","3.881829"
"3x3","seeded-random","ML","regional_capacity_share","100","0.120000"
"3x3","seeded-random","MM","active_turn_rate","100","0.263333"
"3x3","seeded-random","MM","both_invested_turn_rate","100","0.105000"
"3x3","seeded-random","MM","mean_regional_opportunity_share","100","0.077044"
"3x3","seeded-random","MM","opportunity_adjusted_activity","100","3.436461"
"3x3","seeded-random","MM","regional_capacity_share","100","0.080000"
"3x3","seeded-random","MH","active_turn_rate","100","0.226111"
"3x3","seeded-random","MH","both_invested_turn_rate","100","0.092222"
"3x3","seeded-random","MH","mean_regional_opportunity_share","100","0.075248"
"3x3","seeded-random","MH","opportunity_adjusted_activity","100","2.981812"
"3x3","seeded-random","MH","regional_capacity_share","100","0.080000"
"3x3","seeded-random","HL","active_turn_rate","100","0.431111"
"3x3","seeded-random","HL","both_invested_turn_rate","100","0.215000"
"3x3","seeded-random","HL","mean_regional_opportunity_share","100","0.121374"
"3x3","seeded-random","HL","opportunity_adjusted_activity","100","3.653958"
"3x3","seeded-random","HL","regional_capacity_share","100","0.120000"
"3x3","seeded-random","HM","active_turn_rate","100","0.260556"
"3x3","seeded-random","HM","both_invested_turn_rate","100","0.105556"
"3x3","seeded-random","HM","mean_regional_opportunity_share","100","0.076638"
"3x3","seeded-random","HM","opportunity_adjusted_activity","100","3.397491"
"3x3","seeded-random","HM","regional_capacity_share","100","0.080000"
"3x3","seeded-random","HH","active_turn_rate","100","0.276111"
"3x3","seeded-random","HH","both_invested_turn_rate","100","0.123333"
"3x3","seeded-random","HH","mean_regional_opportunity_share","100","0.075950"
"3x3","seeded-random","HH","opportunity_adjusted_activity","100","3.606947"
"3x3","seeded-random","HH","regional_capacity_share","100","0.080000"
"3x3","uct-0100","LL","active_turn_rate","100","0.661111"
"3x3","uct-0100","LL","both_invested_turn_rate","100","0.398889"
"3x3","uct-0100","LL","mean_regional_opportunity_share","100","0.218488"
"3x3","uct-0100","LL","opportunity_adjusted_activity","100","3.039635"
"3x3","uct-0100","LL","regional_capacity_share","100","0.200000"
"3x3","uct-0100","LM","active_turn_rate","100","0.512778"
"3x3","uct-0100","LM","both_invested_turn_rate","100","0.267778"
"3x3","uct-0100","LM","mean_regional_opportunity_share","100","0.118759"
"3x3","uct-0100","LM","opportunity_adjusted_activity","100","4.339952"
"3x3","uct-0100","LM","regional_capacity_share","100","0.120000"
"3x3","uct-0100","LH","active_turn_rate","100","0.334444"
"3x3","uct-0100","LH","both_invested_turn_rate","100","0.185556"
"3x3","uct-0100","LH","mean_regional_opportunity_share","100","0.121166"
"3x3","uct-0100","LH","opportunity_adjusted_activity","100","2.752285"
"3x3","uct-0100","LH","regional_capacity_share","100","0.120000"
"3x3","uct-0100","ML","active_turn_rate","100","0.501111"
"3x3","uct-0100","ML","both_invested_turn_rate","100","0.288333"
"3x3","uct-0100","ML","mean_regional_opportunity_share","100","0.122226"
"3x3","uct-0100","ML","opportunity_adjusted_activity","100","4.120090"
"3x3","uct-0100","ML","regional_capacity_share","100","0.120000"
"3x3","uct-0100","MM","active_turn_rate","100","0.387222"
"3x3","uct-0100","MM","both_invested_turn_rate","100","0.163333"
"3x3","uct-0100","MM","mean_regional_opportunity_share","100","0.075396"
"3x3","uct-0100","MM","opportunity_adjusted_activity","100","5.219241"
"3x3","uct-0100","MM","regional_capacity_share","100","0.080000"
