"board","experiment_id","search_level","game_index","window_turns","region","active_turns","active_turn_rate","both_invested_turns","both_invested_turn_rate","mean_regional_opportunity_share","opportunity_adjusted_activity","regional_capacity_share","total_points","supply_points","objectives"
"3x3","3x3-seeded-random","seeded-random","1","4","LL","14","0.777778","10","0.555556","0.223341","3.482474","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","1","4","LM","6","0.333333","3","0.166667","0.133769","2.491861","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","1","4","LH","11","0.611111","9","0.500000","0.115255","5.302260","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","1","4","ML","16","0.888889","7","0.388889","0.115297","7.709584","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","1","4","MM","4","0.222222","1","0.055556","0.079252","2.803987","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","1","4","MH","4","0.222222","3","0.166667","0.074697","2.974969","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","1","4","HL","0","0.000000","0","0.000000","0.116299","0.000000","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","1","4","HM","11","0.611111","6","0.333333","0.088735","6.886940","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","1","4","HH","8","0.444444","7","0.388889","0.053356","8.329732","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","2","4","LL","12","0.666667","10","0.555556","0.216044","3.085789","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","2","4","LM","9","0.500000","1","0.055556","0.130504","3.831299","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","2","4","LH","0","0.000000","0","0.000000","0.127979","0.000000","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","2","4","ML","4","0.222222","3","0.166667","0.119511","1.859425","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","2","4","MM","3","0.166667","0","0.000000","0.089589","1.860357","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","2","4","MH","7","0.388889","2","0.111111","0.089589","4.340832","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","2","4","HL","4","0.222222","1","0.055556","0.058468","3.800753","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","2","4","HM","10","0.555556","1","0.055556","0.083899","6.621732","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","2","4","HH","8","0.444444","4","0.222222","0.084418","5.264817","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","3","4","LL","17","0.944444","13","0.722222","0.210531","4.486017","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","3","4","LM","5","0.277778","4","0.222222","0.106588","2.606082","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","3","4","LH","4","0.222222","3","0.166667","0.134628","1.650639","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","3","4","ML","5","0.277778","4","0.222222","0.124276","2.235167","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","3","4","MM","8","0.444444","3","0.166667","0.084351","5.269002","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","3","4","MH","1","0.055556","0","0.000000","0.077104","0.720525","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","3","4","HL","11","0.611111","1","0.055556","0.111519","5.479902","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","3","4","HM","11","0.611111","6","0.333333","0.081705","7.479457","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","3","4","HH","6","0.333333","1","0.055556","0.069299","4.810101","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","4","4","LL","10","0.555556","8","0.444444","0.217384","2.555639","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","4","4","LM","15","0.833333","8","0.444444","0.121177","6.876999","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","4","4","LH","8","0.444444","3","0.166667","0.122419","3.630505","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","4","4","ML","12","0.666667","6","0.333333","0.121858","5.470836","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","4","4","MM","3","0.166667","3","0.166667","0.084667","1.968488","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","4","4","MH","0","0.000000","0","0.000000","0.073499","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","4","4","HL","11","0.611111","7","0.388889","0.113560","5.381386","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","4","4","HM","4","0.222222","1","0.055556","0.088371","2.514651","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","4","4","HH","6","0.333333","5","0.277778","0.057064","5.841394","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","5","4","LL","15","0.833333","9","0.500000","0.225066","3.702619","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","5","4","LM","5","0.277778","4","0.222222","0.104385","2.661082","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","5","4","LH","4","0.222222","3","0.166667","0.105365","2.109074","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","5","4","ML","9","0.500000","7","0.388889","0.113482","4.405983","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","5","4","MM","9","0.500000","5","0.277778","0.088696","5.637243","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","5","4","MH","0","0.000000","0","0.000000","0.063692","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","5","4","HL","4","0.222222","0","0.000000","0.140902","1.577142","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","5","4","HM","8","0.444444","1","0.055556","0.083755","5.306475","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","5","4","HH","9","0.500000","4","0.222222","0.074658","6.697171","0.080000","2","1","1"
