"board","experiment_id","search_level","game_index","measure","total_pairs","evaluable_pairs","evaluable_fraction","mean_observed_signed","mean_observed_absolute","mean_null_absolute","mean_dependence_excess","mean_null_ge_observed_rate"
"3x3","3x3-seeded-random","seeded-random","1","lead","36","21","0.583333","-0.084449","0.535286","0.370675","0.164610","0.473390"
"3x3","3x3-seeded-random","seeded-random","1","lead_engaged","36","21","0.583333","-0.075945","0.525946","0.347054","0.178891","0.500114"
"3x3","3x3-seeded-random","seeded-random","1","supply_change","36","36","1.000000","-0.070690","0.195658","0.216972","-0.021313","0.789931"
"3x3","3x3-seeded-random","seeded-random","1","objective_change","36","21","0.583333","-0.020130","0.115368","0.130979","-0.015612","0.952381"
"3x3","3x3-seeded-random","seeded-random","2","lead","36","21","0.583333","-0.017204","0.358947","0.290597","0.068350","0.689076"
"3x3","3x3-seeded-random","seeded-random","2","lead_engaged","36","21","0.583333","-0.027470","0.329878","0.298457","0.031421","0.711736"
"3x3","3x3-seeded-random","seeded-random","2","supply_change","36","28","0.777778","-0.075739","0.214536","0.207052","0.007484","0.765625"
"3x3","3x3-seeded-random","seeded-random","2","objective_change","36","21","0.583333","-0.089069","0.089069","0.158908","-0.069839","1.000000"
"3x3","3x3-seeded-random","seeded-random","3","lead","36","36","1.000000","-0.022977","0.313098","0.291673","0.021425","0.645425"
"3x3","3x3-seeded-random","seeded-random","3","lead_engaged","36","32","0.888889","0.003464","0.315164","0.285499","0.029665","0.660597"
"3x3","3x3-seeded-random","seeded-random","3","supply_change","36","36","1.000000","-0.025543","0.146231","0.178404","-0.032173","0.930556"
"3x3","3x3-seeded-random","seeded-random","3","objective_change","36","36","1.000000","-0.043011","0.190187","0.210973","-0.020787","0.819444"
"3x3","3x3-seeded-random","seeded-random","4","lead","36","15","0.416667","0.000232","0.625074","0.415820","0.209254","0.400000"
"3x3","3x3-seeded-random","seeded-random","4","lead_engaged","36","15","0.416667","-0.002948","0.576135","0.380987","0.195148","0.453450"
"3x3","3x3-seeded-random","seeded-random","4","supply_change","36","21","0.583333","-0.052144","0.205330","0.211530","-0.006199","0.696429"
"3x3","3x3-seeded-random","seeded-random","4","objective_change","36","15","0.416667","0.066402","0.215997","0.157532","0.058465","0.816667"
"3x3","3x3-seeded-random","seeded-random","5","lead","36","21","0.583333","0.146766","0.449301","0.344323","0.104978","0.523810"
"3x3","3x3-seeded-random","seeded-random","5","lead_engaged","36","21","0.583333","0.110284","0.384785","0.306811","0.077974","0.595038"
"3x3","3x3-seeded-random","seeded-random","5","supply_change","36","28","0.777778","-0.027378","0.199070","0.193603","0.005467","0.834821"
"3x3","3x3-seeded-random","seeded-random","5","objective_change","36","21","0.583333","0.032943","0.204148","0.190516","0.013632","0.809524"
"3x3","3x3-seeded-random","seeded-random","6","lead","36","36","1.000000","-0.018501","0.609904","0.412788","0.197116","0.433007"
"3x3","3x3-seeded-random","seeded-random","6","lead_engaged","36","35","0.972222","-0.026404","0.564215","0.382828","0.181387","0.448144"
"3x3","3x3-seeded-random","seeded-random","6","supply_change","36","36","1.000000","-0.036520","0.205530","0.186173","0.019357","0.805556"
"3x3","3x3-seeded-random","seeded-random","6","objective_change","36","36","1.000000","-0.045044","0.124673","0.158595","-0.033922","0.949653"
"3x3","3x3-seeded-random","seeded-random","7","lead","36","28","0.777778","-0.064373","0.345658","0.302447","0.043211","0.665966"
"3x3","3x3-seeded-random","seeded-random","7","lead_engaged","36","23","0.638889","-0.127875","0.335802","0.307306","0.028496","0.673816"
"3x3","3x3-seeded-random","seeded-random","7","supply_change","36","36","1.000000","-0.030858","0.191375","0.202760","-0.011385","0.789931"
"3x3","3x3-seeded-random","seeded-random","7","objective_change","36","28","0.777778","-0.073432","0.172554","0.202655","-0.030100","0.845982"
"3x3","3x3-seeded-random","seeded-random","8","lead","36","36","1.000000","-0.077022","0.508167","0.387480","0.120686","0.501634"
"3x3","3x3-seeded-random","seeded-random","8","lead_engaged","36","33","0.916667","-0.069357","0.469039","0.373847","0.095192","0.551474"
"3x3","3x3-seeded-random","seeded-random","8","supply_change","36","28","0.777778","-0.053906","0.173816","0.204625","-0.030809","0.843750"
"3x3","3x3-seeded-random","seeded-random","8","objective_change","36","36","1.000000","-0.003796","0.163511","0.168080","-0.004568","0.894097"
"3x3","3x3-seeded-random","seeded-random","9","lead","36","36","1.000000","-0.039770","0.423946","0.292526","0.131420","0.558824"
"3x3","3x3-seeded-random","seeded-random","9","lead_engaged","36","34","0.944444","-0.040649","0.397222","0.272935","0.124286","0.570066"
"3x3","3x3-seeded-random","seeded-random","9","supply_change","36","28","0.777778","-0.052946","0.172088","0.213712","-0.041625","0.799107"
"3x3","3x3-seeded-random","seeded-random","9","objective_change","36","36","1.000000","0.062505","0.184382","0.140510","0.043872","0.826389"
"3x3","3x3-seeded-random","seeded-random","10","lead","36","21","0.583333","-0.075743","0.457200","0.324640","0.132560","0.546219"
"3x3","3x3-seeded-random","seeded-random","10","lead_engaged","36","21","0.583333","-0.062187","0.404667","0.315399","0.089268","0.589214"
"3x3","3x3-seeded-random","seeded-random","10","supply_change","36","28","0.777778","-0.035417","0.187733","0.194395","-0.006662","0.848214"
"3x3","3x3-seeded-random","seeded-random","10","objective_change","36","21","0.583333","-0.026970","0.186044","0.189384","-0.003339","0.815476"
"3x3","3x3-seeded-random","seeded-random","11","lead","36","36","1.000000","-0.055697","0.439869","0.388926","0.050943","0.604575"
"3x3","3x3-seeded-random","seeded-random","11","lead_engaged","36","33","0.916667","-0.046822","0.445700","0.395814","0.049886","0.609332"
"3x3","3x3-seeded-random","seeded-random","11","supply_change","36","21","0.583333","-0.012519","0.198383","0.207845","-0.009462","0.773810"
"3x3","3x3-seeded-random","seeded-random","11","objective_change","36","36","1.000000","0.007902","0.164467","0.166293","-0.001826","0.855903"
"3x3","3x3-seeded-random","seeded-random","12","lead","36","28","0.777778","-0.082130","0.628849","0.425409","0.203440","0.313025"
"3x3","3x3-seeded-random","seeded-random","12","lead_engaged","36","28","0.777778","-0.086258","0.610466","0.400843","0.209624","0.325022"
"3x3","3x3-seeded-random","seeded-random","12","supply_change","36","36","1.000000","-0.054978","0.199869","0.211747","-0.011878","0.807292"
"3x3","3x3-seeded-random","seeded-random","12","objective_change","36","28","0.777778","0.012164","0.188024","0.166788","0.021236","0.868304"
"3x3","3x3-seeded-random","seeded-random","13","lead","36","28","0.777778","0.007682","0.340445","0.297758","0.042686","0.577731"
"3x3","3x3-seeded-random","seeded-random","13","lead_engaged","36","28","0.777778","0.018239","0.332712","0.290358","0.042354","0.592400"
"3x3","3x3-seeded-random","seeded-random","13","supply_change","36","28","0.777778","-0.022330","0.175769","0.203083","-0.027314","0.776786"
"3x3","3x3-seeded-random","seeded-random","13","objective_change","36","28","0.777778","-0.053981","0.125462","0.181677","-0.056216","0.933036"
"3x3","3x3-seeded-random","seeded-random","14","lead","36","36","1.000000","-0.088630","0.569213","0.422371","0.146842","0.439543"
"3x3","3x3-seeded-random","seeded-random","14","lead_engaged","36","36","1.000000","-0.075218","0.559151","0.409655","0.149496","0.440437"
"3x3","3x3-seeded-random","seeded-random","14","supply_change","36","36","1.000000","-0.039130","0.170874","0.193651","-0.022777","0.824653"
"3x3","3x3-seeded-random","seeded-random","14","objective_change","36","36","1.000000","-0.027428","0.152613","0.165308","-0.012694","0.901042"
"3x3","3x3-seeded-random","seeded-random","15","lead","36","28","0.777778","-0.083727","0.375511","0.301717","0.073793","0.693277"
"3x3","3x3-seeded-random","seeded-random","15","lead_engaged","36","28","0.777778","-0.079188","0.356650","0.302521","0.054129","0.658101"
"3x3","3x3-seeded-random","seeded-random","15","supply_change","36","36","1.000000","-0.038206","0.190940","0.211664","-0.020723","0.796875"
"3x3","3x3-seeded-random","seeded-random","15","objective_change","36","28","0.777778","-0.057799","0.106702","0.152883","-0.046180","0.966518"
"3x3","3x3-seeded-random","seeded-random","16","lead","36","28","0.777778","-0.112577","0.426220","0.333297","0.092923","0.560925"
"3x3","3x3-seeded-random","seeded-random","16","lead_engaged","36","28","0.777778","-0.107662","0.384747","0.309001","0.075745","0.609175"
"3x3","3x3-seeded-random","seeded-random","16","supply_change","36","36","1.000000","-0.047188","0.202332","0.196606","0.005726","0.840278"
"3x3","3x3-seeded-random","seeded-random","16","objective_change","36","28","0.777778","-0.083072","0.121648","0.169377","-0.047730","0.950893"
"3x3","3x3-seeded-random","seeded-random","17","lead","36","28","0.777778","-0.029279","0.447901","0.319630","0.128271","0.548319"
"3x3","3x3-seeded-random","seeded-random","17","lead_engaged","36","28","0.777778","-0.003247","0.392155","0.294139","0.098016","0.639607"
"3x3","3x3-seeded-random","seeded-random","17","supply_change","36","36","1.000000","-0.060694","0.187994","0.199796","-0.011802","0.772569"
"3x3","3x3-seeded-random","seeded-random","17","objective_change","36","28","0.777778","0.006948","0.168101","0.149563","0.018539","0.899554"
"3x3","3x3-seeded-random","seeded-random","18","lead","36","28","0.777778","-0.046222","0.627214","0.401930","0.225284","0.342437"
"3x3","3x3-seeded-random","seeded-random","18","lead_engaged","36","28","0.777778","-0.051542","0.596978","0.385659","0.211319","0.376067"
"3x3","3x3-seeded-random","seeded-random","18","supply_change","36","28","0.777778","-0.060384","0.162311","0.205361","-0.043050","0.830357"
"3x3","3x3-seeded-random","seeded-random","18","objective_change","36","28","0.777778","-0.004038","0.124371","0.128768","-0.004397","0.930804"
"3x3","3x3-seeded-random","seeded-random","19","lead","36","21","0.583333","-0.057518","0.340722","0.354266","-0.013544","0.683473"
"3x3","3x3-seeded-random","seeded-random","19","lead_engaged","36","21","0.583333","-0.056321","0.363048","0.347922","0.015127","0.644715"
"3x3","3x3-seeded-random","seeded-random","19","supply_change","36","36","1.000000","-0.081887","0.221410","0.202648","0.018762","0.696181"
"3x3","3x3-seeded-random","seeded-random","19","objective_change","36","21","0.583333","-0.088861","0.130131","0.182394","-0.052263","0.961310"
"3x3","3x3-seeded-random","seeded-random","20","lead","36","28","0.777778","-0.071598","0.563240","0.395903","0.167336","0.434874"
"3x3","3x3-seeded-random","seeded-random","20","lead_engaged","36","28","0.777778","-0.048362","0.533105","0.381929","0.151176","0.480032"
"3x3","3x3-seeded-random","seeded-random","20","supply_change","36","21","0.583333","-0.095223","0.153810","0.205003","-0.051193","0.869048"
"3x3","3x3-seeded-random","seeded-random","20","objective_change","36","28","0.777778","-0.013262","0.165127","0.165514","-0.000387","0.854911"
"3x3","3x3-seeded-random","seeded-random","21","lead","36","36","1.000000","-0.047363","0.495337","0.375878","0.119459","0.468954"
"3x3","3x3-seeded-random","seeded-random","21","lead_engaged","36","35","0.972222","-0.074199","0.448433","0.365895","0.082538","0.545154"
"3x3","3x3-seeded-random","seeded-random","21","supply_change","36","28","0.777778","-0.014433","0.165305","0.190322","-0.025017","0.841518"
"3x3","3x3-seeded-random","seeded-random","21","objective_change","36","36","1.000000","0.011421","0.199533","0.175671","0.023862","0.840278"
"3x3","3x3-seeded-random","seeded-random","22","lead","36","36","1.000000","-0.050747","0.466965","0.336462","0.130502","0.514706"
