"board","search_level","measure","metric","games","value","median","ci_low","ci_high","primary"
"3x3","seeded-random","lead","evaluable_fraction","100","0.727222","0.777778","0.691111","0.764722","false"
"3x3","seeded-random","lead","mean_observed_absolute","100","0.445675","0.440738","0.427583","0.463292","false"
"3x3","seeded-random","lead","mean_null_absolute","100","0.348005","0.352519","0.339107","0.356441","false"
"3x3","seeded-random","lead","mean_dependence_excess","100","0.097671","0.101806","0.084344","0.111762","false"
"3x3","seeded-random","lead_engaged","evaluable_fraction","100","0.696389","0.750000","0.660833","0.731667","false"
"3x3","seeded-random","lead_engaged","mean_observed_absolute","100","0.428049","0.414343","0.412572","0.446152","false"
"3x3","seeded-random","lead_engaged","mean_null_absolute","100","0.336465","0.339067","0.327139","0.346182","false"
"3x3","seeded-random","lead_engaged","mean_dependence_excess","100","0.091583","0.093920","0.079386","0.104138","false"
"3x3","seeded-random","supply_change","evaluable_fraction","100","0.881111","1.000000","0.849722","0.908889","false"
"3x3","seeded-random","supply_change","mean_observed_absolute","100","0.190078","0.191151","0.185316","0.194986","false"
"3x3","seeded-random","supply_change","mean_null_absolute","100","0.203657","0.204725","0.201432","0.205784","false"
"3x3","seeded-random","supply_change","mean_dependence_excess","100","-0.013578","-0.013462","-0.018093","-0.008919","false"
"3x3","seeded-random","objective_change","evaluable_fraction","100","0.727222","0.777778","0.688889","0.763333","false"
"3x3","seeded-random","objective_change","mean_observed_absolute","100","0.147828","0.151154","0.142083","0.153405","false"
"3x3","seeded-random","objective_change","mean_null_absolute","100","0.166825","0.167434","0.162846","0.170526","false"
"3x3","seeded-random","objective_change","mean_dependence_excess","100","-0.018997","-0.020182","-0.023911","-0.013836","false"
"3x3","uct-0100","lead","evaluable_fraction","100","0.860278","0.888889","0.829444","0.890833","false"
"3x3","uct-0100","lead","mean_observed_absolute","100","0.470048","0.470277","0.455625","0.485009","false"
"3x3","uct-0100","lead","mean_null_absolute","100","0.339694","0.339544","0.331912","0.347477","false"
"3x3","uct-0100","lead","mean_dependence_excess","100","0.130354","0.128640","0.117913","0.143137","false"
"3x3","uct-0100","lead_engaged","evaluable_fraction","100","0.813889","0.791667","0.784444","0.844722","false"
"3x3","uct-0100","lead_engaged","mean_observed_absolute","100","0.441482","0.430913","0.426786","0.456740","false"
"3x3","uct-0100","lead_engaged","mean_null_absolute","100","0.326982","0.328756","0.319233","0.334835","false"
"3x3","uct-0100","lead_engaged","mean_dependence_excess","100","0.114500","0.097910","0.103004","0.126532","false"
"3x3","uct-0100","supply_change","evaluable_fraction","100","0.803611","0.777778","0.766389","0.838333","false"
"3x3","uct-0100","supply_change","mean_observed_absolute","100","0.187392","0.185281","0.182341","0.192367","false"
"3x3","uct-0100","supply_change","mean_null_absolute","100","0.200743","0.202242","0.198457","0.202950","false"
"3x3","uct-0100","supply_change","mean_dependence_excess","100","-0.013351","-0.016131","-0.017765","-0.008749","false"
"3x3","uct-0100","objective_change","evaluable_fraction","100","0.860278","0.888889","0.828611","0.889444","false"
"3x3","uct-0100","objective_change","mean_observed_absolute","100","0.178907","0.182012","0.174946","0.183040","false"
"3x3","uct-0100","objective_change","mean_null_absolute","100","0.197542","0.197022","0.194673","0.200325","false"
"3x3","uct-0100","objective_change","mean_dependence_excess","100","-0.018634","-0.018490","-0.022123","-0.014936","false"
"3x3","uct-0500","lead","evaluable_fraction","100","0.901111","1.000000","0.871944","0.929167","false"
"3x3","uct-0500","lead","mean_observed_absolute","100","0.498369","0.494764","0.483783","0.513608","false"
"3x3","uct-0500","lead","mean_null_absolute","100","0.346706","0.349546","0.339563","0.354359","false"
"3x3","uct-0500","lead","mean_dependence_excess","100","0.151663","0.153784","0.140021","0.163459","false"
"3x3","uct-0500","lead_engaged","evaluable_fraction","100","0.795278","0.833333","0.766111","0.824444","false"
