"board","search_level","threshold","metric","games","value","median","ci_low","ci_high","primary"
"3x3","seeded-random","2","mean_dormant_active_fronts","100","0.930000","0.944444","0.887222","0.976111","false"
"3x3","seeded-random","2","dormant_ge1_turn_rate","100","0.606667","0.611111","0.585556","0.627222","false"
"3x3","seeded-random","2","dormant_ge2_turn_rate","100","0.261111","0.277778","0.237222","0.284444","false"
"3x3","seeded-random","2","longest_dormant_run_fraction","100","0.427778","0.388889","0.395556","0.461667","false"
"3x3","seeded-random","2","mean_backlog_size","100","1.933889","1.944444","1.858333","2.009444","false"
"3x3","seeded-random","2","max_backlog_size","100","4.120000","4.000000","3.970000","4.270000","false"
"3x3","seeded-random","2","backlog_ge1_turn_rate","100","0.797778","0.833333","0.782222","0.812778","false"
"3x3","seeded-random","2","backlog_ge2_turn_rate","100","0.616667","0.611111","0.593333","0.640000","false"
"3x3","seeded-random","2","longest_backlog_run_fraction","100","0.726667","0.777778","0.696111","0.755556","false"
"3x3","seeded-random","2","qualifying_departures","100","10.470000","11.000000","9.990000","10.950000","false"
"3x3","seeded-random","2","persistent_revisits","100","4.570000","5.000000","4.230000","4.940000","false"
"3x3","seeded-random","2","reactivation_revisits","100","2.540000","2.000000","2.280000","2.810000","false"
"3x3","seeded-random","2","never_revisited","100","0.670000","0.000000","0.510000","0.830000","false"
"3x3","seeded-random","2","right_censored","100","2.690000","3.000000","2.480000","2.890000","false"
"3x3","seeded-random","2","revisit_rate_observed","100","0.912771","1.000000","0.885783","0.936139","false"
"3x3","seeded-random","2","never_revisited_rate_observed","100","0.087229","0.000000","0.064457","0.115233","false"
"3x3","seeded-random","2","right_censored_rate","100","0.261760","0.272727","0.243182","0.280534","false"
"3x3","seeded-random","2","simple_end_revisit_rate","100","0.671829","0.689904","0.649539","0.692935","false"
"3x3","seeded-random","2","mean_revisit_lag","99","3.508416","3.428571","3.372006","3.649020","false"
"3x3","seeded-random","2","median_revisit_lag","99","2.909091","3.000000","2.752525","3.050505","false"
"3x3","seeded-random","2","mean_normalized_revisit_lag","99","0.194912","0.190476","0.187227","0.202721","false"
"3x3","seeded-random","2","distinct_revisited_regions","100","4.850000","5.000000","4.610000","5.100000","false"
"3x3","seeded-random","2","repeated_revisit_regions","100","1.920000","2.000000","1.740000","2.110000","false"
"3x3","seeded-random","2","revisit_within_four_turns_rate","100","0.621362","0.625000","0.585378","0.655141","false"
"3x3","seeded-random","2","early_revisit_within_quarter_rate","100","0.710667","0.708333","0.660667","0.761833","false"
"3x3","seeded-random","1","mean_dormant_active_fronts","100","1.933889","1.944444","1.860000","2.008889","false"
"3x3","seeded-random","1","dormant_ge1_turn_rate","100","0.797778","0.833333","0.782778","0.812778","false"
"3x3","seeded-random","1","dormant_ge2_turn_rate","100","0.616667","0.611111","0.594444","0.640000","false"
"3x3","seeded-random","1","longest_dormant_run_fraction","100","0.726667","0.777778","0.695000","0.756111","false"
"3x3","seeded-random","1","mean_backlog_size","100","1.933889","1.944444","1.860556","2.008333","false"
"3x3","seeded-random","1","max_backlog_size","100","4.120000","4.000000","3.970000","4.270000","false"
"3x3","seeded-random","1","backlog_ge1_turn_rate","100","0.797778","0.833333","0.782222","0.812222","false"
"3x3","seeded-random","1","backlog_ge2_turn_rate","100","0.616667","0.611111","0.593889","0.638889","false"
"3x3","seeded-random","1","longest_backlog_run_fraction","100","0.726667","0.777778","0.695556","0.755556","false"
"3x3","seeded-random","1","qualifying_departures","100","18.070000","18.000000","17.390000","18.750000","false"
"3x3","seeded-random","1","persistent_revisits","100","10.360000","10.000000","9.820000","10.910000","false"
"3x3","seeded-random","1","reactivation_revisits","100","2.540000","2.000000","2.270000","2.830000","false"
"3x3","seeded-random","1","never_revisited","100","0.970000","1.000000","0.790000","1.160000","false"
"3x3","seeded-random","1","right_censored","100","4.200000","4.000000","4.000000","4.400000","false"
"3x3","seeded-random","1","revisit_rate_observed","100","0.928097","0.930952","0.913738","0.941967","false"
"3x3","seeded-random","1","never_revisited_rate_observed","100","0.071903","0.069048","0.058378","0.086308","false"
"3x3","seeded-random","1","right_censored_rate","100","0.236516","0.233032","0.225233","0.247133","false"
"3x3","seeded-random","1","simple_end_revisit_rate","100","0.707696","0.721111","0.693631","0.721620","false"
"3x3","seeded-random","1","mean_revisit_lag","100","2.382462","2.333333","2.288949","2.478595","false"
"3x3","seeded-random","1","median_revisit_lag","100","1.785000","2.000000","1.675000","1.900000","false"
"3x3","seeded-random","1","mean_normalized_revisit_lag","100","0.132359","0.129630","0.127262","0.137790","false"
"3x3","seeded-random","1","distinct_revisited_regions","100","5.870000","6.000000","5.640000","6.100000","false"
"3x3","seeded-random","1","repeated_revisit_regions","100","3.920000","4.000000","3.660000","4.180000","false"
"3x3","seeded-random","1","revisit_within_four_turns_rate","100","0.746584","0.733333","0.724596","0.769277","false"
"3x3","seeded-random","1","early_revisit_within_quarter_rate","100","0.803273","0.833333","0.770702","0.837329","false"
"3x3","seeded-random","3","mean_dormant_active_fronts","100","0.348333","0.333333","0.326667","0.371667","false"
"3x3","seeded-random","3","dormant_ge1_turn_rate","100","0.305556","0.333333","0.287222","0.323333","false"
"3x3","seeded-random","3","dormant_ge2_turn_rate","100","0.042222","0.027778","0.032778","0.052222","false"
"3x3","seeded-random","3","longest_dormant_run_fraction","100","0.140000","0.111111","0.127222","0.153889","false"
"3x3","seeded-random","3","mean_backlog_size","100","1.933889","1.944444","1.858889","2.009444","false"
"3x3","seeded-random","3","max_backlog_size","100","4.120000","4.000000","3.970000","4.270000","false"
"3x3","seeded-random","3","backlog_ge1_turn_rate","100","0.797778","0.833333","0.781667","0.812222","false"
"3x3","seeded-random","3","backlog_ge2_turn_rate","100","0.616667","0.611111","0.593889","0.638333","false"
"3x3","seeded-random","3","longest_backlog_run_fraction","100","0.726667","0.777778","0.696667","0.754444","false"
"3x3","seeded-random","3","qualifying_departures","100","6.270000","6.000000","5.860000","6.680000","false"
"3x3","seeded-random","3","persistent_revisits","100","1.550000","1.000000","1.310000","1.800000","false"
"3x3","seeded-random","3","reactivation_revisits","100","2.540000","2.000000","2.280000","2.810000","false"
"3x3","seeded-random","3","never_revisited","100","0.470000","0.000000","0.340000","0.610000","false"
"3x3","seeded-random","3","right_censored","100","1.710000","2.000000","1.530000","1.890000","false"
"3x3","seeded-random","3","revisit_rate_observed","100","0.891393","1.000000","0.852917","0.926143","false"
"3x3","seeded-random","3","never_revisited_rate_observed","100","0.108607","0.000000","0.074964","0.146286","false"
"3x3","seeded-random","3","right_censored_rate","100","0.282449","0.267857","0.251603","0.315337","false"
"3x3","seeded-random","3","simple_end_revisit_rate","100","0.639527","0.645833","0.603691","0.674789","false"
"3x3","seeded-random","3","mean_revisit_lag","98","4.675935","4.500000","4.481742","4.905527","false"
"3x3","seeded-random","3","median_revisit_lag","98","4.311224","4.000000","4.096939","4.545918","false"
"3x3","seeded-random","3","mean_normalized_revisit_lag","98","0.259774","0.250000","0.248478","0.271530","false"
"3x3","seeded-random","3","distinct_revisited_regions","100","3.340000","3.000000","3.070000","3.620000","false"
"3x3","seeded-random","3","repeated_revisit_regions","100","0.710000","1.000000","0.560000","0.860000","false"
"3x3","seeded-random","3","revisit_within_four_turns_rate","100","0.465074","0.500000","0.417099","0.512591","false"
"3x3","seeded-random","3","early_revisit_within_quarter_rate","96","0.571528","0.500000","0.500694","0.641146","false"
"3x3","uct-0100","2","mean_dormant_active_fronts","100","0.859444","0.833333","0.811667","0.908333","false"
"3x3","uct-0100","2","dormant_ge1_turn_rate","100","0.589445","0.611111","0.565000","0.613333","false"
"3x3","uct-0100","2","dormant_ge2_turn_rate","100","0.228333","0.222222","0.206111","0.251667","false"
"3x3","uct-0100","2","longest_dormant_run_fraction","100","0.370556","0.333333","0.336667","0.406111","false"
"3x3","uct-0100","2","mean_backlog_size","100","1.804444","1.833333","1.723333","1.890000","false"
"3x3","uct-0100","2","max_backlog_size","100","3.910000","4.000000","3.770000","4.060000","false"
"3x3","uct-0100","2","backlog_ge1_turn_rate","100","0.806667","0.833333","0.791667","0.821667","false"
"3x3","uct-0100","2","backlog_ge2_turn_rate","100","0.587222","0.611111","0.559444","0.614444","false"
"3x3","uct-0100","2","longest_backlog_run_fraction","100","0.724444","0.777778","0.692222","0.756111","false"
"3x3","uct-0100","2","qualifying_departures","100","9.530000","9.500000","9.020000","10.050000","false"
"3x3","uct-0100","2","persistent_revisits","100","3.970000","4.000000","3.600000","4.360000","false"
"3x3","uct-0100","2","reactivation_revisits","100","2.320000","2.000000","2.030000","2.630000","false"
"3x3","uct-0100","2","never_revisited","100","0.700000","1.000000","0.560000","0.840000","false"
"3x3","uct-0100","2","right_censored","100","2.540000","3.000000","2.350000","2.740000","false"
"3x3","uct-0100","2","revisit_rate_observed","100","0.896177","0.888889","0.873313","0.918006","false"
"3x3","uct-0100","2","never_revisited_rate_observed","100","0.103823","0.111111","0.082709","0.126550","false"
"3x3","uct-0100","2","right_censored_rate","100","0.276587","0.261363","0.253412","0.300046","false"
"3x3","uct-0100","2","simple_end_revisit_rate","100","0.647509","0.666667","0.622325","0.672149","false"
"3x3","uct-0100","2","mean_revisit_lag","100","3.623413","3.558442","3.462579","3.783311","false"
"3x3","uct-0100","2","median_revisit_lag","100","3.095000","3.000000","2.940000","3.265000","false"
"3x3","uct-0100","2","mean_normalized_revisit_lag","100","0.201301","0.197692","0.192621","0.210264","false"
"3x3","uct-0100","2","distinct_revisited_regions","100","4.400000","4.000000","4.120000","4.650000","false"
"3x3","uct-0100","2","repeated_revisit_regions","100","1.630000","2.000000","1.420000","1.830000","false"
"3x3","uct-0100","2","revisit_within_four_turns_rate","100","0.582488","0.600000","0.547780","0.615117","false"
"3x3","uct-0100","2","early_revisit_within_quarter_rate","98","0.710156","0.750000","0.656414","0.762609","false"
"3x3","uct-0100","1","mean_dormant_active_fronts","100","1.804444","1.833333","1.726111","1.882778","false"
"3x3","uct-0100","1","dormant_ge1_turn_rate","100","0.806667","0.833333","0.792222","0.821111","false"
"3x3","uct-0100","1","dormant_ge2_turn_rate","100","0.587222","0.611111","0.558889","0.614444","false"
"3x3","uct-0100","1","longest_dormant_run_fraction","100","0.724444","0.777778","0.690556","0.757222","false"
"3x3","uct-0100","1","mean_backlog_size","100","1.804444","1.833333","1.727222","1.886667","false"
"3x3","uct-0100","1","max_backlog_size","100","3.910000","4.000000","3.770000","4.050000","false"
"3x3","uct-0100","1","backlog_ge1_turn_rate","100","0.806667","0.833333","0.791111","0.822222","false"
"3x3","uct-0100","1","backlog_ge2_turn_rate","100","0.587222","0.611111","0.559445","0.613889","false"
"3x3","uct-0100","1","longest_backlog_run_fraction","100","0.724444","0.777778","0.690556","0.756111","false"
"3x3","uct-0100","1","qualifying_departures","100","17.010000","17.000000","16.270000","17.750000","false"
"3x3","uct-0100","1","persistent_revisits","100","9.670000","9.000000","9.000000","10.310000","false"
"3x3","uct-0100","1","reactivation_revisits","100","2.320000","2.000000","2.040000","2.600000","false"
"3x3","uct-0100","1","never_revisited","100","1.280000","1.000000","1.100000","1.470000","false"
"3x3","uct-0100","1","right_censored","100","3.740000","4.000000","3.530000","3.950000","false"
"3x3","uct-0100","1","revisit_rate_observed","100","0.901765","0.904546","0.887144","0.915935","false"
"3x3","uct-0100","1","never_revisited_rate_observed","100","0.098235","0.095454","0.083453","0.112545","false"
"3x3","uct-0100","1","right_censored_rate","100","0.227447","0.219807","0.212275","0.243583","false"
"3x3","uct-0100","1","simple_end_revisit_rate","100","0.695431","0.700000","0.679138","0.710889","false"
"3x3","uct-0100","1","mean_revisit_lag","100","2.426283","2.333333","2.299644","2.554874","false"
"3x3","uct-0100","1","median_revisit_lag","100","1.785000","2.000000","1.655000","1.935000","false"
"3x3","uct-0100","1","mean_normalized_revisit_lag","100","0.134793","0.129630","0.128255","0.141646","false"
"3x3","uct-0100","1","distinct_revisited_regions","100","5.540000","6.000000","5.280000","5.800000","false"
"3x3","uct-0100","1","repeated_revisit_regions","100","3.520000","3.000000","3.270000","3.790000","false"
"3x3","uct-0100","1","revisit_within_four_turns_rate","100","0.718671","0.735088","0.691875","0.743214","false"
"3x3","uct-0100","1","early_revisit_within_quarter_rate","100","0.811512","0.857143","0.777512","0.844913","false"
"3x3","uct-0100","3","mean_dormant_active_fronts","100","0.330000","0.333333","0.306667","0.353889","false"
"3x3","uct-0100","3","dormant_ge1_turn_rate","100","0.293333","0.277778","0.273333","0.313889","false"
"3x3","uct-0100","3","dormant_ge2_turn_rate","100","0.036111","0.027778","0.027778","0.044445","false"
"3x3","uct-0100","3","longest_dormant_run_fraction","100","0.124445","0.111111","0.111111","0.140000","false"
"3x3","uct-0100","3","mean_backlog_size","100","1.804444","1.833333","1.726111","1.887222","false"
"3x3","uct-0100","3","max_backlog_size","100","3.910000","4.000000","3.770000","4.050000","false"
"3x3","uct-0100","3","backlog_ge1_turn_rate","100","0.806667","0.833333","0.791111","0.821667","false"
"3x3","uct-0100","3","backlog_ge2_turn_rate","100","0.587222","0.611111","0.559444","0.615000","false"
"3x3","uct-0100","3","longest_backlog_run_fraction","100","0.724444","0.777778","0.692778","0.756111","false"
"3x3","uct-0100","3","qualifying_departures","100","5.940000","6.000000","5.540000","6.370000","false"
