"board","search_level","metric","games","value","median","ci_low","ci_high","primary"
"3x3","seeded-random","focus_switches","100","1.440000","1.000000","1.190000","1.700000","false"
"3x3","seeded-random","unresolved_carryover_switches","100","0.920000","1.000000","0.720000","1.110000","false"
"3x3","seeded-random","unresolved_carryover_rate","73","0.633790","0.666667","0.545890","0.727397","false"
"3x3","seeded-random","mean_carryover_duration","57","5.239766","5.000000","4.501462","6.051170","false"
"3x3","seeded-random","carryover_later_revisited","100","0.660000","0.000000","0.500000","0.840000","false"
"3x3","seeded-random","carryover_later_revisit_rate","57","0.711988","1.000000","0.614035","0.811404","false"
"3x3","uct-0100","focus_switches","100","1.790000","2.000000","1.520000","2.070000","false"
"3x3","uct-0100","unresolved_carryover_switches","100","1.010000","1.000000","0.830000","1.190000","false"
"3x3","uct-0100","unresolved_carryover_rate","80","0.625000","0.600000","0.538125","0.708125","false"
"3x3","uct-0100","mean_carryover_duration","66","4.959596","4.166666","4.196970","5.775253","false"
"3x3","uct-0100","carryover_later_revisited","100","0.670000","1.000000","0.530000","0.820000","false"
"3x3","uct-0100","carryover_later_revisit_rate","66","0.679293","1.000000","0.583333","0.772727","false"
"3x3","uct-0500","focus_switches","100","2.310000","2.000000","1.990000","2.630000","false"
"3x3","uct-0500","unresolved_carryover_switches","100","1.470000","1.000000","1.250000","1.710000","false"
"3x3","uct-0500","unresolved_carryover_rate","87","0.640285","0.666667","0.569923","0.710317","false"
"3x3","uct-0500","mean_carryover_duration","76","4.515789","4.000000","4.007018","5.098684","false"
"3x3","uct-0500","carryover_later_revisited","100","1.050000","1.000000","0.850000","1.260000","false"
"3x3","uct-0500","carryover_later_revisit_rate","76","0.667325","0.775000","0.579605","0.755044","false"
"3x3","uct-1000","focus_switches","100","2.390000","2.000000","2.040000","2.760000","true"
"3x3","uct-1000","unresolved_carryover_switches","100","1.520000","1.000000","1.240000","1.810000","true"
"3x3","uct-1000","unresolved_carryover_rate","85","0.632381","0.666667","0.559440","0.704958","true"
"3x3","uct-1000","mean_carryover_duration","74","4.295109","3.750000","3.779118","4.823938","true"
"3x3","uct-1000","carryover_later_revisited","100","1.120000","1.000000","0.870000","1.390000","true"
