"board","experiment_id","search_level","game_index","threshold","turns","mean_dormant_active_fronts","dormant_ge1_turn_rate","dormant_ge2_turn_rate","longest_dormant_run","longest_dormant_run_fraction","mean_backlog_size","max_backlog_size","backlog_ge1_turn_rate","backlog_ge2_turn_rate","longest_backlog_run","longest_backlog_run_fraction","qualifying_departures","persistent_revisits","reactivation_revisits","never_revisited","right_censored","revisit_rate_observed","never_revisited_rate_observed","right_censored_rate","simple_end_revisit_rate","mean_revisit_lag","median_revisit_lag","mean_normalized_revisit_lag","distinct_revisited_regions","repeated_revisit_regions","fixed_four_turn_eligible","revisit_within_four_turns_rate","early_departures","early_revisit_within_quarter_rate"
"3x3","3x3-seeded-random","seeded-random","1","2","18","1.222222","0.666667","0.500000","6","0.333333","2.388889","4","0.833333","0.777778","8","0.444444","13","5","2","2","4","0.777778","0.222222","0.307692","0.538462","3.571429","3.000000","0.198413","5","2","9","0.555556","6","0.500000"
"3x3","3x3-seeded-random","seeded-random","1","1","18","2.388889","0.833333","0.777778","8","0.444444","2.388889","4","0.833333","0.777778","8","0.444444","21","11","2","2","6","0.866667","0.133333","0.285714","0.619048","2.384615","2.000000","0.132479","6","4","15","0.733333","9","0.666667"
"3x3","3x3-seeded-random","seeded-random","1","3","18","0.500000","0.444444","0.055556","5","0.277778","2.388889","4","0.833333","0.777778","8","0.444444","9","2","2","2","3","0.666667","0.333333","0.333333","0.444444","4.750000","4.000000","0.263889","3","1","6","0.333333","5","0.400000"
"3x3","3x3-seeded-random","seeded-random","2","2","18","0.777778","0.500000","0.222222","9","0.500000","1.722222","5","0.555556","0.555556","10","0.555556","10","5","2","0","3","1.000000","0.000000","0.300000","0.700000","3.000000","2.000000","0.166667","5","2","7","0.714286","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","2","1","18","1.722222","0.555556","0.555556","10","0.555556","1.722222","5","0.555556","0.555556","10","0.555556","17","11","2","0","4","1.000000","0.000000","0.235294","0.764706","2.076923","2.000000","0.115385","6","5","10","0.800000","2","1.000000"
"3x3","3x3-seeded-random","seeded-random","2","3","18","0.222222","0.166667","0.055556","1","0.055556","1.722222","5","0.555556","0.555556","10","0.555556","4","1","2","0","1","1.000000","0.000000","0.250000","0.750000","4.333333","4.000000","0.240741","3","0","4","0.500000","0",""
"3x3","3x3-seeded-random","seeded-random","3","2","18","1.166667","0.722222","0.333333","7","0.388889","2.166667","5","0.888889","0.611111","16","0.888889","14","9","1","1","3","0.909091","0.090909","0.214286","0.714286","2.500000","2.000000","0.138889","5","3","11","0.818182","5","1.000000"
"3x3","3x3-seeded-random","seeded-random","3","1","18","2.166667","0.888889","0.611111","16","0.888889","2.166667","5","0.888889","0.611111","16","0.888889","18","11","1","2","4","0.857143","0.142857","0.222222","0.666667","2.250000","2.000000","0.125000","6","4","13","0.846154","5","1.000000"
"3x3","3x3-seeded-random","seeded-random","3","3","18","0.388889","0.333333","0.055556","4","0.222222","2.166667","5","0.888889","0.611111","16","0.888889","7","3","1","1","2","0.800000","0.200000","0.285714","0.571429","3.250000","3.000000","0.180556","3","1","6","0.666667","2","1.000000"
"3x3","3x3-seeded-random","seeded-random","4","2","18","0.722222","0.555556","0.055556","8","0.444444","1.888889","5","0.888889","0.666667","16","0.888889","9","5","1","2","1","0.750000","0.250000","0.111111","0.666667","3.833333","2.000000","0.212963","5","1","9","0.555556","6","0.500000"
"3x3","3x3-seeded-random","seeded-random","4","1","18","1.888889","0.888889","0.666667","16","0.888889","1.888889","5","0.888889","0.666667","16","0.888889","21","15","1","2","3","0.888889","0.111111","0.142857","0.761905","2.062500","1.000000","0.114583","5","5","14","0.714286","9","0.666667"
