"board","search_level","threshold","revisit_lag","count","fraction"
"3x3","seeded-random","1","1","579","0.448837"
"3x3","seeded-random","1","2","302","0.234109"
"3x3","seeded-random","1","3","155","0.120155"
"3x3","seeded-random","1","4","105","0.081395"
"3x3","seeded-random","1","5","57","0.044186"
"3x3","seeded-random","1","6","34","0.026357"
"3x3","seeded-random","1","7","19","0.014729"
"3x3","seeded-random","1","8","13","0.010078"
"3x3","seeded-random","1","9","14","0.010853"
"3x3","seeded-random","1","10","6","0.004651"
"3x3","seeded-random","1","11","2","0.001550"
"3x3","seeded-random","1","12","3","0.002326"
"3x3","seeded-random","1","13","1","0.000775"
"3x3","seeded-random","2","2","302","0.424754"
"3x3","seeded-random","2","3","155","0.218003"
"3x3","seeded-random","2","4","105","0.147679"
"3x3","seeded-random","2","5","57","0.080169"
"3x3","seeded-random","2","6","34","0.047820"
"3x3","seeded-random","2","7","19","0.026723"
"3x3","seeded-random","2","8","13","0.018284"
"3x3","seeded-random","2","9","14","0.019691"
"3x3","seeded-random","2","10","6","0.008439"
"3x3","seeded-random","2","11","2","0.002813"
"3x3","seeded-random","2","12","3","0.004219"
"3x3","seeded-random","2","13","1","0.001406"
"3x3","seeded-random","3","3","155","0.378973"
"3x3","seeded-random","3","4","105","0.256724"
"3x3","seeded-random","3","5","57","0.139364"
"3x3","seeded-random","3","6","34","0.083130"
"3x3","seeded-random","3","7","19","0.046455"
"3x3","seeded-random","3","8","13","0.031785"
"3x3","seeded-random","3","9","14","0.034230"
"3x3","seeded-random","3","10","6","0.014670"
"3x3","seeded-random","3","11","2","0.004890"
"3x3","seeded-random","3","12","3","0.007335"
"3x3","seeded-random","3","13","1","0.002445"
"3x3","uct-0100","1","1","570","0.475396"
"3x3","uct-0100","1","2","237","0.197665"
"3x3","uct-0100","1","3","160","0.133445"
"3x3","uct-0100","1","4","81","0.067556"
"3x3","uct-0100","1","5","51","0.042535"
"3x3","uct-0100","1","6","35","0.029191"
"3x3","uct-0100","1","7","23","0.019183"
"3x3","uct-0100","1","8","18","0.015013"
"3x3","uct-0100","1","9","11","0.009174"
"3x3","uct-0100","1","10","5","0.004170"
"3x3","uct-0100","1","11","2","0.001668"
"3x3","uct-0100","1","12","1","0.000834"
"3x3","uct-0100","1","13","5","0.004170"
"3x3","uct-0100","2","2","237","0.376789"
"3x3","uct-0100","2","3","160","0.254372"
"3x3","uct-0100","2","4","81","0.128776"
"3x3","uct-0100","2","5","51","0.081081"
"3x3","uct-0100","2","6","35","0.055644"
"3x3","uct-0100","2","7","23","0.036566"
"3x3","uct-0100","2","8","18","0.028617"
"3x3","uct-0100","2","9","11","0.017488"
"3x3","uct-0100","2","10","5","0.007949"
"3x3","uct-0100","2","11","2","0.003180"
"3x3","uct-0100","2","12","1","0.001590"
"3x3","uct-0100","2","13","5","0.007949"
"3x3","uct-0100","3","3","160","0.408163"
"3x3","uct-0100","3","4","81","0.206633"
"3x3","uct-0100","3","5","51","0.130102"
"3x3","uct-0100","3","6","35","0.089286"
"3x3","uct-0100","3","7","23","0.058673"
"3x3","uct-0100","3","8","18","0.045918"
"3x3","uct-0100","3","9","11","0.028061"
"3x3","uct-0100","3","10","5","0.012755"
"3x3","uct-0100","3","11","2","0.005102"
"3x3","uct-0100","3","12","1","0.002551"
"3x3","uct-0100","3","13","5","0.012755"
"3x3","uct-0500","1","1","489","0.481299"
"3x3","uct-0500","1","2","213","0.209646"
"3x3","uct-0500","1","3","128","0.125984"
"3x3","uct-0500","1","4","61","0.060039"
"3x3","uct-0500","1","5","43","0.042323"
