"board","search_level","threshold","lag","normalized_lag","at_risk","persistent_revisits","reactivation_revisits","never_revisited_resolved","never_revisited_nonfront_return","right_censored"
"3x3","seeded-random","2","0","0.000000","1047","0","0","0","0","0"
"3x3","seeded-random","2","1","0.055556","1047","0","0","0","0","98"
"3x3","seeded-random","2","2","0.111111","949","302","0","20","0","60"
"3x3","seeded-random","2","3","0.166667","567","155","0","0","19","32"
"3x3","seeded-random","2","4","0.222222","361","0","105","0","11","26"
"3x3","seeded-random","2","5","0.277778","219","0","57","0","11","20"
"3x3","seeded-random","2","6","0.333333","131","0","34","0","1","6"
"3x3","seeded-random","2","7","0.388889","90","0","19","0","2","6"
"3x3","seeded-random","2","8","0.444444","63","0","13","0","0","10"
"3x3","seeded-random","2","9","0.500000","40","0","14","0","2","8"
"3x3","seeded-random","2","10","0.555556","16","0","6","0","1","0"
"3x3","seeded-random","2","11","0.611111","9","0","2","0","0","1"
"3x3","seeded-random","2","12","0.666667","6","0","3","0","0","0"
"3x3","seeded-random","2","13","0.722222","3","0","1","0","0","1"
"3x3","seeded-random","2","14","0.777778","1","0","0","0","0","0"
"3x3","seeded-random","2","15","0.833333","1","0","0","0","0","1"
"3x3","seeded-random","1","0","0.000000","1807","0","0","0","0","151"
"3x3","seeded-random","1","1","0.055556","1656","579","0","0","30","98"
"3x3","seeded-random","1","2","0.111111","949","302","0","20","0","60"
"3x3","seeded-random","1","3","0.166667","567","155","0","0","19","32"
"3x3","seeded-random","1","4","0.222222","361","0","105","0","11","26"
"3x3","seeded-random","1","5","0.277778","219","0","57","0","11","20"
"3x3","seeded-random","1","6","0.333333","131","0","34","0","1","6"
"3x3","seeded-random","1","7","0.388889","90","0","19","0","2","6"
"3x3","seeded-random","1","8","0.444444","63","0","13","0","0","10"
"3x3","seeded-random","1","9","0.500000","40","0","14","0","2","8"
"3x3","seeded-random","1","10","0.555556","16","0","6","0","1","0"
"3x3","seeded-random","1","11","0.611111","9","0","2","0","0","1"
"3x3","seeded-random","1","12","0.666667","6","0","3","0","0","0"
"3x3","seeded-random","1","13","0.722222","3","0","1","0","0","1"
"3x3","seeded-random","1","14","0.777778","1","0","0","0","0","0"
"3x3","seeded-random","1","15","0.833333","1","0","0","0","0","1"
"3x3","seeded-random","3","0","0.000000","627","0","0","0","0","0"
"3x3","seeded-random","3","1","0.055556","627","0","0","0","0","0"
"3x3","seeded-random","3","2","0.111111","627","0","0","0","0","60"
"3x3","seeded-random","3","3","0.166667","567","155","0","0","19","32"
"3x3","seeded-random","3","4","0.222222","361","0","105","0","11","26"
"3x3","seeded-random","3","5","0.277778","219","0","57","0","11","20"
"3x3","seeded-random","3","6","0.333333","131","0","34","0","1","6"
"3x3","seeded-random","3","7","0.388889","90","0","19","0","2","6"
"3x3","seeded-random","3","8","0.444444","63","0","13","0","0","10"
"3x3","seeded-random","3","9","0.500000","40","0","14","0","2","8"
"3x3","seeded-random","3","10","0.555556","16","0","6","0","1","0"
"3x3","seeded-random","3","11","0.611111","9","0","2","0","0","1"
"3x3","seeded-random","3","12","0.666667","6","0","3","0","0","0"
"3x3","seeded-random","3","13","0.722222","3","0","1","0","0","1"
"3x3","seeded-random","3","14","0.777778","1","0","0","0","0","0"
