"board","experiment_id","search_level","game_index","region","final_placement_turn","final_placement_band","receives_final_band_investment","remaining_turns","remaining_fraction","has_later_observation","all_later_opportunity_zero","unresolved_after_final_placement","local_outcome_fixed","censor_mode","classification"
"3x3","3x3-seeded-random","seeded-random","1","LL","17","4","true","1","0.055556","true","false","true","false","turns4","end_censored"
"3x3","3x3-seeded-random","seeded-random","1","LL","17","4","true","1","0.055556","true","false","true","false","0.1","end_censored"
"3x3","3x3-seeded-random","seeded-random","1","LL","17","4","true","1","0.055556","true","false","true","false","0.2","end_censored"
"3x3","3x3-seeded-random","seeded-random","1","LM","18","4","true","0","0.000000","false","false","false","true","turns4","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","1","LM","18","4","true","0","0.000000","false","false","false","true","0.1","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","1","LM","18","4","true","0","0.000000","false","false","false","true","0.2","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","1","LH","17","4","true","1","0.055556","true","false","false","false","turns4","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","1","LH","17","4","true","1","0.055556","true","false","false","false","0.1","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","1","LH","17","4","true","1","0.055556","true","false","false","false","0.2","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","1","ML","15","4","true","3","0.166667","true","false","true","false","turns4","end_censored"
"3x3","3x3-seeded-random","seeded-random","1","ML","15","4","true","3","0.166667","true","false","true","false","0.1","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","1","ML","15","4","true","3","0.166667","true","false","true","false","0.2","end_censored"
"3x3","3x3-seeded-random","seeded-random","1","MM","4","1","false","14","0.777778","true","false","true","false","turns4","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","1","MM","4","1","false","14","0.777778","true","false","true","false","0.1","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","1","MM","4","1","false","14","0.777778","true","false","true","false","0.2","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","1","HM","14","4","true","4","0.222222","true","false","true","false","turns4","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","1","HM","14","4","true","4","0.222222","true","false","true","false","0.1","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","1","HM","14","4","true","4","0.222222","true","false","true","false","0.2","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","1","HH","14","4","true","4","0.222222","true","false","false","false","turns4","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","1","HH","14","4","true","4","0.222222","true","false","false","false","0.1","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","1","HH","14","4","true","4","0.222222","true","false","false","false","0.2","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","2","LL","17","4","true","1","0.055556","true","false","true","false","turns4","end_censored"
"3x3","3x3-seeded-random","seeded-random","2","LL","17","4","true","1","0.055556","true","false","true","false","0.1","end_censored"
"3x3","3x3-seeded-random","seeded-random","2","LL","17","4","true","1","0.055556","true","false","true","false","0.2","end_censored"
"3x3","3x3-seeded-random","seeded-random","2","LM","16","4","true","2","0.111111","true","false","true","false","turns4","end_censored"
"3x3","3x3-seeded-random","seeded-random","2","LM","16","4","true","2","0.111111","true","false","true","false","0.1","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","2","LM","16","4","true","2","0.111111","true","false","true","false","0.2","end_censored"
"3x3","3x3-seeded-random","seeded-random","2","ML","13","3","false","5","0.277778","true","false","true","false","turns4","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","2","ML","13","3","false","5","0.277778","true","false","true","false","0.1","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","2","ML","13","3","false","5","0.277778","true","false","true","false","0.2","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","2","MH","18","4","true","0","0.000000","false","false","true","true","turns4","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","2","MH","18","4","true","0","0.000000","false","false","true","true","0.1","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","2","MH","18","4","true","0","0.000000","false","false","true","true","0.2","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","2","HL","13","3","false","5","0.277778","true","true","false","true","turns4","mechanically_closed"
"3x3","3x3-seeded-random","seeded-random","2","HL","13","3","false","5","0.277778","true","true","false","true","0.1","mechanically_closed"
"3x3","3x3-seeded-random","seeded-random","2","HL","13","3","false","5","0.277778","true","true","false","true","0.2","mechanically_closed"
"3x3","3x3-seeded-random","seeded-random","2","HM","18","4","true","0","0.000000","false","false","true","true","turns4","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","2","HM","18","4","true","0","0.000000","false","false","true","true","0.1","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","2","HM","18","4","true","0","0.000000","false","false","true","true","0.2","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","2","HH","18","4","true","0","0.000000","false","false","true","true","turns4","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","2","HH","18","4","true","0","0.000000","false","false","true","true","0.1","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","2","HH","18","4","true","0","0.000000","false","false","true","true","0.2","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","3","LL","18","4","true","0","0.000000","false","false","true","true","turns4","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","3","LL","18","4","true","0","0.000000","false","false","true","true","0.1","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","3","LL","18","4","true","0","0.000000","false","false","true","true","0.2","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","3","LM","18","4","true","0","0.000000","false","false","true","true","turns4","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","3","LM","18","4","true","0","0.000000","false","false","true","true","0.1","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","3","LM","18","4","true","0","0.000000","false","false","true","true","0.2","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","3","ML","14","4","true","4","0.222222","true","false","true","false","turns4","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","3","ML","14","4","true","4","0.222222","true","false","true","false","0.1","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","3","ML","14","4","true","4","0.222222","true","false","true","false","0.2","selectively_abandoned"
"3x3","3x3-seeded-random","seeded-random","3","MM","17","4","true","1","0.055556","true","false","false","true","turns4","resolved_or_settled"
"3x3","3x3-seeded-random","seeded-random","3","MM","17","4","true","1","0.055556","true","false","false","true","0.1","resolved_or_settled"
