"board","search_level","censor_mode","metric","games","value","ci_low","ci_high","primary"
"3x3","seeded-random","turns4","final_band_survival_rate","100","0.845452","0.821083","0.869571","false"
"3x3","seeded-random","turns4","mechanically_closed_rate","100","0.019714","0.009464","0.031048","false"
"3x3","seeded-random","turns4","resolved_or_settled_rate","100","0.534548","0.500250","0.568679","false"
"3x3","seeded-random","turns4","end_censored_rate","100","0.296524","0.265536","0.329048","false"
"3x3","seeded-random","turns4","selectively_abandoned_rate","100","0.149214","0.124940","0.175190","false"
"3x3","seeded-random","0.1","final_band_survival_rate","100","0.845452","0.821286","0.869679","false"
"3x3","seeded-random","0.1","mechanically_closed_rate","100","0.019714","0.010298","0.031476","false"
"3x3","seeded-random","0.1","resolved_or_settled_rate","100","0.534548","0.500167","0.566202","false"
"3x3","seeded-random","0.1","end_censored_rate","100","0.138595","0.116036","0.162821","false"
"3x3","seeded-random","0.1","selectively_abandoned_rate","100","0.307143","0.279393","0.334321","false"
"3x3","seeded-random","0.2","final_band_survival_rate","100","0.845452","0.820536","0.869417","false"
"3x3","seeded-random","0.2","mechanically_closed_rate","100","0.019714","0.009702","0.030643","false"
"3x3","seeded-random","0.2","resolved_or_settled_rate","100","0.534548","0.500941","0.566238","false"
"3x3","seeded-random","0.2","end_censored_rate","100","0.296524","0.263583","0.329262","false"
"3x3","seeded-random","0.2","selectively_abandoned_rate","100","0.149214","0.123476","0.175869","false"
"3x3","uct-0100","turns4","final_band_survival_rate","100","0.781500","0.750857","0.810048","false"
"3x3","uct-0100","turns4","mechanically_closed_rate","100","0.033274","0.020500","0.047702","false"
"3x3","uct-0100","turns4","resolved_or_settled_rate","100","0.773690","0.738060","0.809095","false"
"3x3","uct-0100","turns4","end_censored_rate","100","0.108381","0.083691","0.133107","false"
"3x3","uct-0100","turns4","selectively_abandoned_rate","100","0.084655","0.060179","0.110083","false"
"3x3","uct-0100","0.1","final_band_survival_rate","100","0.781500","0.749583","0.810976","false"
"3x3","uct-0100","0.1","mechanically_closed_rate","100","0.033274","0.020345","0.047607","false"
"3x3","uct-0100","0.1","resolved_or_settled_rate","100","0.773690","0.737369","0.808571","false"
"3x3","uct-0100","0.1","end_censored_rate","100","0.056560","0.039821","0.075012","false"
"3x3","uct-0100","0.1","selectively_abandoned_rate","100","0.136476","0.107369","0.165833","false"
"3x3","uct-0100","0.2","final_band_survival_rate","100","0.781500","0.751429","0.811750","false"
"3x3","uct-0100","0.2","mechanically_closed_rate","100","0.033274","0.020250","0.047786","false"
"3x3","uct-0100","0.2","resolved_or_settled_rate","100","0.773690","0.738488","0.807571","false"
"3x3","uct-0100","0.2","end_censored_rate","100","0.108381","0.084571","0.133940","false"
"3x3","uct-0100","0.2","selectively_abandoned_rate","100","0.084655","0.060774","0.110452","false"
"3x3","uct-0500","turns4","final_band_survival_rate","100","0.743702","0.712286","0.775821","false"
"3x3","uct-0500","turns4","mechanically_closed_rate","100","0.071548","0.051452","0.094738","false"
"3x3","uct-0500","turns4","resolved_or_settled_rate","100","0.831119","0.797976","0.861940","false"
"3x3","uct-0500","turns4","end_censored_rate","100","0.076417","0.056214","0.097274","false"
"3x3","uct-0500","turns4","selectively_abandoned_rate","100","0.020917","0.010000","0.033250","false"
"3x3","uct-0500","0.1","final_band_survival_rate","100","0.743702","0.713440","0.775440","false"
"3x3","uct-0500","0.1","mechanically_closed_rate","100","0.071548","0.050381","0.092143","false"
"3x3","uct-0500","0.1","resolved_or_settled_rate","100","0.831119","0.799321","0.861393","false"
"3x3","uct-0500","0.1","end_censored_rate","100","0.047905","0.032976","0.063524","false"
"3x3","uct-0500","0.1","selectively_abandoned_rate","100","0.049429","0.033012","0.067250","false"
"3x3","uct-0500","0.2","final_band_survival_rate","100","0.743702","0.714619","0.775143","false"
"3x3","uct-0500","0.2","mechanically_closed_rate","100","0.071548","0.051714","0.094286","false"
"3x3","uct-0500","0.2","resolved_or_settled_rate","100","0.831119","0.798679","0.860571","false"
"3x3","uct-0500","0.2","end_censored_rate","100","0.076417","0.055571","0.097643","false"
"3x3","uct-0500","0.2","selectively_abandoned_rate","100","0.020917","0.009917","0.033833","false"
"3x3","uct-1000","turns4","final_band_survival_rate","100","0.703171","0.667345","0.740802","true"
"3x3","uct-1000","turns4","mechanically_closed_rate","100","0.119242","0.096742","0.141313","true"
"3x3","uct-1000","turns4","resolved_or_settled_rate","100","0.807972","0.777786","0.836937","true"
"3x3","uct-1000","turns4","end_censored_rate","100","0.055579","0.035595","0.075357","true"
"3x3","uct-1000","turns4","selectively_abandoned_rate","100","0.017206","0.007540","0.027889","true"
"3x3","uct-1000","0.1","final_band_survival_rate","100","0.703171","0.668040","0.740004","false"
"3x3","uct-1000","0.1","mechanically_closed_rate","100","0.119242","0.098611","0.140210","false"
"3x3","uct-1000","0.1","resolved_or_settled_rate","100","0.807972","0.778865","0.838333","false"
"3x3","uct-1000","0.1","end_censored_rate","100","0.026167","0.013000","0.041000","false"
"3x3","uct-1000","0.1","selectively_abandoned_rate","100","0.046619","0.029071","0.065071","false"
"3x3","uct-1000","0.2","final_band_survival_rate","100","0.703171","0.667393","0.739143","false"
"3x3","uct-1000","0.2","mechanically_closed_rate","100","0.119242","0.096690","0.141548","false"
"3x3","uct-1000","0.2","resolved_or_settled_rate","100","0.807972","0.778111","0.837381","false"
"3x3","uct-1000","0.2","end_censored_rate","100","0.055579","0.037484","0.075889","false"
"3x3","uct-1000","0.2","selectively_abandoned_rate","100","0.017206","0.007111","0.028397","false"
"4x4","seeded-random","turns4","final_band_survival_rate","100","0.873353","0.853794","0.892329","false"
"4x4","seeded-random","turns4","mechanically_closed_rate","100","0.000000","0.000000","0.000000","false"
"4x4","seeded-random","turns4","resolved_or_settled_rate","100","0.470746","0.443198","0.498317","false"
"4x4","seeded-random","turns4","end_censored_rate","100","0.327992","0.300794","0.356337","false"
"4x4","seeded-random","turns4","selectively_abandoned_rate","100","0.201262","0.178262","0.223809","false"
"4x4","seeded-random","0.1","final_band_survival_rate","100","0.873353","0.854290","0.891909","false"
"4x4","seeded-random","0.1","mechanically_closed_rate","100","0.000000","0.000000","0.000000","false"
"4x4","seeded-random","0.1","resolved_or_settled_rate","100","0.470746","0.442492","0.500190","false"
"4x4","seeded-random","0.1","end_censored_rate","100","0.237885","0.211742","0.264413","false"
"4x4","seeded-random","0.1","selectively_abandoned_rate","100","0.291369","0.265044","0.318659","false"
"4x4","seeded-random","0.2","final_band_survival_rate","100","0.873353","0.854524","0.892647","false"
"4x4","seeded-random","0.2","mechanically_closed_rate","100","0.000000","0.000000","0.000000","false"
"4x4","seeded-random","0.2","resolved_or_settled_rate","100","0.470746","0.444488","0.496405","false"
"4x4","seeded-random","0.2","end_censored_rate","100","0.383242","0.355702","0.409972","false"
"4x4","seeded-random","0.2","selectively_abandoned_rate","100","0.146012","0.125996","0.165282","false"
"4x4","uct-0100","turns4","final_band_survival_rate","100","0.839901","0.814746","0.864833","false"
"4x4","uct-0100","turns4","mechanically_closed_rate","100","0.002679","0.000000","0.006964","false"
"4x4","uct-0100","turns4","resolved_or_settled_rate","100","0.653373","0.621357","0.685468","false"
"4x4","uct-0100","turns4","end_censored_rate","100","0.181230","0.155444","0.207750","false"
"4x4","uct-0100","turns4","selectively_abandoned_rate","100","0.162718","0.138059","0.188611","false"
"4x4","uct-0100","0.1","final_band_survival_rate","100","0.839901","0.816425","0.863464","false"
"4x4","uct-0100","0.1","mechanically_closed_rate","100","0.002679","0.000000","0.006786","false"
"4x4","uct-0100","0.1","resolved_or_settled_rate","100","0.653373","0.620024","0.685937","false"
"4x4","uct-0100","0.1","end_censored_rate","100","0.127147","0.103798","0.150873","false"
"4x4","uct-0100","0.1","selectively_abandoned_rate","100","0.216802","0.190460","0.245464","false"
"4x4","uct-0100","0.2","final_band_survival_rate","100","0.839901","0.815397","0.862647","false"
"4x4","uct-0100","0.2","mechanically_closed_rate","100","0.002679","0.000000","0.006964","false"
"4x4","uct-0100","0.2","resolved_or_settled_rate","100","0.653373","0.620587","0.684659","false"
"4x4","uct-0100","0.2","end_censored_rate","100","0.214897","0.187782","0.244008","false"
"4x4","uct-0100","0.2","selectively_abandoned_rate","100","0.129052","0.109254","0.151524","false"
"4x4","uct-0500","turns4","final_band_survival_rate","100","0.795833","0.770310","0.819579","false"
"4x4","uct-0500","turns4","mechanically_closed_rate","100","0.008206","0.001667","0.016444","false"
"4x4","uct-0500","turns4","resolved_or_settled_rate","100","0.786802","0.754825","0.818052","false"
