"board","search_level","band","metric","games","value","ci_low","ci_high","primary"
"3x3","seeded-random","1","mean_active_fronts","100","1.075000","0.972500","1.177500","false"
"3x3","seeded-random","1","mean_dormant_fronts","100","0.072500","0.047500","0.100000","false"
"3x3","seeded-random","1","mean_backlog","100","0.312500","0.252500","0.370000","false"
"3x3","seeded-random","1","multi_active_turn_rate","100","0.340000","0.292500","0.390000","false"
"3x3","seeded-random","1","multi_unattended_turn_rate","100","0.062500","0.037500","0.090000","false"
"3x3","seeded-random","1","decline_from_game_peak","100","5.035000","4.832500","5.227500","false"
"3x3","seeded-random","1","placement_entropy","100","0.782258","0.759994","0.803491","false"
"3x3","seeded-random","1","opportunity_entropy","100","0.957041","0.955532","0.958522","false"
"3x3","seeded-random","1","entropy_gap","100","-0.174782","-0.196032","-0.155014","false"
"3x3","seeded-random","1","placement_hhi","100","0.208194","0.196250","0.222361","false"
"3x3","seeded-random","1","opportunity_hhi","100","0.134465","0.133739","0.135197","false"
"3x3","seeded-random","1","hhi_gap","100","0.073729","0.062493","0.086508","false"
"3x3","seeded-random","1","placement_largest_share","100","0.305000","0.285000","0.325000","false"
"3x3","seeded-random","1","opportunity_largest_share","100","0.233091","0.231170","0.235040","false"
"3x3","seeded-random","1","largest_share_gap","100","0.071909","0.053494","0.091127","false"
"3x3","seeded-random","1","placement_top_two_share","100","0.510000","0.486667","0.532500","false"
"3x3","seeded-random","1","opportunity_top_two_share","100","0.364468","0.362254","0.366597","false"
"3x3","seeded-random","1","top_two_share_gap","100","0.145531","0.122731","0.167318","false"
"3x3","seeded-random","1","placement_regions","100","6.470000","6.230000","6.720000","false"
"3x3","seeded-random","1","opportunity_regions","100","9.000000","9.000000","9.000000","false"
"3x3","seeded-random","2","mean_active_fronts","100","3.444000","3.256000","3.636000","false"
"3x3","seeded-random","2","mean_dormant_fronts","100","0.844000","0.764000","0.922000","false"
"3x3","seeded-random","2","mean_backlog","100","1.826000","1.702000","1.962000","false"
"3x3","seeded-random","2","multi_active_turn_rate","100","0.958000","0.932000","0.980000","false"
"3x3","seeded-random","2","multi_unattended_turn_rate","100","0.594000","0.542000","0.644000","false"
"3x3","seeded-random","2","decline_from_game_peak","100","2.666000","2.452000","2.886000","false"
"3x3","seeded-random","2","placement_entropy","100","0.841730","0.827312","0.855253","false"
"3x3","seeded-random","2","opportunity_entropy","100","0.970345","0.968846","0.971827","false"
"3x3","seeded-random","2","entropy_gap","100","-0.128616","-0.143058","-0.114533","false"
"3x3","seeded-random","2","placement_hhi","100","0.179378","0.172000","0.186844","false"
