"board","experiment_id","search_level","game_index","band","mean_active_fronts","mean_dormant_fronts","mean_backlog","multi_active_turn_rate","multi_unattended_turn_rate","decline_from_game_peak","placement_entropy","opportunity_entropy","entropy_gap","placement_hhi","opportunity_hhi","hhi_gap","placement_largest_share","opportunity_largest_share","largest_share_gap","placement_top_two_share","opportunity_top_two_share","top_two_share_gap","placement_regions","opportunity_regions"
"3x3","3x3-seeded-random","seeded-random","1","1","2.000000","0.000000","0.750000","0.500000","0.250000","4.000000","0.795620","0.962489","-0.166869","0.180556","0.132115","0.048440","0.250000","0.231884","0.018116","0.416667","0.362319","0.054348","6","9"
"3x3","3x3-seeded-random","seeded-random","1","2","5.200000","2.000000","3.200000","1.000000","1.000000","0.800000","0.838053","0.947620","-0.109567","0.173333","0.138484","0.034849","0.266667","0.237113","0.029553","0.466667","0.371134","0.095533","7","9"
"3x3","3x3-seeded-random","seeded-random","1","3","3.250000","0.500000","1.500000","1.000000","0.750000","2.750000","0.775775","0.967203","-0.191428","0.194444","0.129096","0.065348","0.250000","0.222222","0.027778","0.500000","0.345679","0.154321","6","9"
"3x3","3x3-seeded-random","seeded-random","1","4","5.400000","2.000000","3.600000","1.000000","1.000000","0.600000","0.906301","0.964354","-0.058053","0.146667","0.127901","0.018765","0.200000","0.200000","0.000000","0.400000","0.355556","0.044444","8","9"
"3x3","3x3-seeded-random","seeded-random","2","1","0.000000","0.000000","0.000000","0.000000","0.000000","6.000000","0.815465","0.963883","-0.148418","0.194444","0.131022","0.063422","0.333333","0.226667","0.106667","0.500000","0.360000","0.140000","7","9"
"3x3","3x3-seeded-random","seeded-random","2","2","1.400000","0.000000","0.400000","0.400000","0.200000","4.600000","0.864239","0.979821","-0.115582","0.155556","0.122226","0.033329","0.200000","0.201923","-0.001923","0.400000","0.317308","0.082692","7","9"
"3x3","3x3-seeded-random","seeded-random","2","3","5.500000","1.750000","3.500000","1.000000","1.000000","0.500000","0.848197","0.964119","-0.115922","0.166667","0.129259","0.037408","0.250000","0.209302","0.040698","0.416667","0.348837","0.067829","7","9"
"3x3","3x3-seeded-random","seeded-random","2","4","5.600000","1.400000","3.000000","1.000000","1.000000","0.400000","0.735953","0.917365","-0.181412","0.226667","0.142061","0.084606","0.333333","0.225490","0.107843","0.600000","0.372549","0.227451","6","8"
"3x3","3x3-seeded-random","seeded-random","3","1","1.000000","0.250000","0.500000","0.250000","0.000000","6.000000","0.815465","0.952860","-0.137395","0.194444","0.136427","0.058018","0.333333","0.236842","0.096491","0.500000","0.368421","0.131579","7","9"
"3x3","3x3-seeded-random","seeded-random","3","2","3.200000","1.000000","1.800000","1.000000","0.600000","3.800000","0.853929","0.972040","-0.118111","0.164444","0.126635","0.037809","0.266667","0.215517","0.051149","0.400000","0.344828","0.055172","7","9"
"3x3","3x3-seeded-random","seeded-random","3","3","4.750000","1.000000","2.500000","1.000000","0.750000","2.250000","0.795620","0.978429","-0.182809","0.180556","0.122811","0.057744","0.250000","0.197802","0.052198","0.416667","0.329670","0.086996","6","9"
"3x3","3x3-seeded-random","seeded-random","3","4","5.800000","2.200000","3.600000","1.000000","1.000000","1.200000","0.906301","0.977395","-0.071094","0.146667","0.122966","0.023701","0.200000","0.192308","0.007692","0.400000","0.336538","0.063462","8","9"
"3x3","3x3-seeded-random","seeded-random","4","1","1.750000","0.250000","0.750000","0.750000","0.250000","4.250000","0.900775","0.954140","-0.053365","0.152778","0.135813","0.016965","0.250000","0.235294","0.014706","0.416667","0.367647","0.049020","8","9"
"3x3","3x3-seeded-random","seeded-random","4","2","4.800000","1.600000","3.000000","1.000000","1.000000","1.200000","0.922177","0.974109","-0.051932","0.137778","0.124522","0.013256","0.200000","0.196429","0.003571","0.333333","0.330357","0.002976","8","9"
"3x3","3x3-seeded-random","seeded-random","4","3","4.250000","0.750000","2.000000","1.000000","0.750000","1.750000","0.762887","0.971433","-0.208546","0.208333","0.126625","0.081708","0.333333","0.213483","0.119850","0.500000","0.337079","0.162921","6","9"
"3x3","3x3-seeded-random","seeded-random","4","4","4.200000","0.200000","1.600000","1.000000","0.600000","1.800000","0.838053","0.949065","-0.111013","0.173333","0.134948","0.038385","0.266667","0.223529","0.043137","0.466667","0.364706","0.101961","7","9"
"3x3","3x3-seeded-random","seeded-random","5","1","0.750000","0.000000","0.000000","0.250000","0.000000","6.250000","0.848197","0.949220","-0.101023","0.166667","0.137549","0.029117","0.250000","0.232877","0.017123","0.416667","0.369863","0.046804","7","9"
"3x3","3x3-seeded-random","seeded-random","5","2","2.800000","0.600000","1.400000","1.000000","0.400000","4.200000","0.906301","0.973917","-0.067616","0.146667","0.125721","0.020945","0.200000","0.213675","-0.013675","0.400000","0.341880","0.058120","8","9"
"3x3","3x3-seeded-random","seeded-random","5","3","4.250000","1.250000","2.500000","1.000000","1.000000","2.750000","0.743042","0.960538","-0.217495","0.222222","0.133010","0.089212","0.333333","0.235294","0.098039","0.583333","0.376471","0.206863","6","9"
"3x3","3x3-seeded-random","seeded-random","5","4","5.800000","2.400000","4.000000","1.000000","1.000000","1.200000","0.880115","0.963404","-0.083289","0.164444","0.130642","0.033802","0.266667","0.218750","0.047917","0.466667","0.375000","0.091667","8","9"
"3x3","3x3-seeded-random","seeded-random","6","1","1.000000","0.000000","0.250000","0.250000","0.000000","4.000000","0.828352","0.950078","-0.121726","0.180556","0.138675","0.041880","0.250000","0.246575","0.003425","0.500000","0.369863","0.130137","7","9"
"3x3","3x3-seeded-random","seeded-random","6","2","3.200000","1.200000","1.800000","1.000000","0.600000","1.800000","0.769805","0.976887","-0.207082","0.200000","0.123576","0.076424","0.266667","0.201754","0.064912","0.533333","0.333333","0.200000","6","9"
"3x3","3x3-seeded-random","seeded-random","6","3","3.750000","0.750000","1.750000","1.000000","0.750000","1.250000","0.900775","0.970391","-0.069616","0.152778","0.126033","0.026745","0.250000","0.204545","0.045455","0.416667","0.340909","0.075758","8","9"
"3x3","3x3-seeded-random","seeded-random","6","4","4.200000","1.800000","2.600000","1.000000","0.800000","0.800000","0.778015","0.953603","-0.175588","0.217778","0.134800","0.082977","0.333333","0.230769","0.102564","0.600000","0.365385","0.234615","7","9"
"3x3","3x3-seeded-random","seeded-random","7","1","1.000000","0.000000","0.250000","0.250000","0.000000","6.000000","0.815465","0.959795","-0.144330","0.194444","0.134405","0.060040","0.333333","0.243243","0.090090","0.500000","0.364865","0.135135","7","9"
"3x3","3x3-seeded-random","seeded-random","7","2","2.600000","0.600000","1.400000","1.000000","0.400000","4.400000","0.822177","0.971495","-0.149318","0.182222","0.126598","0.055624","0.266667","0.213675","0.052991","0.466667","0.341880","0.124786","7","9"
"3x3","3x3-seeded-random","seeded-random","7","3","4.750000","1.500000","3.000000","1.000000","0.750000","2.250000","0.900775","0.974848","-0.074073","0.152778","0.125097","0.027681","0.250000","0.210526","0.039474","0.416667","0.336842","0.079825","8","9"
"3x3","3x3-seeded-random","seeded-random","7","4","5.000000","1.000000","2.600000","1.000000","0.800000","2.000000","0.838053","0.967778","-0.129725","0.173333","0.128828","0.044506","0.266667","0.221239","0.045428","0.466667","0.353982","0.112684","7","9"
"3x3","3x3-seeded-random","seeded-random","8","1","1.500000","0.000000","0.500000","0.500000","0.250000","4.500000","0.815465","0.953046","-0.137581","0.194444","0.135031","0.059414","0.333333","0.222222","0.111111","0.500000","0.361111","0.138889","7","9"
"3x3","3x3-seeded-random","seeded-random","8","2","4.600000","0.600000","2.000000","1.000000","0.800000","1.400000","0.848363","0.978617","-0.130255","0.164444","0.121955","0.042490","0.200000","0.184874","0.015126","0.400000","0.310924","0.089076","7","9"
"3x3","3x3-seeded-random","seeded-random","8","3","5.000000","1.250000","2.750000","1.000000","1.000000","1.000000","0.828352","0.985984","-0.157632","0.180556","0.118384","0.062172","0.250000","0.173913","0.076087","0.500000","0.304348","0.195652","7","9"
"3x3","3x3-seeded-random","seeded-random","8","4","5.400000","1.800000","3.200000","1.000000","1.000000","0.600000","0.735953","0.970314","-0.234362","0.226667","0.126614","0.100053","0.333333","0.204082","0.129252","0.600000","0.346939","0.253061","6","9"
"3x3","3x3-seeded-random","seeded-random","9","1","0.750000","0.000000","0.250000","0.250000","0.000000","4.250000","0.775775","0.963367","-0.187592","0.194444","0.129956","0.064489","0.250000","0.213333","0.036667","0.500000","0.346667","0.153333","6","9"
"3x3","3x3-seeded-random","seeded-random","9","2","2.800000","0.400000","1.200000","1.000000","0.400000","2.200000","0.804201","0.982148","-0.177948","0.200000","0.120781","0.079219","0.333333","0.192661","0.140673","0.533333","0.321101","0.212232","7","9"
"3x3","3x3-seeded-random","seeded-random","9","3","4.250000","1.000000","2.250000","1.000000","1.000000","0.750000","0.815465","0.980689","-0.165224","0.166667","0.121152","0.045515","0.166667","0.183908","-0.017241","0.333333","0.321839","0.011494","6","9"
"3x3","3x3-seeded-random","seeded-random","9","4","2.800000","0.800000","1.600000","1.000000","0.400000","2.200000","0.838053","0.963704","-0.125651","0.173333","0.129477","0.043857","0.266667","0.202020","0.064646","0.466667","0.353535","0.113131","7","9"
