"board","experiment_id","search_level","game_index","censor_mode","cohort_regions","final_band_survival_rate","mechanically_closed_rate","resolved_or_settled_rate","end_censored_rate","selectively_abandoned_rate"
"3x3","3x3-seeded-random","seeded-random","1","turns4","7","0.857143","0.000000","0.428571","0.285714","0.285714"
"3x3","3x3-seeded-random","seeded-random","1","0.1","7","0.857143","0.000000","0.428571","0.142857","0.428571"
"3x3","3x3-seeded-random","seeded-random","1","0.2","7","0.857143","0.000000","0.428571","0.285714","0.285714"
"3x3","3x3-seeded-random","seeded-random","2","turns4","7","0.714286","0.142857","0.428571","0.285714","0.142857"
"3x3","3x3-seeded-random","seeded-random","2","0.1","7","0.714286","0.142857","0.428571","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","2","0.2","7","0.714286","0.142857","0.428571","0.285714","0.142857"
"3x3","3x3-seeded-random","seeded-random","3","turns4","7","0.857143","0.000000","0.714286","0.000000","0.285714"
"3x3","3x3-seeded-random","seeded-random","3","0.1","7","0.857143","0.000000","0.714286","0.000000","0.285714"
"3x3","3x3-seeded-random","seeded-random","3","0.2","7","0.857143","0.000000","0.714286","0.000000","0.285714"
"3x3","3x3-seeded-random","seeded-random","4","turns4","7","0.857143","0.000000","0.714286","0.142857","0.142857"
"3x3","3x3-seeded-random","seeded-random","4","0.1","7","0.857143","0.000000","0.714286","0.142857","0.142857"
"3x3","3x3-seeded-random","seeded-random","4","0.2","7","0.857143","0.000000","0.714286","0.142857","0.142857"
"3x3","3x3-seeded-random","seeded-random","5","turns4","7","0.857143","0.000000","0.571429","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","5","0.1","7","0.857143","0.000000","0.571429","0.000000","0.428571"
"3x3","3x3-seeded-random","seeded-random","5","0.2","7","0.857143","0.000000","0.571429","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","6","turns4","5","0.800000","0.200000","0.600000","0.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","6","0.1","5","0.800000","0.200000","0.600000","0.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","6","0.2","5","0.800000","0.200000","0.600000","0.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","7","turns4","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","7","0.1","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","7","0.2","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","8","turns4","5","0.600000","0.000000","0.600000","0.000000","0.400000"
"3x3","3x3-seeded-random","seeded-random","8","0.1","5","0.600000","0.000000","0.600000","0.000000","0.400000"
"3x3","3x3-seeded-random","seeded-random","8","0.2","5","0.600000","0.000000","0.600000","0.000000","0.400000"
