"board","experiment_id","search_level","game_index","late_objective_placements","target_state_changed_rate","local_lead_changed_rate","contributes_to_securing_rate","global_comparison_changed_rate","global_outcome_still_mutable_rate","region_outcome_fixed_before_rate"
"3x3","3x3-seeded-random","seeded-random","1","6","0.666667","0.666667","0.000000","0.833333","1.000000","0.166667"
"3x3","3x3-seeded-random","seeded-random","2","6","0.833333","0.500000","0.166667","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","3","9","1.000000","0.555556","0.333333","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","4","4","0.750000","0.500000","0.250000","0.000000","0.750000","0.000000"
"3x3","3x3-seeded-random","seeded-random","5","7","0.857143","0.428571","0.285714","0.000000","0.714286","0.000000"
"3x3","3x3-seeded-random","seeded-random","6","6","1.000000","0.333333","0.666667","0.000000","0.666667","0.166667"
"3x3","3x3-seeded-random","seeded-random","7","6","1.000000","0.500000","0.333333","0.000000","0.666667","0.166667"
"3x3","3x3-seeded-random","seeded-random","8","7","0.857143","0.571429","0.285714","0.000000","0.857143","0.000000"
"3x3","3x3-seeded-random","seeded-random","9","9","0.777778","0.555556","0.111111","0.333333","1.000000","0.111111"
"3x3","3x3-seeded-random","seeded-random","10","9","0.888889","0.333333","0.444444","0.222222","1.000000","0.111111"
"3x3","3x3-seeded-random","seeded-random","11","4","0.750000","0.250000","0.000000","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","12","5","0.800000","0.400000","0.200000","0.600000","0.800000","0.000000"
"3x3","3x3-seeded-random","seeded-random","13","7","1.000000","0.714286","0.000000","0.000000","0.857143","0.000000"
"3x3","3x3-seeded-random","seeded-random","14","7","0.571429","0.142857","0.285714","0.000000","0.857143","0.142857"
"3x3","3x3-seeded-random","seeded-random","15","4","1.000000","1.000000","0.000000","0.750000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","16","5","1.000000","0.600000","0.200000","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","17","9","0.555556","0.333333","0.111111","0.000000","0.666667","0.111111"
"3x3","3x3-seeded-random","seeded-random","18","5","0.400000","0.200000","0.200000","0.000000","1.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","19","5","0.800000","0.600000","0.200000","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","20","6","0.333333","0.333333","0.000000","0.166667","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","21","9","0.666667","0.333333","0.222222","0.000000","1.000000","0.333333"
"3x3","3x3-seeded-random","seeded-random","22","8","0.750000","0.625000","0.250000","0.250000","0.750000","0.125000"
"3x3","3x3-seeded-random","seeded-random","23","9","1.000000","0.555556","0.333333","0.111111","0.777778","0.000000"
"3x3","3x3-seeded-random","seeded-random","24","6","0.666667","0.333333","0.166667","0.000000","1.000000","0.166667"
"3x3","3x3-seeded-random","seeded-random","25","7","1.000000","0.571429","0.285714","0.142857","0.857143","0.000000"
"3x3","3x3-seeded-random","seeded-random","26","4","1.000000","1.000000","0.000000","0.500000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","27","7","0.571429","0.428571","0.142857","0.000000","0.857143","0.000000"
"3x3","3x3-seeded-random","seeded-random","28","7","0.857143","0.428571","0.000000","0.000000","0.857143","0.142857"
"3x3","3x3-seeded-random","seeded-random","29","10","0.900000","0.200000","0.300000","0.100000","0.700000","0.000000"
"3x3","3x3-seeded-random","seeded-random","30","5","0.400000","0.400000","0.000000","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","31","6","0.666667","0.500000","0.166667","0.166667","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","32","4","0.500000","0.500000","0.000000","0.000000","0.250000","0.250000"
"3x3","3x3-seeded-random","seeded-random","33","3","0.666667","0.333333","0.333333","0.000000","0.666667","0.000000"
"3x3","3x3-seeded-random","seeded-random","34","3","0.666667","0.333333","0.333333","0.333333","0.666667","0.333333"
"3x3","3x3-seeded-random","seeded-random","35","5","0.400000","0.400000","0.000000","0.600000","1.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","36","3","0.666667","0.666667","0.000000","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","37","6","0.666667","0.500000","0.000000","0.000000","0.833333","0.000000"
"3x3","3x3-seeded-random","seeded-random","38","5","0.800000","0.600000","0.400000","0.200000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","39","7","0.714286","0.000000","0.571429","0.000000","0.857143","0.142857"
"3x3","3x3-seeded-random","seeded-random","40","8","1.000000","0.500000","0.250000","0.625000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","41","7","0.857143","0.714286","0.142857","0.285714","1.000000","0.142857"
"3x3","3x3-seeded-random","seeded-random","42","7","0.857143","0.571429","0.142857","0.000000","0.857143","0.000000"
"3x3","3x3-seeded-random","seeded-random","43","5","1.000000","0.400000","0.400000","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","44","8","0.750000","0.375000","0.125000","0.125000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","45","5","0.800000","0.400000","0.000000","0.000000","0.600000","0.000000"
"3x3","3x3-seeded-random","seeded-random","46","5","0.600000","0.600000","0.000000","0.000000","0.400000","0.200000"
"3x3","3x3-seeded-random","seeded-random","47","6","0.500000","0.333333","0.166667","0.000000","0.833333","0.000000"
"3x3","3x3-seeded-random","seeded-random","48","6","0.833333","0.666667","0.166667","0.333333","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","49","10","0.800000","0.400000","0.100000","0.000000","1.000000","0.100000"
"3x3","3x3-seeded-random","seeded-random","50","5","0.800000","0.400000","0.200000","0.000000","0.600000","0.000000"
"3x3","3x3-seeded-random","seeded-random","51","7","1.000000","0.857143","0.000000","0.000000","0.857143","0.000000"
"3x3","3x3-seeded-random","seeded-random","52","8","0.875000","0.375000","0.500000","0.125000","1.000000","0.250000"
"3x3","3x3-seeded-random","seeded-random","53","8","1.000000","0.625000","0.125000","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","54","6","0.666667","0.166667","0.333333","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","55","8","0.625000","0.375000","0.125000","0.000000","0.750000","0.000000"
"3x3","3x3-seeded-random","seeded-random","56","11","0.727273","0.545455","0.181818","0.454545","1.000000","0.181818"
"3x3","3x3-seeded-random","seeded-random","57","6","0.833333","0.500000","0.333333","0.000000","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","58","6","0.833333","0.166667","0.666667","0.333333","0.833333","0.000000"
"3x3","3x3-seeded-random","seeded-random","59","7","0.857143","0.714286","0.142857","0.000000","0.714286","0.142857"
"3x3","3x3-seeded-random","seeded-random","60","6","0.666667","0.333333","0.166667","0.166667","0.833333","0.166667"
"3x3","3x3-seeded-random","seeded-random","61","7","0.714286","0.428571","0.285714","0.142857","0.714286","0.000000"
"3x3","3x3-seeded-random","seeded-random","62","5","0.800000","0.600000","0.000000","0.000000","0.800000","0.200000"
"3x3","3x3-seeded-random","seeded-random","63","6","0.833333","0.666667","0.000000","0.000000","0.500000","0.000000"
"3x3","3x3-seeded-random","seeded-random","64","8","0.625000","0.500000","0.000000","0.750000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","65","10","0.700000","0.300000","0.300000","0.000000","0.800000","0.000000"
"3x3","3x3-seeded-random","seeded-random","66","5","0.800000","0.600000","0.200000","0.000000","0.600000","0.200000"
"3x3","3x3-seeded-random","seeded-random","67","4","0.750000","0.000000","0.000000","0.000000","0.500000","0.000000"
"3x3","3x3-seeded-random","seeded-random","68","4","0.500000","0.250000","0.000000","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","69","8","0.750000","0.625000","0.000000","0.000000","0.750000","0.000000"
"3x3","3x3-seeded-random","seeded-random","70","4","0.750000","0.250000","0.000000","0.000000","1.000000","0.250000"
"3x3","3x3-seeded-random","seeded-random","71","5","0.800000","0.400000","0.200000","0.000000","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","72","6","0.666667","0.333333","0.166667","0.166667","1.000000","0.166667"
"3x3","3x3-seeded-random","seeded-random","73","8","0.625000","0.375000","0.125000","0.000000","1.000000","0.125000"
"3x3","3x3-seeded-random","seeded-random","74","7","0.428571","0.285714","0.142857","0.571429","1.000000","0.142857"
"3x3","3x3-seeded-random","seeded-random","75","7","0.571429","0.285714","0.000000","0.428571","0.571429","0.142857"
"3x3","3x3-seeded-random","seeded-random","76","7","1.000000","0.571429","0.000000","0.142857","1.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","77","5","0.400000","0.200000","0.200000","0.000000","1.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","78","10","0.900000","0.400000","0.500000","0.000000","0.200000","0.000000"
