"board","experiment_id","search_level","game_index","turn_number","placement_number","mover","target","region","target_state_changed","local_lead_changed","contributes_to_securing","global_comparison_changed","global_outcome_still_mutable","region_outcome_fixed_before","p1_remaining_before","p2_remaining_before"
"3x3","3x3-seeded-random","seeded-random","1","14","1","2","O21","HM","true","true","false","false","true","false","6","9"
"3x3","3x3-seeded-random","seeded-random","1","14","3","2","O22","HH","true","true","false","true","true","false","6","7"
"3x3","3x3-seeded-random","seeded-random","1","15","1","1","O12","MH","true","true","false","true","true","false","6","6"
"3x3","3x3-seeded-random","seeded-random","1","16","3","2","O12","MH","true","true","false","true","true","false","3","4"
"3x3","3x3-seeded-random","seeded-random","1","17","2","1","O00","LL","false","false","false","true","true","false","2","3"
"3x3","3x3-seeded-random","seeded-random","1","18","1","2","O20","HL","false","false","false","true","true","true","0","3"
"3x3","3x3-seeded-random","seeded-random","2","14","3","2","O01","LM","true","true","false","false","true","false","6","7"
"3x3","3x3-seeded-random","seeded-random","2","15","2","1","O21","HM","true","false","true","false","true","false","5","6"
"3x3","3x3-seeded-random","seeded-random","2","16","1","2","O12","MH","true","true","false","false","true","false","3","6"
"3x3","3x3-seeded-random","seeded-random","2","16","2","2","O01","LM","false","false","false","false","true","false","3","5"
"3x3","3x3-seeded-random","seeded-random","2","17","1","1","O12","MH","true","false","false","false","true","false","3","3"
"3x3","3x3-seeded-random","seeded-random","2","18","1","2","O22","HH","true","true","false","false","true","false","0","3"
"3x3","3x3-seeded-random","seeded-random","3","14","2","2","O10","ML","true","false","false","false","true","false","6","8"
"3x3","3x3-seeded-random","seeded-random","3","14","3","2","O10","ML","true","true","false","false","true","false","6","7"
"3x3","3x3-seeded-random","seeded-random","3","15","1","1","O02","LH","true","true","false","false","true","false","6","6"
"3x3","3x3-seeded-random","seeded-random","3","15","2","1","O00","LL","true","true","false","false","true","false","5","6"
"3x3","3x3-seeded-random","seeded-random","3","15","3","1","O11","MM","true","true","false","false","true","false","4","6"
"3x3","3x3-seeded-random","seeded-random","3","16","1","2","O02","LH","true","false","false","false","true","false","3","6"
"3x3","3x3-seeded-random","seeded-random","3","16","2","2","O20","HL","true","false","true","false","true","false","3","5"
"3x3","3x3-seeded-random","seeded-random","3","17","2","1","O11","MM","true","false","true","false","true","false","2","3"
"3x3","3x3-seeded-random","seeded-random","3","17","3","1","O21","HM","true","true","true","false","true","false","1","3"
"3x3","3x3-seeded-random","seeded-random","4","15","1","1","O02","LH","true","true","false","false","true","false","6","6"
"3x3","3x3-seeded-random","seeded-random","4","15","2","1","O22","HH","true","true","false","false","true","false","5","6"
"3x3","3x3-seeded-random","seeded-random","4","16","2","2","O11","MM","false","false","false","false","true","false","3","5"
"3x3","3x3-seeded-random","seeded-random","4","17","3","1","O11","MM","true","false","true","false","false","false","1","3"
"3x3","3x3-seeded-random","seeded-random","5","14","1","2","O02","LH","true","true","false","false","true","false","6","9"
"3x3","3x3-seeded-random","seeded-random","5","15","1","1","O02","LH","true","false","false","false","true","false","6","6"
"3x3","3x3-seeded-random","seeded-random","5","15","2","1","O22","HH","true","false","true","false","true","false","5","6"
"3x3","3x3-seeded-random","seeded-random","5","15","3","1","O11","MM","true","true","false","false","true","false","4","6"
"3x3","3x3-seeded-random","seeded-random","5","16","1","2","O10","ML","false","false","false","false","true","false","3","6"
