"board","search_level","metric","games","value","ci_low","ci_high","primary"
"3x3","seeded-random","late_objective_placements","100","6.370000","6.030000","6.690000","false"
"3x3","seeded-random","target_state_changed_rate","100","0.747793","0.710631","0.782984","false"
"3x3","seeded-random","local_lead_changed_rate","100","0.441665","0.407425","0.479998","false"
"3x3","seeded-random","contributes_to_securing_rate","100","0.178925","0.148798","0.212469","false"
"3x3","seeded-random","global_comparison_changed_rate","100","0.127819","0.090530","0.171357","false"
"3x3","seeded-random","global_outcome_still_mutable_rate","100","0.865369","0.828754","0.899214","false"
"3x3","seeded-random","region_outcome_fixed_before_rate","100","0.070830","0.052639","0.089659","false"
"3x3","uct-0100","late_objective_placements","100","8.200000","7.750000","8.640000","false"
"3x3","uct-0100","target_state_changed_rate","100","0.887063","0.862400","0.909344","false"
"3x3","uct-0100","local_lead_changed_rate","100","0.384279","0.352556","0.415711","false"
"3x3","uct-0100","contributes_to_securing_rate","100","0.437723","0.402177","0.475682","false"
"3x3","uct-0100","global_comparison_changed_rate","100","0.162490","0.135438","0.190186","false"
"3x3","uct-0100","global_outcome_still_mutable_rate","100","0.948769","0.917004","0.975019","false"
"3x3","uct-0100","region_outcome_fixed_before_rate","100","0.066821","0.050887","0.083937","false"
"3x3","uct-0500","late_objective_placements","100","7.200000","6.780000","7.600000","false"
"3x3","uct-0500","target_state_changed_rate","100","0.824141","0.791883","0.854847","false"
"3x3","uct-0500","local_lead_changed_rate","100","0.330635","0.297620","0.362293","false"
"3x3","uct-0500","contributes_to_securing_rate","100","0.409521","0.374857","0.445869","false"
"3x3","uct-0500","global_comparison_changed_rate","100","0.132202","0.102434","0.160975","false"
"3x3","uct-0500","global_outcome_still_mutable_rate","100","0.957329","0.936896","0.974531","false"
"3x3","uct-0500","region_outcome_fixed_before_rate","100","0.049097","0.033856","0.066933","false"
"3x3","uct-1000","late_objective_placements","100","6.540000","6.100000","7.010000","true"
"3x3","uct-1000","target_state_changed_rate","100","0.820741","0.787942","0.850362","true"
"3x3","uct-1000","local_lead_changed_rate","100","0.334298","0.300091","0.369682","true"
"3x3","uct-1000","contributes_to_securing_rate","100","0.415413","0.376835","0.454232","true"
"3x3","uct-1000","global_comparison_changed_rate","100","0.127135","0.094414","0.162758","true"
"3x3","uct-1000","global_outcome_still_mutable_rate","100","0.957786","0.939270","0.974611","true"
"3x3","uct-1000","region_outcome_fixed_before_rate","100","0.044552","0.028115","0.062786","true"
"4x4","seeded-random","late_objective_placements","100","7.650000","7.250000","8.050000","false"
"4x4","seeded-random","target_state_changed_rate","100","0.713091","0.679223","0.747893","false"
"4x4","seeded-random","local_lead_changed_rate","100","0.310123","0.274972","0.343489","false"
"4x4","seeded-random","contributes_to_securing_rate","100","0.132109","0.107654","0.157309","false"
"4x4","seeded-random","global_comparison_changed_rate","100","0.056036","0.037713","0.075373","false"
"4x4","seeded-random","global_outcome_still_mutable_rate","100","0.892521","0.865012","0.918494","false"
"4x4","seeded-random","region_outcome_fixed_before_rate","100","0.116758","0.095794","0.138244","false"
"4x4","uct-0100","late_objective_placements","100","10.450000","10.010000","10.920000","false"
"4x4","uct-0100","target_state_changed_rate","100","0.856134","0.837494","0.876011","false"
"4x4","uct-0100","local_lead_changed_rate","100","0.203867","0.181319","0.229517","false"
"4x4","uct-0100","contributes_to_securing_rate","100","0.479125","0.446122","0.511748","false"
"4x4","uct-0100","global_comparison_changed_rate","100","0.189775","0.163067","0.217170","false"
"4x4","uct-0100","global_outcome_still_mutable_rate","100","0.979141","0.968070","0.988880","false"
"4x4","uct-0100","region_outcome_fixed_before_rate","100","0.197411","0.170784","0.225751","false"
"4x4","uct-0500","late_objective_placements","100","10.280000","9.680000","10.850000","false"
"4x4","uct-0500","target_state_changed_rate","100","0.847965","0.826037","0.869904","false"
"4x4","uct-0500","local_lead_changed_rate","100","0.162377","0.137614","0.189753","false"
"4x4","uct-0500","contributes_to_securing_rate","100","0.401108","0.370658","0.430745","false"
"4x4","uct-0500","global_comparison_changed_rate","100","0.169133","0.145842","0.192658","false"
"4x4","uct-0500","global_outcome_still_mutable_rate","100","0.978527","0.961874","0.991877","false"
"4x4","uct-0500","region_outcome_fixed_before_rate","100","0.288928","0.249769","0.328611","false"
"4x4","uct-1000","late_objective_placements","100","9.640000","9.100000","10.160000","true"
"4x4","uct-1000","target_state_changed_rate","100","0.846268","0.814985","0.874583","true"
"4x4","uct-1000","local_lead_changed_rate","100","0.176810","0.153484","0.201884","true"
"4x4","uct-1000","contributes_to_securing_rate","100","0.380821","0.351790","0.408583","true"
"4x4","uct-1000","global_comparison_changed_rate","100","0.153856","0.128170","0.180208","true"
"4x4","uct-1000","global_outcome_still_mutable_rate","100","0.982349","0.968349","0.994286","true"
"4x4","uct-1000","region_outcome_fixed_before_rate","100","0.280603","0.242925","0.318277","true"
"6x6","seeded-random","late_objective_placements","100","17.090000","16.510000","17.690000","false"
"6x6","seeded-random","target_state_changed_rate","100","0.708889","0.689270","0.728830","false"
"6x6","seeded-random","local_lead_changed_rate","100","0.147186","0.126906","0.169322","false"
"6x6","seeded-random","contributes_to_securing_rate","100","0.178855","0.160394","0.198820","false"
"6x6","seeded-random","global_comparison_changed_rate","100","0.033994","0.022251","0.047572","false"
"6x6","seeded-random","global_outcome_still_mutable_rate","100","0.934664","0.919401","0.949535","false"
"6x6","seeded-random","region_outcome_fixed_before_rate","100","0.091022","0.076682","0.105168","false"
"6x6","uct-0100","late_objective_placements","50","21.100000","20.220000","21.900000","false"
"6x6","uct-0100","target_state_changed_rate","50","0.802814","0.778742","0.826405","false"
"6x6","uct-0100","local_lead_changed_rate","50","0.109329","0.083438","0.135722","false"
"6x6","uct-0100","contributes_to_securing_rate","50","0.414250","0.380655","0.445314","false"
"6x6","uct-0100","global_comparison_changed_rate","50","0.156305","0.134291","0.179350","false"
"6x6","uct-0100","global_outcome_still_mutable_rate","50","0.980855","0.961906","0.994789","false"
"6x6","uct-0100","region_outcome_fixed_before_rate","50","0.166688","0.142482","0.192916","false"
"6x6","uct-0500","late_objective_placements","50","24.980000","23.940000","26.040000","false"
"6x6","uct-0500","target_state_changed_rate","50","0.887019","0.866441","0.904908","false"
"6x6","uct-0500","local_lead_changed_rate","50","0.084135","0.063197","0.107483","false"
"6x6","uct-0500","contributes_to_securing_rate","50","0.506728","0.476353","0.538759","false"
"6x6","uct-0500","global_comparison_changed_rate","50","0.190933","0.169688","0.212377","false"
"6x6","uct-0500","global_outcome_still_mutable_rate","50","0.992062","0.984400","0.997771","false"
"6x6","uct-0500","region_outcome_fixed_before_rate","50","0.274601","0.238675","0.312652","false"
"6x6","uct-1000","late_objective_placements","50","24.980000","23.860000","26.060000","true"
