"board","search_level","turn_number","metric","games","value","ci_low","ci_high","primary"
"3x3","seeded-random","1","active_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","seeded-random","1","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","seeded-random","1","backlog","100","0.000000","0.000000","0.000000","false"
"3x3","seeded-random","1","decline_from_game_peak","100","6.110000","5.930000","6.290000","false"
"3x3","seeded-random","2","active_fronts","100","0.820000","0.700000","0.950000","false"
"3x3","seeded-random","2","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","seeded-random","2","backlog","100","0.000000","0.000000","0.000000","false"
"3x3","seeded-random","2","decline_from_game_peak","100","5.290000","5.080000","5.500000","false"
"3x3","seeded-random","3","active_fronts","100","1.340000","1.180000","1.500000","false"
"3x3","seeded-random","3","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","seeded-random","3","backlog","100","0.480000","0.360000","0.600000","false"
"3x3","seeded-random","3","decline_from_game_peak","100","4.770000","4.540000","5.000000","false"
"3x3","seeded-random","4","active_fronts","100","2.140000","1.950000","2.320000","false"
"3x3","seeded-random","4","dormant_fronts","100","0.290000","0.190000","0.400000","false"
"3x3","seeded-random","4","backlog","100","0.770000","0.610000","0.930000","false"
"3x3","seeded-random","4","decline_from_game_peak","100","3.970000","3.720000","4.220000","false"
"3x3","seeded-random","5","active_fronts","100","2.580000","2.370000","2.790000","false"
"3x3","seeded-random","5","dormant_fronts","100","0.410000","0.300000","0.530000","false"
"3x3","seeded-random","5","backlog","100","1.300000","1.130000","1.470000","false"
"3x3","seeded-random","5","decline_from_game_peak","100","3.530000","3.280000","3.790000","false"
"3x3","seeded-random","6","active_fronts","100","3.140000","2.930000","3.350000","false"
"3x3","seeded-random","6","dormant_fronts","100","0.710000","0.590000","0.840000","false"
"3x3","seeded-random","6","backlog","100","1.510000","1.330000","1.690000","false"
"3x3","seeded-random","6","decline_from_game_peak","100","2.970000","2.750000","3.230000","false"
"3x3","seeded-random","7","active_fronts","100","3.510000","3.270000","3.750000","false"
"3x3","seeded-random","7","dormant_fronts","100","0.900000","0.750000","1.050000","false"
"3x3","seeded-random","7","backlog","100","1.900000","1.700000","2.090000","false"
"3x3","seeded-random","7","decline_from_game_peak","100","2.600000","2.340000","2.860000","false"
"3x3","seeded-random","8","active_fronts","100","3.870000","3.630000","4.110000","false"
"3x3","seeded-random","8","dormant_fronts","100","1.050000","0.890000","1.220000","false"
"3x3","seeded-random","8","backlog","100","2.190000","1.980000","2.400000","false"
"3x3","seeded-random","8","decline_from_game_peak","100","2.240000","1.990000","2.490000","false"
"3x3","seeded-random","9","active_fronts","100","4.120000","3.860000","4.360000","false"
"3x3","seeded-random","9","dormant_fronts","100","1.150000","0.970000","1.340000","false"
"3x3","seeded-random","9","backlog","100","2.230000","2.000000","2.460000","false"
"3x3","seeded-random","9","decline_from_game_peak","100","1.990000","1.740000","2.250000","false"
"3x3","seeded-random","10","active_fronts","100","4.360000","4.120000","4.590000","false"
"3x3","seeded-random","10","dormant_fronts","100","1.120000","0.980000","1.260000","false"
"3x3","seeded-random","10","backlog","100","2.390000","2.200000","2.580000","false"
"3x3","seeded-random","10","decline_from_game_peak","100","1.750000","1.490000","2.020000","false"
"3x3","seeded-random","11","active_fronts","100","4.480000","4.270000","4.680000","false"
"3x3","seeded-random","11","dormant_fronts","100","1.310000","1.140000","1.490000","false"
"3x3","seeded-random","11","backlog","100","2.560000","2.370000","2.750000","false"
"3x3","seeded-random","11","decline_from_game_peak","100","1.630000","1.420000","1.850000","false"
"3x3","seeded-random","12","active_fronts","100","4.600000","4.370000","4.840000","false"
"3x3","seeded-random","12","dormant_fronts","100","1.350000","1.200000","1.520000","false"
"3x3","seeded-random","12","backlog","100","2.590000","2.350000","2.810000","false"
"3x3","seeded-random","12","decline_from_game_peak","100","1.510000","1.300000","1.730000","false"
"3x3","seeded-random","13","active_fronts","100","4.650000","4.420000","4.880000","false"
