"board","experiment_id","search_level","game_index","turn_number","progress","active_fronts","backlog_size","dormant_k2","dominant_focus"
"7x7","7x7-seeded-random","seeded-random","1","1","0.020833333333333332","0","0","0",""
"7x7","7x7-seeded-random","seeded-random","1","2","0.041666666666666664","1","0","0",""
"7x7","7x7-seeded-random","seeded-random","1","3","0.0625","3","1","0",""
"7x7","7x7-seeded-random","seeded-random","1","4","0.08333333333333333","3","2","0","LH"
"7x7","7x7-seeded-random","seeded-random","1","5","0.10416666666666667","4","2","1",""
"7x7","7x7-seeded-random","seeded-random","1","6","0.125","5","3","1",""
"7x7","7x7-seeded-random","seeded-random","1","7","0.14583333333333334","6","5","3","HH"
"7x7","7x7-seeded-random","seeded-random","1","8","0.16666666666666666","6","4","3",""
"7x7","7x7-seeded-random","seeded-random","1","9","0.1875","5","3","2",""
"7x7","7x7-seeded-random","seeded-random","1","10","0.20833333333333334","5","2","1",""
"7x7","7x7-seeded-random","seeded-random","1","11","0.22916666666666666","6","4","2",""
"7x7","7x7-seeded-random","seeded-random","1","12","0.25","6","4","2",""
"7x7","7x7-seeded-random","seeded-random","1","13","0.2708333333333333","6","3","2",""
"7x7","7x7-seeded-random","seeded-random","1","14","0.2916666666666667","5","2","0",""
"7x7","7x7-seeded-random","seeded-random","1","15","0.3125","5","3","1","MM"
"7x7","7x7-seeded-random","seeded-random","1","16","0.3333333333333333","5","2","2",""
"7x7","7x7-seeded-random","seeded-random","1","17","0.3541666666666667","7","5","2",""
"7x7","7x7-seeded-random","seeded-random","1","18","0.375","6","3","1",""
"7x7","7x7-seeded-random","seeded-random","1","19","0.3958333333333333","7","4","2",""
"7x7","7x7-seeded-random","seeded-random","1","20","0.4166666666666667","7","4","3",""
"7x7","7x7-seeded-random","seeded-random","1","21","0.4375","6","5","3","HH"
"7x7","7x7-seeded-random","seeded-random","1","22","0.4583333333333333","5","2","2",""
"7x7","7x7-seeded-random","seeded-random","1","23","0.4791666666666667","6","4","2","HM"
"7x7","7x7-seeded-random","seeded-random","1","24","0.5","5","2","2",""
"7x7","7x7-seeded-random","seeded-random","1","25","0.5208333333333334","5","3","1","HH"
"7x7","7x7-seeded-random","seeded-random","1","26","0.5416666666666666","6","4","2","HL"
"7x7","7x7-seeded-random","seeded-random","1","27","0.5625","7","5","3",""
"7x7","7x7-seeded-random","seeded-random","1","28","0.5833333333333334","6","3","2",""
"7x7","7x7-seeded-random","seeded-random","1","29","0.6041666666666666","5","2","1",""
"7x7","7x7-seeded-random","seeded-random","1","30","0.625","6","3","2",""
"7x7","7x7-seeded-random","seeded-random","1","31","0.6458333333333334","5","4","1","LL"
"7x7","7x7-seeded-random","seeded-random","1","32","0.6666666666666666","5","2","1",""
"7x7","7x7-seeded-random","seeded-random","1","33","0.6875","7","4","1",""
"7x7","7x7-seeded-random","seeded-random","1","34","0.7083333333333334","7","5","2","HL"
"7x7","7x7-seeded-random","seeded-random","1","35","0.7291666666666666","8","6","4","MH"
"7x7","7x7-seeded-random","seeded-random","1","36","0.75","7","4","2",""
"7x7","7x7-seeded-random","seeded-random","1","37","0.7708333333333334","7","5","2","MH"
"7x7","7x7-seeded-random","seeded-random","1","38","0.7916666666666666","8","5","3",""
"7x7","7x7-seeded-random","seeded-random","1","39","0.8125","7","4","3",""
"7x7","7x7-seeded-random","seeded-random","1","40","0.8333333333333334","7","4","2",""
"7x7","7x7-seeded-random","seeded-random","1","41","0.8541666666666666","6","4","2","LL"
"7x7","7x7-seeded-random","seeded-random","1","42","0.875","6","3","3",""
"7x7","7x7-seeded-random","seeded-random","1","43","0.8958333333333334","6","3","1",""
"7x7","7x7-seeded-random","seeded-random","1","44","0.9166666666666666","5","3","0","LL"
"7x7","7x7-seeded-random","seeded-random","1","45","0.9375","7","4","3",""
"7x7","7x7-seeded-random","seeded-random","1","46","0.9583333333333334","8","5","4",""
"7x7","7x7-seeded-random","seeded-random","1","47","0.9791666666666666","7","4","2",""
"7x7","7x7-seeded-random","seeded-random","1","48","1","8","5","3",""
"7x7","7x7-seeded-random","seeded-random","2","1","0.020833333333333332","0","0","0","HL"
"7x7","7x7-seeded-random","seeded-random","2","2","0.041666666666666664","0","0","0",""
"7x7","7x7-seeded-random","seeded-random","2","3","0.0625","0","0","0",""
"7x7","7x7-seeded-random","seeded-random","2","4","0.08333333333333333","1","0","0",""
"7x7","7x7-seeded-random","seeded-random","2","5","0.10416666666666667","1","0","0",""
"7x7","7x7-seeded-random","seeded-random","2","6","0.125","2","1","0",""
"7x7","7x7-seeded-random","seeded-random","2","7","0.14583333333333334","2","0","0",""
"7x7","7x7-seeded-random","seeded-random","2","8","0.16666666666666666","3","2","0",""
"7x7","7x7-seeded-random","seeded-random","2","9","0.1875","3","0","0",""
"7x7","7x7-seeded-random","seeded-random","2","10","0.20833333333333334","3","2","0","LH"
"7x7","7x7-seeded-random","seeded-random","2","11","0.22916666666666666","3","1","1","HL"
"7x7","7x7-seeded-random","seeded-random","2","12","0.25","3","2","1",""
"7x7","7x7-seeded-random","seeded-random","2","13","0.2708333333333333","2","1","0","HL"
"7x7","7x7-seeded-random","seeded-random","2","14","0.2916666666666667","4","2","1",""
"7x7","7x7-seeded-random","seeded-random","2","15","0.3125","6","3","1",""
"7x7","7x7-seeded-random","seeded-random","2","16","0.3333333333333333","5","3","1","LM"
"7x7","7x7-seeded-random","seeded-random","2","17","0.3541666666666667","6","4","2","HL"
"7x7","7x7-seeded-random","seeded-random","2","18","0.375","6","4","2",""
"7x7","7x7-seeded-random","seeded-random","2","19","0.3958333333333333","6","3","2",""
"7x7","7x7-seeded-random","seeded-random","2","20","0.4166666666666667","6","4","1","HH"
"7x7","7x7-seeded-random","seeded-random","2","21","0.4375","8","5","3",""
"7x7","7x7-seeded-random","seeded-random","2","22","0.4583333333333333","9","6","4",""
"7x7","7x7-seeded-random","seeded-random","2","23","0.4791666666666667","8","5","2",""
"7x7","7x7-seeded-random","seeded-random","2","24","0.5","7","4","2",""
"7x7","7x7-seeded-random","seeded-random","2","25","0.5208333333333334","7","4","3",""
"7x7","7x7-seeded-random","seeded-random","2","26","0.5416666666666666","7","4","3",""
"7x7","7x7-seeded-random","seeded-random","2","27","0.5625","7","4","1",""
"7x7","7x7-seeded-random","seeded-random","2","28","0.5833333333333334","7","4","2",""
"7x7","7x7-seeded-random","seeded-random","2","29","0.6041666666666666","7","4","1",""
"7x7","7x7-seeded-random","seeded-random","2","30","0.625","8","5","3",""
"7x7","7x7-seeded-random","seeded-random","2","31","0.6458333333333334","8","5","3",""
"7x7","7x7-seeded-random","seeded-random","2","32","0.6666666666666666","7","4","3",""
"7x7","7x7-seeded-random","seeded-random","2","33","0.6875","7","4","1",""
"7x7","7x7-seeded-random","seeded-random","2","34","0.7083333333333334","7","4","3",""
"7x7","7x7-seeded-random","seeded-random","2","35","0.7291666666666666","6","3","1",""
"7x7","7x7-seeded-random","seeded-random","2","36","0.75","6","4","1","HL"
"7x7","7x7-seeded-random","seeded-random","2","37","0.7708333333333334","6","4","3","LM"
"7x7","7x7-seeded-random","seeded-random","2","38","0.7916666666666666","7","4","3",""
"7x7","7x7-seeded-random","seeded-random","2","39","0.8125","7","4","1",""
"7x7","7x7-seeded-random","seeded-random","2","40","0.8333333333333334","7","4","2",""
"7x7","7x7-seeded-random","seeded-random","2","41","0.8541666666666666","8","5","3",""
"7x7","7x7-seeded-random","seeded-random","2","42","0.875","8","5","2",""
"7x7","7x7-seeded-random","seeded-random","2","43","0.8958333333333334","8","5","3",""
"7x7","7x7-seeded-random","seeded-random","2","44","0.9166666666666666","7","5","3","MM"
"7x7","7x7-seeded-random","seeded-random","2","45","0.9375","6","3","2",""
"7x7","7x7-seeded-random","seeded-random","2","46","0.9583333333333334","6","3","2",""
"7x7","7x7-seeded-random","seeded-random","2","47","0.9791666666666666","6","4","1","LM"
"7x7","7x7-seeded-random","seeded-random","2","48","1","5","3","1","HH"
"7x7","7x7-seeded-random","seeded-random","3","1","0.020833333333333332","0","0","0",""
"7x7","7x7-seeded-random","seeded-random","3","2","0.041666666666666664","0","0","0",""
"7x7","7x7-seeded-random","seeded-random","3","3","0.0625","1","0","0",""
"7x7","7x7-seeded-random","seeded-random","3","4","0.08333333333333333","4","1","0",""
"7x7","7x7-seeded-random","seeded-random","3","5","0.10416666666666667","4","2","0",""
"7x7","7x7-seeded-random","seeded-random","3","6","0.125","4","2","1","LM"
"7x7","7x7-seeded-random","seeded-random","3","7","0.14583333333333334","5","3","1",""
"7x7","7x7-seeded-random","seeded-random","3","8","0.16666666666666666","5","3","1","LH"
"7x7","7x7-seeded-random","seeded-random","3","9","0.1875","5","4","2",""
"7x7","7x7-seeded-random","seeded-random","3","10","0.20833333333333334","5","3","2",""
"7x7","7x7-seeded-random","seeded-random","3","11","0.22916666666666666","4","2","0",""
"7x7","7x7-seeded-random","seeded-random","3","12","0.25","5","4","2","MH"
"7x7","7x7-seeded-random","seeded-random","3","13","0.2708333333333333","5","3","3",""
"7x7","7x7-seeded-random","seeded-random","3","14","0.2916666666666667","4","2","0","LH"
"7x7","7x7-seeded-random","seeded-random","3","15","0.3125","5","3","2",""
"7x7","7x7-seeded-random","seeded-random","3","16","0.3333333333333333","6","3","2",""
"7x7","7x7-seeded-random","seeded-random","3","17","0.3541666666666667","5","3","2",""
"7x7","7x7-seeded-random","seeded-random","3","18","0.375","5","3","2","MH"
"7x7","7x7-seeded-random","seeded-random","3","19","0.3958333333333333","4","2","1",""
"7x7","7x7-seeded-random","seeded-random","3","20","0.4166666666666667","4","1","1",""
"7x7","7x7-seeded-random","seeded-random","3","21","0.4375","5","3","1",""
"7x7","7x7-seeded-random","seeded-random","3","22","0.4583333333333333","4","1","0",""
"7x7","7x7-seeded-random","seeded-random","3","23","0.4791666666666667","6","3","1",""
"7x7","7x7-seeded-random","seeded-random","3","24","0.5","6","4","2","LM"
"7x7","7x7-seeded-random","seeded-random","3","25","0.5208333333333334","6","3","3",""
"7x7","7x7-seeded-random","seeded-random","3","26","0.5416666666666666","6","3","2",""
"7x7","7x7-seeded-random","seeded-random","3","27","0.5625","4","1","0",""
"7x7","7x7-seeded-random","seeded-random","3","28","0.5833333333333334","5","2","0",""
