"board","experiment_id","search_level","game_index","threshold","turns","mean_dormant_active_fronts","dormant_ge2_turn_rate","mean_backlog_size","backlog_ge2_turn_rate","qualifying_departures","revisit_rate_observed","right_censored_rate","mean_revisit_lag","mean_normalized_revisit_lag","revisit_within_four_turns_rate"
"7x7","7x7-seeded-random","seeded-random","1","2","48","1.8125","0.6458333333333334","3.3958333333333335","0.9375","49","1","0.08163265306122448","4.4222222222222225","0.09212962962962962","0.6444444444444445"
"7x7","7x7-seeded-random","seeded-random","1","1","48","3.3958333333333335","0.9375","3.3958333333333335","0.9375","76","1","0.07894736842105263","3.2","0.06666666666666665","0.7714285714285715"
"7x7","7x7-seeded-random","seeded-random","1","3","48","0.7916666666666666","0.1875","3.3958333333333335","0.9375","38","1","0.05263157894736842","5.027777777777778","0.10474537037037038","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","2","2","48","1.5416666666666667","0.4791666666666667","3.125","0.7916666666666666","44","1","0.11363636363636363","4.102564102564102","0.0854700854700855","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","2","1","48","3.125","0.7916666666666666","3.125","0.7916666666666666","76","1","0.09210526315789473","2.753623188405797","0.05736714975845414","0.7971014492753623"
"7x7","7x7-seeded-random","seeded-random","2","3","48","0.625","0.14583333333333334","3.125","0.7916666666666666","30","1","0.13333333333333333","5.153846153846154","0.10737179487179488","0.5172413793103449"
"7x7","7x7-seeded-random","seeded-random","3","2","48","1.5416666666666667","0.5416666666666666","2.8125","0.8333333333333334","42","1","0.11904761904761904","4.5675675675675675","0.09515765765765764","0.6052631578947368"
"7x7","7x7-seeded-random","seeded-random","3","1","48","2.8125","0.8333333333333334","2.8125","0.8333333333333334","61","1","0.13114754098360656","3.490566037735849","0.07272012578616353","0.7169811320754716"
"7x7","7x7-seeded-random","seeded-random","3","3","48","0.6666666666666666","0.14583333333333334","2.8125","0.8333333333333334","32","1","0.15625","5.518518518518518","0.11496913580246915","0.4642857142857143"
"7x7","7x7-seeded-random","seeded-random","4","2","48","1.8125","0.5833333333333334","3.4583333333333335","0.8958333333333334","52","1","0.057692307692307696","4.081632653061225","0.08503401360544215","0.5918367346938775"
"7x7","7x7-seeded-random","seeded-random","4","1","48","3.4583333333333335","0.8958333333333334","3.4583333333333335","0.8958333333333334","79","1","0.0759493670886076","3.0684931506849313","0.06392694063926939","0.7142857142857143"
"7x7","7x7-seeded-random","seeded-random","4","3","48","0.7291666666666666","0.16666666666666666","3.4583333333333335","0.8958333333333334","35","1","0.02857142857142857","5","0.10416666666666667","0.4117647058823529"
"7x7","7x7-seeded-random","seeded-random","5","2","48","1.6458333333333333","0.5","3.0625","0.8333333333333334","47","1","0.0851063829787234","4.093023255813954","0.08527131782945735","0.6521739130434783"
"7x7","7x7-seeded-random","seeded-random","5","1","48","3.0625","0.8333333333333334","3.0625","0.8333333333333334","68","1","0.08823529411764706","3.1451612903225805","0.0655241935483871","0.7333333333333333"
"7x7","7x7-seeded-random","seeded-random","5","3","48","0.6666666666666666","0.125","3.0625","0.8333333333333334","32","1","0.125","5.214285714285714","0.10863095238095237","0.4838709677419355"
"7x7","7x7-seeded-random","seeded-random","6","2","48","1.7916666666666667","0.6041666666666666","3.3958333333333335","0.875","50","1","0.08","3.847826086956522","0.08016304347826086","0.673469387755102"
"7x7","7x7-seeded-random","seeded-random","6","1","48","3.3958333333333335","0.875","3.3958333333333335","0.875","77","1","0.07792207792207792","2.8450704225352115","0.05927230046948356","0.7681159420289855"
"7x7","7x7-seeded-random","seeded-random","6","3","48","0.75","0.1875","3.3958333333333335","0.875","36","1","0.08333333333333333","4.575757575757576","0.09532828282828283","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","7","2","48","1.4583333333333333","0.4791666666666667","2.875","0.9166666666666666","41","1","0.07317073170731707","4.815789473684211","0.10032894736842103","0.5128205128205128"
"7x7","7x7-seeded-random","seeded-random","7","1","48","2.875","0.9166666666666666","2.875","0.9166666666666666","68","1","0.08823529411764706","3.338709677419355","0.06955645161290328","0.6935483870967742"
"7x7","7x7-seeded-random","seeded-random","7","3","48","0.6041666666666666","0.10416666666666667","2.875","0.9166666666666666","29","1","0.034482758620689655","5.821428571428571","0.1212797619047619","0.3448275862068966"
"7x7","7x7-seeded-random","seeded-random","8","2","48","1.8125","0.6041666666666666","3.4375","0.8541666666666666","51","0.9777777777777777","0.11764705882352941","4.2727272727272725","0.0890151515151515","0.5957446808510638"
"7x7","7x7-seeded-random","seeded-random","8","1","48","3.4375","0.8541666666666666","3.4375","0.8541666666666666","78","0.9859154929577465","0.08974358974358974","3.057142857142857","0.0636904761904762","0.7361111111111112"
"7x7","7x7-seeded-random","seeded-random","8","3","48","0.75","0.16666666666666666","3.4375","0.8541666666666666","36","0.96875","0.1111111111111111","5.225806451612903","0.1088709677419355","0.4411764705882353"
"7x7","7x7-seeded-random","seeded-random","9","2","48","1.7291666666666667","0.5625","3.25","0.8541666666666666","47","1","0.06382978723404255","4.5","0.09375000000000001","0.6046511627906976"
"7x7","7x7-seeded-random","seeded-random","9","1","48","3.25","0.8541666666666666","3.25","0.8541666666666666","73","1","0.0821917808219178","3.298507462686567","0.06871890547263683","0.7384615384615385"
"7x7","7x7-seeded-random","seeded-random","9","3","48","0.75","0.1875","3.25","0.8541666666666666","36","1","0.027777777777777776","5.142857142857143","0.10714285714285715","0.5142857142857142"
"7x7","7x7-seeded-random","seeded-random","10","2","48","1.75","0.6458333333333334","3.3333333333333335","0.875","49","1","0.08163265306122448","4.511111111111111","0.09398148148148147","0.5217391304347826"
"7x7","7x7-seeded-random","seeded-random","10","1","48","3.3333333333333335","0.875","3.3333333333333335","0.875","76","1","0.07894736842105263","3.257142857142857","0.06785714285714284","0.6811594202898551"
"7x7","7x7-seeded-random","seeded-random","10","3","48","0.7291666666666666","0.16666666666666666","3.3333333333333335","0.875","35","1","0.08571428571428572","5.53125","0.11523437499999999","0.3333333333333333"
"7x7","7x7-seeded-random","seeded-random","11","2","48","1.75","0.5625","3.2291666666666665","0.8125","52","1","0.1346153846153846","3.488888888888889","0.07268518518518517","0.7446808510638298"
