"domain","scope","metric","games_6x6","games_7x7","mean_6x6","mean_7x7","difference_7x7_minus_6x6","ci_low","ci_high"
"placement","whole-game","supply_share","50","50","0.408611","0.417083","0.008472","-0.007083","0.024167"
"placement","whole-game","objective_share","50","50","0.591389","0.582917","-0.008472","-0.023889","0.006389"
"placement","whole-game","secured_supply","50","50","1.740000","1.060000","-0.680000","-1.080000","-0.280000"
"placement","whole-game","secured_objectives","50","50","23.440000","21.640000","-1.800000","-2.660000","-0.980000"
"placement","whole-game","secured_supply_later_use_rate","50","50","0.528333","0.361667","-0.166667","-0.343333","0.006667"
"placement","whole-game","mean_regions_used","50","50","2.595833","2.606667","0.010833","-0.019167","0.042917"
"spatial","mean-four-turn-window","normalized_entropy","50","50","0.784008","0.791208","0.007200","-0.002587","0.016278"
"spatial","mean-four-turn-window","largest_region_share","50","50","0.296111","0.292444","-0.003667","-0.011963","0.004630"
"spatial","mean-four-turn-window","hhi","50","50","0.202685","0.199562","-0.003123","-0.007846","0.001827"
"spatial","mean-four-turn-window","region_coverage","50","50","0.711408","0.721481","0.010074","-0.002124","0.022469"
"progress","0.25","supply_share","50","50","0.652778","0.686667","0.033889","0.006111","0.062222"
"progress","0.25","secured_supply","50","50","0.060000","0.060000","0.000000","-0.080000","0.100000"
"progress","0.25","secured_objectives","50","50","0.600000","0.660000","0.060000","-0.240000","0.360000"
"progress","0.25","recent_normalized_entropy","50","50","0.807728","0.797881","-0.009847","-0.044224","0.024872"
"progress","0.25","recent_largest_region_share","50","50","0.281667","0.286667","0.005000","-0.025000","0.035000"
"progress","0.25","recent_hhi","50","50","0.191945","0.197778","0.005833","-0.013889","0.025000"
"progress","0.25","recent_region_coverage","50","50","0.744445","0.733333","-0.011111","-0.053334","0.033333"
"progress","0.5","supply_share","50","50","0.521944","0.548611","0.026667","0.006111","0.046389"
"progress","0.5","secured_supply","50","50","0.300000","0.280000","-0.020000","-0.220000","0.180000"
"progress","0.5","secured_objectives","50","50","5.320000","5.200000","-0.120000","-0.860000","0.620000"
"progress","0.5","recent_normalized_entropy","50","50","0.788993","0.808736","0.019742","-0.009462","0.047929"
"progress","0.5","recent_largest_region_share","50","50","0.291667","0.291667","0.000000","-0.025000","0.025000"
"progress","0.5","recent_hhi","50","50","0.198889","0.192500","-0.006389","-0.019722","0.006944"
"progress","0.5","recent_region_coverage","50","50","0.717778","0.751111","0.033333","-0.011111","0.077777"
"progress","0.75","supply_share","50","50","0.442778","0.470926","0.028148","0.012222","0.044074"
"progress","0.75","secured_supply","50","50","0.880000","0.560000","-0.320000","-0.620000","-0.040000"
"progress","0.75","secured_objectives","50","50","15.880000","13.760000","-2.120000","-3.020000","-1.200000"
"progress","0.75","recent_normalized_entropy","50","50","0.761137","0.775990","0.014853","-0.020369","0.047232"
"progress","0.75","recent_largest_region_share","50","50","0.310000","0.305000","-0.005000","-0.035000","0.025000"
"progress","0.75","recent_hhi","50","50","0.212222","0.206667","-0.005556","-0.024167","0.015278"
"progress","0.75","recent_region_coverage","50","50","0.675556","0.697778","0.022222","-0.020000","0.066666"
"progress","0.9","supply_share","50","50","0.413485","0.427273","0.013788","-0.000909","0.029546"
"progress","0.9","secured_supply","50","50","1.400000","0.840000","-0.560000","-0.920000","-0.220000"
"progress","0.9","secured_objectives","50","50","21.500000","19.440000","-2.060000","-2.900000","-1.200000"
"progress","0.9","recent_normalized_entropy","50","50","0.752839","0.769620","0.016781","-0.022693","0.053136"
"progress","0.9","recent_largest_region_share","50","50","0.331667","0.318333","-0.013333","-0.046667","0.020000"
"progress","0.9","recent_hhi","50","50","0.222500","0.215833","-0.006667","-0.026944","0.013056"
"progress","0.9","recent_region_coverage","50","50","0.684445","0.706667","0.022222","-0.024445","0.071111"
"concurrent","window-4","mean_active_regions","50","50","4.810000","5.066250","0.256250","0.074583","0.435833"
"concurrent","window-4","multi_active_turn_rate","50","50","0.930417","0.932500","0.002083","-0.011250","0.016250"
"concurrent","window-4","longest_multi_active_run","50","50","44.420000","44.540000","0.120000","-0.680000","0.960000"
"concurrent","window-4","longest_multi_active_run_fraction","50","50","0.925417","0.927917","0.002500","-0.014583","0.019583"
"concurrent","window-4","mean_both_invested_regions","50","50","1.793750","1.813333","0.019583","-0.081667","0.122917"
"concurrent","window-4","multi_both_invested_turn_rate","50","50","0.592917","0.625000","0.032083","-0.012083","0.077917"
"concurrent","window-4","mixed_leadership_turn_rate","50","50","0.906250","0.893333","-0.012917","-0.026250","0.000417"
"concurrent","window-4","mean_opportunity_adjusted_activity","50","50","4.889570","5.122987","0.233417","0.035393","0.446235"
"dormant-revisit","k-2","mean_dormant_active_fronts","50","50","1.399583","1.491667","0.092083","0.011250","0.172500"
"dormant-revisit","k-2","dormant_ge2_turn_rate","50","50","0.442500","0.485417","0.042917","0.005417","0.080000"
"dormant-revisit","k-2","mean_backlog_size","50","50","2.769583","2.948333","0.178750","0.048333","0.318333"
"dormant-revisit","k-2","backlog_ge2_turn_rate","50","50","0.820417","0.840833","0.020417","-0.004167","0.047500"
"dormant-revisit","k-2","qualifying_departures","50","50","39.000000","41.520000","2.520000","0.300000","4.760000"
"dormant-revisit","k-2","revisit_rate_observed","50","50","0.990229","0.991124","0.000895","-0.005421","0.006898"
"dormant-revisit","k-2","right_censored_rate","50","50","0.114626","0.108293","-0.006334","-0.017165","0.003578"
"dormant-revisit","k-2","mean_revisit_lag","50","50","4.485258","4.561453","0.076195","-0.113597","0.276400"
"dormant-revisit","k-2","mean_normalized_revisit_lag","50","50","0.093443","0.095030","0.001587","-0.002279","0.005639"
"dormant-revisit","k-2","revisit_within_four_turns_rate","50","50","0.599729","0.598725","-0.001005","-0.030460","0.030095"
"focus-carryover","whole-game","unresolved_carryover_rate","50","50","0.830696","0.795356","-0.035340","-0.136920","0.054804"
"focus-carryover","whole-game","mean_carryover_duration","50","50","7.396444","7.649302","0.252857","-1.204167","1.712270"
"focus-carryover","whole-game","carryover_later_revisit_rate","50","50","0.843762","0.812032","-0.031730","-0.122841","0.064635"
"late-game","band-4","mean_active_fronts","50","50","5.685000","5.966667","0.281667","0.011667","0.560000"
"late-game","band-4","mean_dormant_fronts","50","50","1.756667","1.848333","0.091667","-0.051667","0.235000"
"late-game","band-4","mean_backlog","50","50","3.341667","3.565000","0.223333","0.006667","0.435000"
"late-game","band-4","multi_active_turn_rate","50","50","1.000000","1.000000","0.000000","0.000000","0.000000"
"late-game","band-4","multi_unattended_turn_rate","50","50","0.955000","0.975000","0.020000","-0.011667","0.055000"
"late-game","band-4","placement_entropy","50","50","0.901809","0.917100","0.015291","-0.001940","0.031955"
"late-game","band-4","opportunity_entropy","50","50","0.983432","0.994001","0.010569","0.009180","0.012047"
"late-game","band-4","entropy_gap","50","50","-0.081623","-0.076901","0.004722","-0.011798","0.021581"
"late-game","band-4","placement_hhi","50","50","0.155000","0.151327","-0.003673","-0.011944","0.004630"
"late-game","band-4","opportunity_hhi","50","50","0.119437","0.113973","-0.005464","-0.006174","-0.004706"
"late-game","band-4","hhi_gap","50","50","0.035563","0.037354","0.001791","-0.006203","0.009992"
"late-game","band-4","largest_share_gap","50","50","0.063051","0.096119","0.033068","0.014127","0.050775"
"late-front-outcome","turns4","final_band_survival_rate","50","50","0.945437","0.978889","0.033452","0.007381","0.058690"
"late-front-outcome","turns4","mechanically_closed_rate","50","50","0.000000","0.000000","0.000000","0.000000","0.000000"
"late-front-outcome","turns4","resolved_or_settled_rate","50","50","0.765952","0.618929","-0.147024","-0.203333","-0.091786"
"late-front-outcome","turns4","end_censored_rate","50","50","0.117698","0.172183","0.054484","0.009881","0.099683"
"late-front-outcome","turns4","selectively_abandoned_rate","50","50","0.116349","0.208889","0.092540","0.051587","0.132302"
"late-objective","band-4","late_objective_placements","50","50","24.980000","26.800000","1.820000","0.360000","3.280000"
"late-objective","band-4","target_state_changed_rate","50","50","0.889379","0.906419","0.017040","-0.006921","0.041534"
"late-objective","band-4","local_lead_changed_rate","50","50","0.086420","0.085067","-0.001353","-0.026433","0.023561"
"late-objective","band-4","contributes_to_securing_rate","50","50","0.424064","0.415718","-0.008346","-0.052575","0.035300"
"late-objective","band-4","global_comparison_changed_rate","50","50","0.174664","0.202680","0.028016","-0.007347","0.064776"
"late-objective","band-4","global_outcome_still_mutable_rate","50","50","0.996436","0.996139","-0.000297","-0.006852","0.005347"
"late-objective","band-4","region_outcome_fixed_before_rate","50","50","0.330240","0.225355","-0.104886","-0.157392","-0.051299"
