"domain","scope","board","search_level","metric","games","mean"
"placement","whole-game","3x3","seeded-random","supply_share","100","0.693333"
"placement","whole-game","3x3","seeded-random","mean_regions_used","100","2.645000"
"placement","whole-game","3x3","uct-0100","supply_share","100","0.560556"
"placement","whole-game","3x3","uct-0100","mean_regions_used","100","2.639444"
"placement","whole-game","3x3","uct-0500","supply_share","100","0.528704"
"placement","whole-game","3x3","uct-0500","mean_regions_used","100","2.575556"
"placement","whole-game","3x3","uct-1000","supply_share","100","0.542037"
"placement","whole-game","3x3","uct-1000","mean_regions_used","100","2.554444"
"placement","whole-game","4x4","seeded-random","supply_share","100","0.669028"
"placement","whole-game","4x4","seeded-random","mean_regions_used","100","2.705833"
"placement","whole-game","4x4","uct-0100","supply_share","100","0.544444"
"placement","whole-game","4x4","uct-0100","mean_regions_used","100","2.632083"
"placement","whole-game","4x4","uct-0500","supply_share","100","0.466389"
"placement","whole-game","4x4","uct-0500","mean_regions_used","100","2.612500"
"placement","whole-game","4x4","uct-1000","supply_share","100","0.455972"
"placement","whole-game","4x4","uct-1000","mean_regions_used","100","2.540833"
"placement","whole-game","6x6","seeded-random","supply_share","100","0.615208"
"placement","whole-game","6x6","seeded-random","mean_regions_used","100","2.674167"
"placement","whole-game","6x6","uct-0100","supply_share","50","0.557361"
"placement","whole-game","6x6","uct-0100","mean_regions_used","50","2.698333"
"placement","whole-game","6x6","uct-0500","supply_share","50","0.456111"
"placement","whole-game","6x6","uct-0500","mean_regions_used","50","2.609167"
"placement","whole-game","6x6","uct-1000","supply_share","50","0.408611"
"placement","whole-game","6x6","uct-1000","mean_regions_used","50","2.595833"
"placement","whole-game","7x7","seeded-random","supply_share","100","0.634306"
"placement","whole-game","7x7","seeded-random","mean_regions_used","100","2.693542"
"placement","whole-game","7x7","uct-0100","supply_share","50","0.563194"
"placement","whole-game","7x7","uct-0100","mean_regions_used","50","2.694583"
"placement","whole-game","7x7","uct-0500","supply_share","50","0.472222"
"placement","whole-game","7x7","uct-0500","mean_regions_used","50","2.631250"
"placement","whole-game","7x7","uct-1000","supply_share","50","0.417083"
"placement","whole-game","7x7","uct-1000","mean_regions_used","50","2.606667"
"spatial","mean-four-turn-window","3x3","seeded-random","normalized_entropy","100","0.800832"
"spatial","mean-four-turn-window","3x3","seeded-random","largest_region_share","100","0.289611"
"spatial","mean-four-turn-window","3x3","seeded-random","hhi","100","0.196083"
"spatial","mean-four-turn-window","3x3","seeded-random","region_coverage","100","0.736815"
"spatial","mean-four-turn-window","3x3","uct-0100","normalized_entropy","100","0.790252"
"spatial","mean-four-turn-window","3x3","uct-0100","largest_region_share","100","0.290722"
"spatial","mean-four-turn-window","3x3","uct-0100","hhi","100","0.199083"
"spatial","mean-four-turn-window","3x3","uct-0100","region_coverage","100","0.718000"
"spatial","mean-four-turn-window","3x3","uct-0500","normalized_entropy","100","0.760276"
