"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","1","S45","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","2","1","S42","supply","","ML"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","3","1","S34","supply","","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","1","2","S51","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","2","S15","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","3","2","S05","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","1","S05","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","2","1","S67","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","3","1","S56","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","1","2","S61","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","2","2","O50","objective","S51","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","3","2","S06","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","1","1","S60","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","2","1","S43","supply","","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","3","1","S14","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","1","2","S24","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","2","2","S17","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","3","2","S31","supply","","ML"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","1","1","S55","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","2","1","S11","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","3","1","S55","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","1","2","S55","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","2","2","S10","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","3","2","S71","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","1","1","S42","supply","","ML"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","2","1","O56","objective","S56","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","3","1","S65","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","1","2","S25","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","2","2","S77","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","3","2","O61","objective","S61","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","1","1","S51","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","2","1","S54","supply","","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","3","1","O56","objective","S67","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","1","2","S61","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","2","S41","supply","","ML"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","3","2","S54","supply","","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","1","O55","objective","S55","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","2","1","S34","supply","","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","3","1","S06","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","1","2","O04","objective","S15","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","2","S16","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","3","2","S17","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","1","1","S47","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","2","1","S16","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","3","1","S15","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","1","2","O13","objective","S24","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","2","2","S44","supply","","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","3","2","S07","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","1","1","O66","objective","S67","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","2","1","O44","objective","S45","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","3","1","O50","objective","S60","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","1","2","O25","objective","S25","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","2","2","O61","objective","S61","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","3","2","S67","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","1","1","S71","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","2","1","O33","objective","S34","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","3","1","S30","supply","","ML"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","1","2","S37","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","2","O16","objective","S17","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","3","2","S25","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","1","S24","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","2","1","O45","objective","S56","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","3","1","O32","objective","S42","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","1","2","O00","objective","S10","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","2","O14","objective","S25","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","3","2","S67","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","1","S35","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","2","1","O64","objective","S65","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","3","1","S21","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","1","2","O50","objective","S61","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","2","S10","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","3","2","S76","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","1","O14","objective","S14","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","2","1","S63","supply","","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","3","1","O10","objective","S11","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","1","2","S35","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","2","S21","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","3","2","S13","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","1","S64","supply","","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","2","1","S60","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","3","1","S75","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","1","2","O24","objective","S25","MM"
