"board","experiment_id","iteration_limit","game_index","turn_number","progress","mover","region","legal_target_count","total_legal_target_count","regional_opportunity_share"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","LL","9","64","0.140625"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","LM","6","64","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","LH","9","64","0.140625"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","ML","6","64","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","MM","4","64","0.062500"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","MH","6","64","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","HL","9","64","0.140625"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","HM","6","64","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","HH","9","64","0.140625"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","LL","9","64","0.140625"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","LM","6","64","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","LH","9","64","0.140625"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","ML","6","64","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","MM","4","64","0.062500"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","MH","6","64","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","HL","9","64","0.140625"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","HM","6","64","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","HH","9","64","0.140625"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","LL","9","75","0.120000"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","LM","6","75","0.080000"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","LH","9","75","0.120000"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","ML","8","75","0.106667"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","MM","11","75","0.146667"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","MH","8","75","0.106667"
