"board","experiment_id","search_level","game_index","switch_index","switch_turn","from_region","to_region","unresolved_carryover","carryover_duration","later_revisited","revisit_turn","revisit_lag"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","26","HH","HL","true","3","true","33","7"
"7x7-p72","7x7-seeded-random","seeded-random","1","2","35","HL","MH","true","13","true","38","3"
"7x7-p72","7x7-seeded-random","seeded-random","2","1","11","LH","HL","true","5","true","12","1"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","17","LM","HL","true","3","true","22","5"
"7x7-p72","7x7-seeded-random","seeded-random","2","3","37","HL","LM","true","12","true","38","1"
"7x7-p72","7x7-seeded-random","seeded-random","2","4","48","LM","HH","true","1","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","3","1","41","HL","HM","true","3","true","46","5"
"7x7-p72","7x7-seeded-random","seeded-random","4","1","5","LH","LL","true","7","true","8","3"
"7x7-p72","7x7-seeded-random","seeded-random","4","2","13","MM","LL","true","5","true","14","1"
"7x7-p72","7x7-seeded-random","seeded-random","4","3","32","LL","MH","true","15","true","34","2"
"7x7-p72","7x7-seeded-random","seeded-random","4","4","39","LH","LM","true","10","true","42","3"
"7x7-p72","7x7-seeded-random","seeded-random","4","5","40","LM","MM","true","3","true","45","5"
"7x7-p72","7x7-seeded-random","seeded-random","5","1","11","HM","LM","true","3","true","15","4"
"7x7-p72","7x7-seeded-random","seeded-random","5","2","14","LH","MM","false","0","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","5","3","36","LH","MH","true","4","true","43","7"
"7x7-p72","7x7-seeded-random","seeded-random","6","1","14","LH","ML","false","0","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","6","2","42","HL","MM","true","7","true","44","2"
"7x7-p72","7x7-seeded-random","seeded-random","6","3","44","MM","HM","true","3","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","6","4","45","HM","MH","true","4","true","46","1"
"7x7-p72","7x7-seeded-random","seeded-random","6","5","46","MH","HL","true","3","true","47","1"
"7x7-p72","7x7-seeded-random","seeded-random","7","1","18","MM","HM","true","8","true","21","3"
"7x7-p72","7x7-seeded-random","seeded-random","7","2","44","MM","HM","true","3","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","7","3","45","HM","MH","true","4","true","46","1"
"7x7-p72","7x7-seeded-random","seeded-random","8","1","48","HH","HL","true","1","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","9","1","11","MH","HL","true","3","true","18","7"
"7x7-p72","7x7-seeded-random","seeded-random","9","2","14","HM","HL","false","0","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","9","3","15","HL","HH","true","13","true","16","1"
"7x7-p72","7x7-seeded-random","seeded-random","9","4","24","LL","MH","true","20","true","27","3"
"7x7-p72","7x7-seeded-random","seeded-random","9","5","25","MH","MM","true","7","true","28","3"
"7x7-p72","7x7-seeded-random","seeded-random","9","6","26","MM","LH","true","3","true","30","4"
"7x7-p72","7x7-seeded-random","seeded-random","9","7","39","HH","MH","true","10","true","40","1"
"7x7-p72","7x7-seeded-random","seeded-random","10","1","5","LL","LH","true","12","true","8","3"
"7x7-p72","7x7-seeded-random","seeded-random","10","2","22","LH","ML","true","4","true","28","6"
"7x7-p72","7x7-seeded-random","seeded-random","10","3","31","MM","LL","true","11","true","32","1"
"7x7-p72","7x7-seeded-random","seeded-random","10","4","41","ML","MH","true","8","true","43","2"
"7x7-p72","7x7-seeded-random","seeded-random","11","1","9","LH","LL","false","0","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","11","2","43","LL","HL","true","6","true","45","2"
"7x7-p72","7x7-seeded-random","seeded-random","11","3","44","HL","MH","true","3","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","11","4","48","MM","ML","true","1","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","12","1","17","LM","ML","true","17","true","20","3"
"7x7-p72","7x7-seeded-random","seeded-random","12","2","18","ML","LL","true","8","true","19","1"
"7x7-p72","7x7-seeded-random","seeded-random","12","3","26","HL","HM","true","7","true","27","1"
"7x7-p72","7x7-seeded-random","seeded-random","12","4","27","HM","HL","true","3","true","38","11"
"7x7-p72","7x7-seeded-random","seeded-random","13","1","28","LL","HM","true","3","true","34","6"
"7x7-p72","7x7-seeded-random","seeded-random","14","1","12","HH","LL","true","14","true","14","2"
"7x7-p72","7x7-seeded-random","seeded-random","15","1","7","HH","LM","false","0","true","9","2"
"7x7-p72","7x7-seeded-random","seeded-random","15","2","21","LL","HH","true","3","true","28","7"
"7x7-p72","7x7-seeded-random","seeded-random","15","3","43","MH","LL","true","3","false","",""
"7x7-p72","7x7-seeded-random","seeded-random","16","1","2","HH","LL","false","0","true","6","4"
"7x7-p72","7x7-seeded-random","seeded-random","16","2","39","MM","LH","true","10","true","40","1"
"7x7-p72","7x7-seeded-random","seeded-random","16","3","40","LH","ML","true","9","true","41","1"
"7x7-p72","7x7-seeded-random","seeded-random","16","4","41","ML","LH","true","8","true","42","1"
"7x7-p72","7x7-seeded-random","seeded-random","17","1","3","HH","LM","false","0","true","5","2"
"7x7-p72","7x7-seeded-random","seeded-random","17","2","7","HH","HL","true","3","true","12","5"
"7x7-p72","7x7-seeded-random","seeded-random","17","3","16","HH","MH","true","5","true","17","1"
"7x7-p72","7x7-seeded-random","seeded-random","17","4","17","MH","HL","true","5","true","18","1"
"7x7-p72","7x7-seeded-random","seeded-random","17","5","40","HH","HL","true","3","true","44","4"
"7x7-p72","7x7-seeded-random","seeded-random","18","1","15","MM","LM","true","10","true","16","1"
"7x7-p72","7x7-seeded-random","seeded-random","19","1","2","LM","HL","true","7","true","3","1"
