"board","experiment_id","search_level","game_index","supply_share","objective_share","secured_supply","secured_objectives","secured_supply_per_placement","secured_objectives_per_placement","secured_objectives_per_available_objective","secured_supply_events","secured_supply_later_use_rate","mean_regions_used"
"7x7-p72","7x7-seeded-random","seeded-random","1","0.6041666666666666","0.3958333333333333","3","3","0.020833333333333332","0.020833333333333332","0.061224489795918366","3","0.6666666666666666","2.7083333333333335"
"7x7-p72","7x7-seeded-random","seeded-random","2","0.6388888888888888","0.3611111111111111","7","3","0.04861111111111111","0.020833333333333332","0.061224489795918366","7","0.2857142857142857","2.75"
"7x7-p72","7x7-seeded-random","seeded-random","3","0.6944444444444444","0.3055555555555556","3","2","0.020833333333333332","0.013888888888888888","0.04081632653061224","3","0","2.7291666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","4","0.6527777777777778","0.3472222222222222","5","2","0.034722222222222224","0.013888888888888888","0.04081632653061224","5","0.4","2.625"
"7x7-p72","7x7-seeded-random","seeded-random","5","0.5486111111111112","0.4513888888888889","4","7","0.027777777777777776","0.04861111111111111","0.14285714285714285","4","0.25","2.6666666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","6","0.5347222222222222","0.4652777777777778","3","3","0.020833333333333332","0.020833333333333332","0.061224489795918366","3","0.6666666666666666","2.75"
"7x7-p72","7x7-seeded-random","seeded-random","7","0.6388888888888888","0.3611111111111111","8","4","0.05555555555555555","0.027777777777777776","0.08163265306122448","8","0.5","2.6875"
"7x7-p72","7x7-seeded-random","seeded-random","8","0.6944444444444444","0.3055555555555556","6","3","0.041666666666666664","0.020833333333333332","0.061224489795918366","6","0.5","2.75"
"7x7-p72","7x7-seeded-random","seeded-random","9","0.5972222222222222","0.4027777777777778","4","7","0.027777777777777776","0.04861111111111111","0.14285714285714285","4","0.75","2.5833333333333335"
"7x7-p72","7x7-seeded-random","seeded-random","10","0.6597222222222222","0.3402777777777778","7","2","0.04861111111111111","0.013888888888888888","0.04081632653061224","7","0.2857142857142857","2.6875"
"7x7-p72","7x7-seeded-random","seeded-random","11","0.6388888888888888","0.3611111111111111","5","4","0.034722222222222224","0.027777777777777776","0.08163265306122448","5","0.2","2.75"
"7x7-p72","7x7-seeded-random","seeded-random","12","0.6388888888888888","0.3611111111111111","3","3","0.020833333333333332","0.020833333333333332","0.061224489795918366","3","0.6666666666666666","2.6875"
"7x7-p72","7x7-seeded-random","seeded-random","13","0.6388888888888888","0.3611111111111111","6","4","0.041666666666666664","0.027777777777777776","0.08163265306122448","6","0.3333333333333333","2.7291666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","14","0.5833333333333334","0.4166666666666667","4","3","0.027777777777777776","0.020833333333333332","0.061224489795918366","4","0.25","2.8541666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","15","0.625","0.375","2","3","0.013888888888888888","0.020833333333333332","0.061224489795918366","2","0","2.7083333333333335"
"7x7-p72","7x7-seeded-random","seeded-random","16","0.5763888888888888","0.4236111111111111","3","5","0.020833333333333332","0.034722222222222224","0.10204081632653061","3","0.3333333333333333","2.6666666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","17","0.6319444444444444","0.3680555555555556","4","4","0.027777777777777776","0.027777777777777776","0.08163265306122448","4","0.5","2.7083333333333335"
"7x7-p72","7x7-seeded-random","seeded-random","18","0.5972222222222222","0.4027777777777778","5","6","0.034722222222222224","0.041666666666666664","0.12244897959183673","5","0.4","2.8333333333333335"
"7x7-p72","7x7-seeded-random","seeded-random","19","0.6111111111111112","0.3888888888888889","4","2","0.027777777777777776","0.013888888888888888","0.04081632653061224","4","0.25","2.6875"
"7x7-p72","7x7-seeded-random","seeded-random","20","0.6875","0.3125","5","2","0.034722222222222224","0.013888888888888888","0.04081632653061224","5","0.6","2.6458333333333335"
"7x7-p72","7x7-seeded-random","seeded-random","21","0.5902777777777778","0.4097222222222222","7","4","0.04861111111111111","0.027777777777777776","0.08163265306122448","7","0.2857142857142857","2.5625"
"7x7-p72","7x7-seeded-random","seeded-random","22","0.6388888888888888","0.3611111111111111","6","3","0.041666666666666664","0.020833333333333332","0.061224489795918366","6","0.5","2.7916666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","23","0.6180555555555556","0.3819444444444444","1","3","0.006944444444444444","0.020833333333333332","0.061224489795918366","1","0","2.6666666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","24","0.6805555555555556","0.3194444444444444","5","4","0.034722222222222224","0.027777777777777776","0.08163265306122448","5","0.2","2.625"
"7x7-p72","7x7-seeded-random","seeded-random","25","0.6527777777777778","0.3472222222222222","3","5","0.020833333333333332","0.034722222222222224","0.10204081632653061","3","0.6666666666666666","2.7291666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","26","0.6458333333333334","0.3541666666666667","4","4","0.027777777777777776","0.027777777777777776","0.08163265306122448","4","0.25","2.6458333333333335"
"7x7-p72","7x7-seeded-random","seeded-random","27","0.5902777777777778","0.4097222222222222","5","6","0.034722222222222224","0.041666666666666664","0.12244897959183673","5","0.4","2.75"
"7x7-p72","7x7-seeded-random","seeded-random","28","0.6527777777777778","0.3472222222222222","4","1","0.027777777777777776","0.006944444444444444","0.02040816326530612","4","0.75","2.6041666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","29","0.6388888888888888","0.3611111111111111","5","0","0.034722222222222224","0","0","5","0.6","2.6666666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","30","0.6319444444444444","0.3680555555555556","4","1","0.027777777777777776","0.006944444444444444","0.02040816326530612","4","0","2.6666666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","31","0.625","0.375","2","4","0.013888888888888888","0.027777777777777776","0.08163265306122448","2","0","2.7708333333333335"
"7x7-p72","7x7-seeded-random","seeded-random","32","0.6875","0.3125","8","1","0.05555555555555555","0.006944444444444444","0.02040816326530612","8","0.25","2.4791666666666665"
"7x7-p72","7x7-seeded-random","seeded-random","33","0.6666666666666666","0.3333333333333333","5","2","0.034722222222222224","0.013888888888888888","0.04081632653061224","5","0.4","2.6875"
"7x7-p72","7x7-seeded-random","seeded-random","34","0.6388888888888888","0.3611111111111111","4","4","0.027777777777777776","0.027777777777777776","0.08163265306122448","4","0.25","2.5625"
"7x7-p72","7x7-seeded-random","seeded-random","35","0.6041666666666666","0.3958333333333333","3","4","0.020833333333333332","0.027777777777777776","0.08163265306122448","3","0.3333333333333333","2.7708333333333335"
