"contrast_id","minuend_budget","subtrahend_budget","domain","scope","metric","games_minuend","games_subtrahend","mean_minuend","mean_subtrahend","difference_minuend_minus_subtrahend","ci_low","ci_high"
"84-minus-72","84","72","placement","whole-game","supply_share","50","50","0.427738","0.417083","0.010655","-0.003849","0.025417"
"84-minus-72","84","72","placement","whole-game","objective_share","50","50","0.572262","0.582917","-0.010655","-0.025635","0.003631"
"84-minus-72","84","72","placement","whole-game","secured_supply","50","50","2.140000","1.060000","1.080000","0.620000","1.600000"
"84-minus-72","84","72","placement","whole-game","secured_objectives","50","50","25.680000","21.640000","4.040000","3.180000","4.860000"
"84-minus-72","84","72","placement","whole-game","secured_supply_per_placement","50","50","0.012738","0.007361","0.005377","0.002262","0.008631"
"84-minus-72","84","72","placement","whole-game","secured_objectives_per_placement","50","50","0.152857","0.150278","0.002579","-0.002698","0.007619"
"84-minus-72","84","72","placement","whole-game","secured_objectives_per_available_objective","50","50","0.524082","0.441633","0.082449","0.064490","0.099592"
"84-minus-72","84","72","placement","whole-game","secured_supply_later_use_rate","50","50","0.517500","0.361667","0.155833","-0.019167","0.310000"
"84-minus-72","84","72","placement","whole-game","mean_regions_used","50","50","2.598571","2.606667","-0.008095","-0.042143","0.028036"
"96-minus-72","96","72","placement","whole-game","supply_share","50","50","0.429792","0.417083","0.012708","-0.002292","0.026944"
"96-minus-72","96","72","placement","whole-game","objective_share","50","50","0.570208","0.582917","-0.012708","-0.027708","0.002431"
"96-minus-72","96","72","placement","whole-game","secured_supply","50","50","2.860000","1.060000","1.800000","1.340000","2.280000"
"96-minus-72","96","72","placement","whole-game","secured_objectives","50","50","30.000000","21.640000","8.360000","7.500000","9.240000"
"96-minus-72","96","72","placement","whole-game","secured_supply_per_placement","50","50","0.014896","0.007361","0.007535","0.005035","0.010278"
"96-minus-72","96","72","placement","whole-game","secured_objectives_per_placement","50","50","0.156250","0.150278","0.005972","0.000347","0.011319"
"96-minus-72","96","72","placement","whole-game","secured_objectives_per_available_objective","50","50","0.612245","0.441633","0.170612","0.152245","0.189388"
"96-minus-72","96","72","placement","whole-game","secured_supply_later_use_rate","50","50","0.585238","0.361667","0.223571","0.070048","0.368048"
"96-minus-72","96","72","placement","whole-game","mean_regions_used","50","50","2.596875","2.606667","-0.009792","-0.041563","0.019687"
"96-minus-84","96","84","placement","whole-game","supply_share","50","50","0.429792","0.427738","0.002054","-0.011756","0.016577"
"96-minus-84","96","84","placement","whole-game","objective_share","50","50","0.570208","0.572262","-0.002054","-0.015923","0.011548"
"96-minus-84","96","84","placement","whole-game","secured_supply","50","50","2.860000","2.140000","0.720000","0.100000","1.340000"
"96-minus-84","96","84","placement","whole-game","secured_objectives","50","50","30.000000","25.680000","4.320000","3.420000","5.260000"
"96-minus-84","96","84","placement","whole-game","secured_supply_per_placement","50","50","0.014896","0.012738","0.002158","-0.001220","0.005491"
"96-minus-84","96","84","placement","whole-game","secured_objectives_per_placement","50","50","0.156250","0.152857","0.003393","-0.001696","0.008378"
"96-minus-84","96","84","placement","whole-game","secured_objectives_per_available_objective","50","50","0.612245","0.524082","0.088163","0.069388","0.106939"
"96-minus-84","96","84","placement","whole-game","secured_supply_later_use_rate","50","50","0.585238","0.517500","0.067738","-0.083833","0.216000"
"96-minus-84","96","84","placement","whole-game","mean_regions_used","50","50","2.596875","2.598571","-0.001696","-0.033080","0.030937"
"84-minus-72","84","72","spatial","mean-four-turn-window","normalized_entropy","50","50","0.787979","0.791208","-0.003229","-0.011191","0.005036"
"84-minus-72","84","72","spatial","mean-four-turn-window","largest_region_share","50","50","0.293805","0.292444","0.001361","-0.006203","0.008834"
"84-minus-72","84","72","spatial","mean-four-turn-window","hhi","50","50","0.200739","0.199562","0.001177","-0.003326","0.005630"
"84-minus-72","84","72","spatial","mean-four-turn-window","region_coverage","50","50","0.716310","0.721481","-0.005171","-0.015221","0.005245"
"96-minus-72","96","72","spatial","mean-four-turn-window","normalized_entropy","50","50","0.796589","0.791208","0.005381","-0.003359","0.014394"
"96-minus-72","96","72","spatial","mean-four-turn-window","largest_region_share","50","50","0.286967","0.292444","-0.005477","-0.013131","0.001913"
"96-minus-72","96","72","spatial","mean-four-turn-window","hhi","50","50","0.196339","0.199562","-0.003223","-0.007840","0.001536"
"96-minus-72","96","72","spatial","mean-four-turn-window","region_coverage","50","50","0.727359","0.721481","0.005877","-0.006338","0.018266"
