"source_issue","board","piece_budget","experiment_id","search_level","iteration_limit","game_index","seed","trial_file","trial_sha256","canonical_trial_sha256","source_manifest_trial_sha256","source_manifest_hash_match"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","1","730000","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0001.trl","a0eb11c1233c0d996c7b346cec4e1403adec7cac85531142daaea416cde472e2","147297e4d130c51316fe78705fb30d77fa6a525d54617944b8da27a313c3d967","fa6d969f1e570e6b5b020e8f6c5da03704cdc26e0689b811087760f6771a1aae","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","2","730001","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0002.trl","6cab6527c3755665bd70824cd630635d4011befe53ad69db49a35fa25a08d328","d2d6b397b23d62e4635aef688c516fcdffd4fa26867acac88e5814b37c716d83","212fb0f9334a589b31366b42cf7b46499b6ac5bb53437de1671c14af4ebf89ec","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","3","730002","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0003.trl","b2062d411aba7a12bdace2ab70b422e54506d8a280d27263a2978416aa92204b","ecde915ac04186f87e5cce238023c684e74abbe999f7722744eaf7a706eec15e","d6bb54f1a8e693ff25625f8a4dbee2742ecf8cddc6a5b1160074f47e55fbb368","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","4","730003","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0004.trl","467533f8e458b4cab56da6904ec4bd2407d4bc3c6d24c23199a84e1b43d3c2eb","0fec0713565d754d61a4091ea3b57bf80a1e94ef1c52034986f940fe58b39b58","512c4c1c68524e43e3b9c1117ee460ef280b252b795a66b6f0d3d3637d3f22fa","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","5","730004","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0005.trl","ee4306eacaef868df0351a08e57415dfd7b92b6b9ca80bc9c4d9e7118e9cd61b","cb5d13f07a0926d75524f27c63f7cbd588ff1bc6336170d7d47232372fb50928","4c0bd3646a36c5f7ee554320b07bf90794400f8bd671798636701564f8ad7695","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","6","730005","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0006.trl","88b43e8bc0155507fc222407e75573acd9ed831a08d75c5729509e953b9a51e3","23de84bb53e1dcc05bea8193af9eefe423155e59ddfbae685851ab16a98505d8","82851153e318d70248919d6985ba80ceeda2da90bd10b99e54a781dcc0d56175","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","7","730006","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0007.trl","fc12478e016b1b21e1148706776826b5d9621e926730fdb5a724f24e50edfaae","0a1782653137fd23869268ccfc1f119c384cb996d0a4186953f44a24432cf1fc","4fe7930369a46ad83feabfe16ad642e1b06a76fd95e2e62dcdbf0159931a9e9d","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","8","730007","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0008.trl","b434ada703b4a4e33b0484b4e63feafb39dd8bc08652a70d287785bb49c63798","bb1cd5617757de644cc2567ac5d7091da4ce5c03e04603cfea20f4995b52bf8e","508ff8661b0dd561ce8a3fb62a7a04f04bd9df7bb5c2f168aaec9b33b44a356e","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","9","730008","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0009.trl","71390c7134597fc0c3e483e248214420ac00408fdd940dacceb7a488ab7faa51","17afca34f4f18ae944635ec6e4b589960fe5ce795a01022cec945842c4b4a7d2","8f8c2855d769542c5b83d53f459b7c78c249d7d9dc5fecb8f52191366b0e9fd9","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","10","730009","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0010.trl","16e0aa6c6c60894febebd3171d6d892fd710165236cbe94d2cd9a85dd3abd06f","a1580d682a99e2d8209b602acf5aabe710c9ad7067424a83fd00e9bd1d258854","99fb826b341802d9b5b2a8555d54b6692d54ce7fc874ce2d6a6672cb154a1c12","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","11","730010","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0011.trl","8f023afb576ff252de8e0f9b17836a186bfa01aa48725f059a427b4de7b6af14","807545c5bac3aa55b0f24bb3c382c61c2b5b5f57fe407b45159edf5426406563","7dd14e68633108a885f35123eb7951ef272f10c2b9f70bff5d3f5d5ec93c6b60","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","12","730011","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0012.trl","4bd771044994abb56dfd6e0e944a54b83b267db87c5b15fd12f70abf5ff9f9c7","7e75a32cd51c09dfd4f51080e6ebb7814f75f29c0c599f6d89de46f616309cc3","1208fda2fae187b06cfa03b1009b79389124cde56a48bf8370727771a7bea171","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","13","730012","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0013.trl","e3ab631447156d9e995c62b6d353c39dd4da67f270d919b920992129d21da2a4","ea7e0b8e88b57297920e251ff867c4c3a1ec37dc0540fbbb9b3ab5920c527654","d020fc73daf8976d38ad0c8f7fb784ac7cd28c2a4cb1420b91c6c21ace064155","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","14","730013","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0014.trl","56a6156b6d18017f1f09b5c5de73c65a2166e5edbf61565011101f3b7d83e805","bf3a2d43d5ab02e43e1f1949749d47cb9b751ee5bd0f65e508aff2759a2ef6a1","24aa6d86e57305c42120ba48c0e615c16d2de6350fedabd90e541f9007376019","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","15","730014","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0015.trl","a36ecdf3a3a13ce9bdb9c18ae3ee6db42f653a7bc7b1c9900486ec605b5e0662","dd726b98cba95ed8bf50338ef70ce01b8b5c021fd267e8c11c77ca69f001f8db","66566f75d1a61f06d68a9bd6d885e905a0414dea39bcefe85cc2c2f738525a6e","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","16","730015","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0016.trl","ce437b97405eff2f5dc3fd774605fdee8c4063dc88bd0d9afff30c87831be5ea","3f8761f5a85ec334a5e719357879ed3df598ee3a0efc1b6ab5e4138c3a15fc44","b0babe0a2d74107cbbfbd6ad740431ce30fb719fa7db9b639b081d55d319f47b","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","17","730016","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0017.trl","19a8312fee1e6c6b0cb5d515e525ba2edff06ebdf26b4a37a05dfde9395473fa","4edd8c85c3955fa5250e7588ebf69b00b2c4542ece20de7a89de8d8947bb7feb","17f0f5a7cf37eadf879a30d6baf0bf7a676bf61191219403aa5343e473d8add7","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","18","730017","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0018.trl","a3a32384b8d3053c88693cf4af1b8f42b9048fcfb8083ff275cce415f9e38d72","fe21a8b6c9a5feafc7249745a6f62f760681778e45656e6042555eb30b785988","7b4737488ddb3bac3d9b14cc9077a757113e4cb597e3e0fd04f235227ca9c02b","false"
