"board","experiment_id","search_level","game_index","turn_number","progress","mover","allocation_pattern","regions_used","supply_placements","objective_placements"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","0.020833","1","1+1+1","3","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","2","0.041667","2","1+1+1","3","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","0.062500","1","1+1+1","3","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","4","0.083333","2","2+1","2","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","5","0.104167","1","1+1+1","3","2","1"
"7x7-p72","7x7-seeded-random","seeded-random","1","6","0.125000","2","1+1+1","3","1","2"
"7x7-p72","7x7-seeded-random","seeded-random","1","7","0.145833","1","2+1","2","2","1"
"7x7-p72","7x7-seeded-random","seeded-random","1","8","0.166667","2","1+1+1","3","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","9","0.187500","1","1+1+1","3","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","10","0.208333","2","1+1+1","3","2","1"
"7x7-p72","7x7-seeded-random","seeded-random","1","11","0.229167","1","1+1+1","3","1","2"
"7x7-p72","7x7-seeded-random","seeded-random","1","12","0.250000","2","1+1+1","3","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","13","0.270833","1","1+1+1","3","2","1"
"7x7-p72","7x7-seeded-random","seeded-random","1","14","0.291667","2","1+1+1","3","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","15","0.312500","1","2+1","2","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","16","0.333333","2","1+1+1","3","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","17","0.354167","1","1+1+1","3","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","18","0.375000","2","1+1+1","3","1","2"
"7x7-p72","7x7-seeded-random","seeded-random","1","19","0.395833","1","1+1+1","3","2","1"
"7x7-p72","7x7-seeded-random","seeded-random","1","20","0.416667","2","1+1+1","3","1","2"
"7x7-p72","7x7-seeded-random","seeded-random","1","21","0.437500","1","3","1","1","2"
"7x7-p72","7x7-seeded-random","seeded-random","1","22","0.458333","2","1+1+1","3","3","0"
"7x7-p72","7x7-seeded-random","seeded-random","1","23","0.479167","1","2+1","2","2","1"
"7x7-p72","7x7-seeded-random","seeded-random","1","24","0.500000","2","1+1+1","3","1","2"
"7x7-p72","7x7-seeded-random","seeded-random","1","25","0.520833","1","2+1","2","1","2"
"7x7-p72","7x7-seeded-random","seeded-random","1","26","0.541667","2","2+1","2","1","2"
