iteration_limit,game_index,seed,winner,deciding_criterion,secured_objective_difference_p1_minus_p2,advantage_objective_difference_p1_minus_p2,objective_piece_difference_p1_minus_p2,first_persistent_full_lexicographic_lead_turn
10000,1,831000000,1,Secured,1,0,2,3
10000,2,831000001,1,Secured,1,0,2,13
10000,3,831000002,2,Advantage,0,-2,-1,18
10000,4,831000003,1,Secured,1,1,3,15
10000,5,831000004,1,Secured,1,0,2,3
10000,6,831000005,1,Secured,1,0,2,3
10000,7,831000006,2,Secured,-1,2,0,18
10000,8,831000007,1,Secured,1,0,2,17
10000,9,831000008,1,Advantage,0,2,3,3
10000,10,831000009,1,Secured,1,0,4,3
10000,11,831000010,2,Secured,-1,1,0,18
10000,12,831000011,1,Secured,1,0,2,3
10000,13,831000012,1,Secured,1,0,2,3
10000,14,831000013,1,Secured,2,-2,2,3
10000,15,831000014,1,Advantage,0,1,0,9
10000,16,831000015,1,Secured,1,0,3,11
10000,17,831000016,1,Secured,1,0,2,15
10000,18,831000017,1,Secured,1,0,2,7
10000,19,831000018,2,Secured,-1,2,-1,18
10000,20,831000019,1,Advantage,0,1,3,17
10000,21,831000020,2,Secured,-1,1,0,18
10000,22,831000021,2,Secured,-1,2,-2,18
10000,23,831000022,1,Secured,2,-2,3,5
10000,24,831000023,2,Advantage,0,-2,-1,16
10000,25,831000024,1,Secured,1,1,3,3
10000,26,831000025,2,Advantage,0,-1,-1,18
10000,27,831000026,1,Advantage,0,1,1,13
10000,28,831000027,1,Advantage,0,2,3,3
10000,29,831000028,2,Advantage,0,-1,0,18
10000,30,831000029,1,Advantage,0,2,2,5
10000,31,831000030,1,Secured,1,-1,2,3
10000,32,831000031,2,Advantage,0,-1,-1,18
10000,33,831000032,1,Advantage,0,1,1,3
10000,34,831000033,2,Secured,-1,0,0,14
10000,35,831000034,1,Advantage,0,2,0,3
10000,36,831000035,1,Secured,1,1,1,9
10000,37,831000036,1,Advantage,0,1,2,13
10000,38,831000037,2,Advantage,0,-2,-2,14
10000,39,831000038,1,Secured,1,0,2,15
10000,40,831000039,1,Secured,1,0,3,15
10000,41,831000040,1,Advantage,0,1,0,3
10000,42,831000041,1,Secured,1,0,2,3
10000,43,831000042,2,Advantage,0,-1,-1,16
10000,44,831000043,1,Advantage,0,1,1,3
10000,45,831000044,1,Secured,2,-3,2,17
10000,46,831000045,2,Advantage,0,-1,1,18
10000,47,831000046,1,Advantage,0,1,2,17
10000,48,831000047,2,Secured,-1,1,-2,18
10000,49,831000048,1,Secured,2,-1,1,3
10000,50,831000049,1,Secured,1,0,2,3
10000,51,831000050,1,Secured,1,0,4,13
10000,52,831000051,1,Secured,1,0,2,13
10000,53,831000052,1,Secured,1,-1,0,15
10000,54,831000053,1,Secured,1,0,2,15
10000,55,831000054,2,Secured,-1,2,0,18
10000,56,831000055,1,Advantage,0,1,1,3
10000,57,831000056,2,Advantage,0,-1,-1,18
10000,58,831000057,1,Secured,1,0,2,13
10000,59,831000058,1,Secured,1,0,2,15
10000,60,831000059,2,Secured,-1,1,-1,18
10000,61,831000060,1,Advantage,0,2,3,15
10000,62,831000061,2,Secured,-1,1,0,18
10000,63,831000062,1,Advantage,0,1,1,13
10000,64,831000063,1,Advantage,0,1,3,11
10000,65,831000064,1,Secured,1,0,3,15
10000,66,831000065,2,Advantage,0,-1,-1,18
10000,67,831000066,1,Secured,1,0,2,17
10000,68,831000067,1,Secured,1,0,1,15
10000,69,831000068,1,Secured,2,-1,2,11
10000,70,831000069,1,Secured,1,0,2,3
10000,71,831000070,1,Advantage,0,1,3,17
10000,72,831000071,1,Secured,1,0,3,15
10000,73,831000072,1,Advantage,0,1,2,3
10000,74,831000073,1,Secured,1,0,3,15
10000,75,831000074,1,Secured,1,-2,0,3
10000,76,831000075,1,Advantage,0,1,1,9
10000,77,831000076,1,Secured,1,-2,1,3
10000,78,831000077,2,Advantage,0,-1,-1,18
10000,79,831000078,1,Secured,1,-2,1,3
10000,80,831000079,2,Advantage,0,-1,-1,18
10000,81,831000080,1,Advantage,0,2,3,15
10000,82,831000081,2,Secured,-1,2,2,16
10000,83,831000082,1,Secured,1,0,3,15
10000,84,831000083,1,Secured,1,-1,1,17
10000,85,831000084,1,Secured,1,0,3,15
10000,86,831000085,1,Secured,1,-1,2,5
10000,87,831000086,1,Secured,1,1,3,15
10000,88,831000087,0,Draw,0,0,0,
10000,89,831000088,1,Secured,1,-1,1,17
10000,90,831000089,2,Advantage,0,-1,-2,18
10000,91,831000090,1,Advantage,0,2,2,9
10000,92,831000091,2,Pieces,0,0,-1,18
10000,93,831000092,0,Draw,0,0,0,
10000,94,831000093,1,Secured,1,1,1,3
10000,95,831000094,1,Secured,1,-1,0,15
10000,96,831000095,1,Advantage,0,1,1,3
10000,97,831000096,0,Draw,0,0,0,
10000,98,831000097,1,Secured,1,0,2,13
10000,99,831000098,1,Secured,1,0,2,15
10000,100,831000099,2,Secured,-1,2,-1,18
30000,1,851000000,1,Secured,1,0,3,9
30000,2,851000001,2,Advantage,0,-2,-2,14
30000,3,851000002,1,Secured,2,-1,2,5
30000,4,851000003,2,Secured,-1,0,0,16
30000,5,851000004,1,Advantage,0,1,1,17
30000,6,851000005,1,Advantage,0,1,2,17
30000,7,851000006,2,Secured,-1,3,0,18
30000,8,851000007,1,Secured,1,0,2,3
30000,9,851000008,1,Secured,1,1,2,3
30000,10,851000009,1,Secured,2,-1,1,3
30000,11,851000010,1,Secured,1,0,3,15
30000,12,851000011,2,Secured,-1,1,0,18
30000,13,851000012,1,Advantage,0,1,1,17
30000,14,851000013,1,Secured,1,0,3,3
30000,15,851000014,2,Secured,-1,1,0,18
30000,16,851000015,1,Advantage,0,1,3,15
30000,17,851000016,1,Secured,1,1,2,3
30000,18,851000017,1,Secured,1,0,3,15
30000,19,851000018,2,Advantage,0,-1,-1,18
30000,20,851000019,1,Secured,1,-1,2,3
30000,21,851000020,1,Secured,2,0,3,3
30000,22,851000021,1,Secured,1,-1,2,3
30000,23,851000022,1,Secured,1,-2,0,3
30000,24,851000023,2,Secured,-1,1,1,18
30000,25,851000024,1,Secured,1,-2,0,3
30000,26,851000025,1,Secured,1,0,2,3
30000,27,851000026,2,Advantage,0,-1,-1,18
30000,28,851000027,1,Secured,1,-3,-1,5
30000,29,851000028,2,Advantage,0,-1,0,18
30000,30,851000029,0,Draw,0,0,0,
30000,31,851000030,1,Secured,1,0,2,13
30000,32,851000031,1,Secured,2,-2,0,3
30000,33,851000032,2,Secured,-1,0,-2,16
30000,34,851000033,1,Advantage,0,2,2,3
30000,35,851000034,1,Advantage,0,1,2,5
30000,36,851000035,1,Pieces,0,0,2,15
30000,37,851000036,1,Secured,1,0,1,13
30000,38,851000037,1,Secured,1,0,1,3
30000,39,851000038,1,Secured,2,-2,3,3
30000,40,851000039,1,Secured,2,-1,2,15
30000,41,851000040,1,Secured,1,0,1,3
30000,42,851000041,1,Advantage,0,1,1,3
30000,43,851000042,2,Secured,-1,0,0,14
30000,44,851000043,1,Advantage,0,1,1,17
30000,45,851000044,1,Secured,1,-1,2,15
30000,46,851000045,1,Secured,1,-1,1,3
30000,47,851000046,2,Advantage,0,-1,0,18
30000,48,851000047,2,Advantage,0,-1,-1,18
30000,49,851000048,1,Secured,1,0,2,17
30000,50,851000049,1,Secured,1,0,2,9
30000,51,851000050,1,Secured,1,-1,2,3
30000,52,851000051,2,Advantage,0,-1,0,18
30000,53,851000052,1,Secured,2,1,5,3
30000,54,851000053,1,Advantage,0,1,2,3
30000,55,851000054,1,Secured,1,0,2,15
30000,56,851000055,1,Secured,1,0,2,3
30000,57,851000056,1,Secured,1,-1,1,9
30000,58,851000057,2,Advantage,0,-1,2,18
30000,59,851000058,2,Secured,-1,3,-1,18
30000,60,851000059,1,Secured,2,-1,3,3
30000,61,851000060,2,Advantage,0,-1,0,18
30000,62,851000061,1,Secured,1,0,4,3
30000,63,851000062,2,Secured,-1,0,-1,18
30000,64,851000063,1,Secured,1,0,1,13
30000,65,851000064,2,Secured,-1,1,0,18
30000,66,851000065,1,Secured,1,-1,2,13
30000,67,851000066,1,Secured,1,-1,2,3
30000,68,851000067,1,Secured,1,0,2,3
30000,69,851000068,1,Advantage,0,1,2,3
30000,70,851000069,1,Secured,1,2,2,5
30000,71,851000070,1,Secured,1,1,4,15
30000,72,851000071,1,Secured,1,-2,1,3
30000,73,851000072,1,Secured,1,0,2,3
30000,74,851000073,1,Secured,1,0,2,5
30000,75,851000074,2,Secured,-2,1,-1,14
30000,76,851000075,1,Secured,1,1,4,15
30000,77,851000076,1,Secured,1,0,1,5
30000,78,851000077,1,Secured,1,0,3,3
30000,79,851000078,0,Draw,0,0,0,
30000,80,851000079,2,Advantage,0,-1,0,18
30000,81,851000080,2,Secured,-1,1,-2,18
30000,82,851000081,2,Secured,-1,-1,-4,16
30000,83,851000082,1,Secured,1,0,2,17
30000,84,851000083,1,Secured,1,0,3,3
30000,85,851000084,1,Secured,1,0,3,3
