board,iteration_limit,checkpoint,checkpoint_turn,total_turns,eligible_games,late_reversals,late_reversal_rate,late_reversal_wilson_95_low,late_reversal_wilson_95_high,games_with_persistent_lead,mean_first_persistent_lead_progress
3x3,10000,0.75,14,18,82,19,0.231707,0.153655,0.333773,97,0.648912
3x3,10000,0.9,17,18,96,20,0.208333,0.139108,0.300002,97,0.648912
3x3,30000,0.75,14,18,85,17,0.2,0.12879,0.297154,98,0.577098
3x3,30000,0.9,17,18,98,19,0.193878,0.127781,0.283068,98,0.577098
3x3,100000,0.75,14,18,62,25,0.403226,0.290249,0.527495,91,0.860195
3x3,100000,0.9,17,18,82,34,0.414634,0.314166,0.522743,91,0.860195
4x4,10000,0.75,18,24,80,26,0.325,0.232442,0.433595,90,0.831019
4x4,10000,0.9,22,24,80,24,0.3,0.210646,0.407682,90,0.831019
4x4,30000,0.75,18,24,80,21,0.2625,0.178574,0.36819,94,0.848404
4x4,30000,0.9,22,24,91,26,0.285714,0.203062,0.385725,94,0.848404
4x4,100000,0.75,18,24,78,23,0.294872,0.205242,0.403758,93,0.834229
4x4,100000,0.9,22,24,90,22,0.244444,0.167328,0.342484,93,0.834229
