board,iteration_limit,game_index,checkpoint,checkpoint_turn,total_turns,leader,winner,eligible,late_reversal,first_persistent_lead_turn,first_persistent_lead_progress
3x3,10000,1,0.75,14,18,1,1,True,False,3,0.16666666666666666
3x3,10000,1,0.9,17,18,1,1,True,False,3,0.16666666666666666
3x3,10000,2,0.75,14,18,1,1,True,False,13,0.7222222222222222
3x3,10000,2,0.9,17,18,1,1,True,False,13,0.7222222222222222
3x3,10000,3,0.75,14,18,1,2,True,True,18,1.0
3x3,10000,3,0.9,17,18,1,2,True,True,18,1.0
3x3,10000,4,0.75,14,18,2,1,True,True,15,0.8333333333333334
3x3,10000,4,0.9,17,18,1,1,True,False,15,0.8333333333333334
3x3,10000,5,0.75,14,18,1,1,True,False,3,0.16666666666666666
3x3,10000,5,0.9,17,18,1,1,True,False,3,0.16666666666666666
3x3,10000,6,0.75,14,18,1,1,True,False,3,0.16666666666666666
3x3,10000,6,0.9,17,18,1,1,True,False,3,0.16666666666666666
3x3,10000,7,0.75,14,18,1,2,True,True,18,1.0
3x3,10000,7,0.9,17,18,1,2,True,True,18,1.0
3x3,10000,8,0.75,14,18,1,1,True,False,17,0.9444444444444444
3x3,10000,8,0.9,17,18,1,1,True,False,17,0.9444444444444444
3x3,10000,9,0.75,14,18,1,1,True,False,3,0.16666666666666666
3x3,10000,9,0.9,17,18,1,1,True,False,3,0.16666666666666666
3x3,10000,10,0.75,14,18,1,1,True,False,3,0.16666666666666666
3x3,10000,10,0.9,17,18,1,1,True,False,3,0.16666666666666666
3x3,10000,11,0.75,14,18,2,2,True,False,18,1.0
3x3,10000,11,0.9,17,18,1,2,True,True,18,1.0
3x3,10000,12,0.75,14,18,1,1,True,False,3,0.16666666666666666
3x3,10000,12,0.9,17,18,1,1,True,False,3,0.16666666666666666
3x3,10000,13,0.75,14,18,1,1,True,False,3,0.16666666666666666
3x3,10000,13,0.9,17,18,1,1,True,False,3,0.16666666666666666
3x3,10000,14,0.75,14,18,1,1,True,False,3,0.16666666666666666
3x3,10000,14,0.9,17,18,1,1,True,False,3,0.16666666666666666
3x3,10000,15,0.75,14,18,1,1,True,False,9,0.5
3x3,10000,15,0.9,17,18,1,1,True,False,9,0.5
3x3,10000,16,0.75,14,18,1,1,True,False,11,0.6111111111111112
3x3,10000,16,0.9,17,18,1,1,True,False,11,0.6111111111111112
3x3,10000,17,0.75,14,18,2,1,True,True,15,0.8333333333333334
3x3,10000,17,0.9,17,18,1,1,True,False,15,0.8333333333333334
3x3,10000,18,0.75,14,18,1,1,True,False,7,0.3888888888888889
3x3,10000,18,0.9,17,18,1,1,True,False,7,0.3888888888888889
3x3,10000,19,0.75,14,18,1,2,True,True,18,1.0
3x3,10000,19,0.9,17,18,1,2,True,True,18,1.0
3x3,10000,20,0.75,14,18,1,1,True,False,17,0.9444444444444444
3x3,10000,20,0.9,17,18,1,1,True,False,17,0.9444444444444444
3x3,10000,21,0.75,14,18,0,2,False,False,18,1.0
3x3,10000,21,0.9,17,18,1,2,True,True,18,1.0
3x3,10000,22,0.75,14,18,0,2,False,False,18,1.0
3x3,10000,22,0.9,17,18,1,2,True,True,18,1.0
3x3,10000,23,0.75,14,18,1,1,True,False,5,0.2777777777777778
3x3,10000,23,0.9,17,18,1,1,True,False,5,0.2777777777777778
